stn;time;" Globalstrahlung (W/m); Tagesmittel";Luftdruck auf Stationshoehe (hpa);Sonnenscheindauer (min);Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Niederschlag (mm);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Relative Luftfeuchtigkeit (%)
ELM;18780201;-;-;-;-;-;0;-9.3;-;-;-
ELM;18780202;-;-;-;-;-;0;-5.3;-;-;-
ELM;18780203;-;-;-;-;-;0;-4.3;-;-;-
ELM;18780204;-;-;-;-;-;0;-6.2;-;-;-
ELM;18780205;-;-;-;-;-;0;-2.7;-;-;-
ELM;18780206;-;-;-;-;-;0;-1.8;-;-;-
ELM;18780207;-;-;-;-;-;0;-5;-;-;-
ELM;18780208;-;-;-;-;-;0;0.3;-;-;-
ELM;18780209;-;-;-;-;-;0;-0.4;-;-;-
ELM;18780210;-;-;-;-;-;0;1.5;-;-;-
ELM;18780211;-;-;-;-;-;0;1.5;-;-;-
ELM;18780212;-;-;-;-;-;10.6;-0.3;-;-;-
ELM;18780213;-;-;-;-;-;0;-3.1;-;-;-
ELM;18780214;-;-;-;-;-;0;4.9;-;-;-
ELM;18780215;-;-;-;-;-;0;5.9;-;-;-
ELM;18780216;-;-;-;-;-;0;4.3;-;-;-
ELM;18780217;-;-;-;-;-;0;4.2;-;-;-
ELM;18780218;-;-;-;-;-;0;2.2;-;-;-
ELM;18780219;-;-;-;-;-;1.9;1.8;-;-;-
ELM;18780220;-;-;-;-;-;0;0.1;-;-;-
ELM;18780221;-;-;-;-;-;0;2.2;-;-;-
ELM;18780222;-;-;-;-;-;0;1.3;-;-;-
ELM;18780223;-;-;-;-;-;0;1.7;-;-;-
ELM;18780224;-;-;-;-;-;0;2.9;-;-;-
ELM;18780225;-;-;-;-;-;3.8;1.9;-;-;-
ELM;18780226;-;-;-;-;-;2.5;2.8;-;-;-
ELM;18780227;-;-;-;-;-;0;4.2;-;-;-
ELM;18780228;-;-;-;-;-;2;4.4;-;-;-
ELM;18780301;-;-;-;-;-;1;5.1;-;-;-
ELM;18780302;-;-;-;-;-;0;5.6;-;-;-
ELM;18780303;-;-;-;-;-;0;5.1;-;-;-
ELM;18780304;-;-;-;-;-;0;3.5;-;-;-
ELM;18780305;-;-;-;-;-;0;5.4;-;-;-
ELM;18780306;-;-;-;-;-;7;4.8;-;-;-
ELM;18780307;-;-;-;-;-;11;2.1;-;-;-
ELM;18780308;-;-;-;-;-;14;3.9;-;-;-
ELM;18780309;-;-;-;-;-;1.4;-1.4;-;-;-
ELM;18780310;-;-;-;-;-;0;0;-;-;-
ELM;18780311;-;-;-;-;-;4.1;2;-;-;-
ELM;18780312;-;-;-;-;-;19;0.3;-;-;-
ELM;18780313;-;-;-;-;-;14.4;-2.5;-;-;-
ELM;18780314;-;-;-;-;-;8.2;-4.6;-;-;-
ELM;18780315;-;-;-;-;-;0;-5.4;-;-;-
ELM;18780316;-;-;-;-;-;0;-7.2;-;-;-
ELM;18780317;-;-;-;-;-;3.5;-7;-;-;-
ELM;18780318;-;-;-;-;-;10.5;-1.8;-;-;-
ELM;18780319;-;-;-;-;-;15.7;0.1;-;-;-
ELM;18780320;-;-;-;-;-;1.2;2.1;-;-;-
ELM;18780321;-;-;-;-;-;0;3.2;-;-;-
ELM;18780322;-;-;-;-;-;0;2.8;-;-;-
ELM;18780323;-;-;-;-;-;0;-1.1;-;-;-
ELM;18780324;-;-;-;-;-;0;-5.5;-;-;-
ELM;18780325;-;-;-;-;-;0;-4.2;-;-;-
ELM;18780326;-;-;-;-;-;0;-4.4;-;-;-
ELM;18780327;-;-;-;-;-;0;-3.4;-;-;-
ELM;18780328;-;-;-;-;-;0;4.4;-;-;-
ELM;18780329;-;-;-;-;-;0;6.5;-;-;-
ELM;18780330;-;-;-;-;-;15.3;6.1;-;-;-
ELM;18780331;-;-;-;-;-;0;-;-;-;-
ELM;18780401;-;-;-;-;-;6;1;-;-;-
ELM;18780402;-;-;-;-;-;11.4;2.3;-;-;-
ELM;18780403;-;-;-;-;-;0;3.6;-;-;-
ELM;18780404;-;-;-;-;-;0;7.4;-;-;-
ELM;18780405;-;-;-;-;-;5.6;6.3;-;-;-
ELM;18780406;-;-;-;-;-;0;4.4;-;-;-
ELM;18780407;-;-;-;-;-;0;4.4;-;-;-
ELM;18780408;-;-;-;-;-;0;4.3;-;-;-
ELM;18780409;-;-;-;-;-;0;5.7;-;-;-
ELM;18780410;-;-;-;-;-;0;6.3;-;-;-
ELM;18780411;-;-;-;-;-;6.2;6.2;-;-;-
ELM;18780412;-;-;-;-;-;5.7;4.1;-;-;-
ELM;18780413;-;-;-;-;-;0;4.7;-;-;-
ELM;18780414;-;-;-;-;-;0;6.1;-;-;-
ELM;18780415;-;-;-;-;-;0;8.1;-;-;-
ELM;18780416;-;-;-;-;-;4.2;9;-;-;-
ELM;18780417;-;-;-;-;-;1.7;6.7;-;-;-
ELM;18780418;-;-;-;-;-;4;6;-;-;-
ELM;18780419;-;-;-;-;-;3.2;6.8;-;-;-
ELM;18780420;-;-;-;-;-;19;10.2;-;-;-
ELM;18780421;-;-;-;-;-;4.4;6;-;-;-
ELM;18780422;-;-;-;-;-;0;7;-;-;-
ELM;18780423;-;-;-;-;-;0;11.9;-;-;-
ELM;18780424;-;-;-;-;-;4.1;11.6;-;-;-
ELM;18780425;-;-;-;-;-;11.2;8.2;-;-;-
ELM;18780426;-;-;-;-;-;11.5;5.4;-;-;-
ELM;18780427;-;-;-;-;-;0;6.8;-;-;-
ELM;18780428;-;-;-;-;-;0;6.3;-;-;-
ELM;18780429;-;-;-;-;-;3.1;11.9;-;-;-
ELM;18780430;-;-;-;-;-;0;9.7;-;-;-
ELM;18780501;-;-;-;-;-;8.2;11.1;-;-;-
ELM;18780502;-;-;-;-;-;1.8;8.9;-;-;-
ELM;18780503;-;-;-;-;-;1.2;10.3;-;-;-
ELM;18780504;-;-;-;-;-;0;13.1;-;-;-
ELM;18780505;-;-;-;-;-;0;14.7;-;-;-
ELM;18780506;-;-;-;-;-;0;15.7;-;-;-
ELM;18780507;-;-;-;-;-;0;12.9;-;-;-
ELM;18780508;-;-;-;-;-;4.3;9.4;-;-;-
ELM;18780509;-;-;-;-;-;0;11.4;-;-;-
ELM;18780510;-;-;-;-;-;0;14.3;-;-;-
ELM;18780511;-;-;-;-;-;0;16.1;-;-;-
ELM;18780512;-;-;-;-;-;0;12;-;-;-
ELM;18780513;-;-;-;-;-;6.8;12.3;-;-;-
ELM;18780514;-;-;-;-;-;0;13.6;-;-;-
ELM;18780515;-;-;-;-;-;3.6;15.8;-;-;-
ELM;18780516;-;-;-;-;-;0;12.9;-;-;-
ELM;18780517;-;-;-;-;-;0;15.8;-;-;-
ELM;18780518;-;-;-;-;-;0;18.3;-;-;-
ELM;18780519;-;-;-;-;-;0;15.6;-;-;-
ELM;18780520;-;-;-;-;-;1.9;11.9;-;-;-
ELM;18780521;-;-;-;-;-;0;7.6;-;-;-
ELM;18780522;-;-;-;-;-;0;7.9;-;-;-
ELM;18780523;-;-;-;-;-;0;13.5;-;-;-
ELM;18780524;-;-;-;-;-;11.7;13.4;-;-;-
ELM;18780525;-;-;-;-;-;35.2;4.1;-;-;-
ELM;18780526;-;-;-;-;-;0;7.2;-;-;-
ELM;18780527;-;-;-;-;-;0;12.6;-;-;-
ELM;18780528;-;-;-;-;-;20.6;11.5;-;-;-
ELM;18780529;-;-;-;-;-;4.6;7.7;-;-;-
ELM;18780530;-;-;-;-;-;0;10.5;-;-;-
ELM;18780531;-;-;-;-;-;0;14.5;-;-;-
ELM;18780601;-;-;-;-;-;0;10;-;-;-
ELM;18780602;-;-;-;-;-;15.3;12.8;-;-;-
ELM;18780603;-;-;-;-;-;7.5;12.1;-;-;-
ELM;18780604;-;-;-;-;-;10.9;16.5;-;-;-
ELM;18780605;-;-;-;-;-;7.6;11.5;-;-;-
ELM;18780606;-;-;-;-;-;7.7;8.8;-;-;-
ELM;18780607;-;-;-;-;-;0;12.9;-;-;-
ELM;18780608;-;-;-;-;-;0;16.6;-;-;-
ELM;18780609;-;-;-;-;-;16.5;18;-;-;-
ELM;18780610;-;-;-;-;-;0;13;-;-;-
ELM;18780611;-;-;-;-;-;0;18;-;-;-
ELM;18780612;-;-;-;-;-;16.4;14.9;-;-;-
ELM;18780613;-;-;-;-;-;0;15.6;-;-;-
ELM;18780614;-;-;-;-;-;5.6;14;-;-;-
ELM;18780615;-;-;-;-;-;8.4;10;-;-;-
ELM;18780616;-;-;-;-;-;4.7;8.5;-;-;-
ELM;18780617;-;-;-;-;-;0;12.4;-;-;-
ELM;18780618;-;-;-;-;-;0;12.4;-;-;-
ELM;18780619;-;-;-;-;-;21;13.4;-;-;-
ELM;18780620;-;-;-;-;-;2.5;9.4;-;-;-
ELM;18780621;-;-;-;-;-;0;14.9;-;-;-
ELM;18780622;-;-;-;-;-;0;17.7;-;-;-
ELM;18780623;-;-;-;-;-;15.1;17.5;-;-;-
ELM;18780624;-;-;-;-;-;4.8;14.2;-;-;-
ELM;18780625;-;-;-;-;-;0;16.2;-;-;-
ELM;18780626;-;-;-;-;-;0;18.3;-;-;-
ELM;18780627;-;-;-;-;-;0;16.8;-;-;-
ELM;18780628;-;-;-;-;-;0;14;-;-;-
ELM;18780629;-;-;-;-;-;7.9;15.4;-;-;-
ELM;18780630;-;-;-;-;-;0;13.4;-;-;-
ELM;18780701;-;-;-;-;-;0.4;16.5;-;-;-
ELM;18780702;-;-;-;-;-;16.9;14.7;-;-;-
ELM;18780703;-;-;-;-;-;27.7;8.5;-;-;-
ELM;18780704;-;-;-;-;-;18.1;5.1;-;-;-
ELM;18780705;-;-;-;-;-;0;12.8;-;-;-
ELM;18780706;-;-;-;-;-;0;16.3;-;-;-
ELM;18780707;-;-;-;-;-;19;14.9;-;-;-
ELM;18780708;-;-;-;-;-;1.6;13.6;-;-;-
ELM;18780709;-;-;-;-;-;0;14.9;-;-;-
ELM;18780710;-;-;-;-;-;2.5;16.1;-;-;-
ELM;18780711;-;-;-;-;-;7.8;11.3;-;-;-
ELM;18780712;-;-;-;-;-;0;11.7;-;-;-
ELM;18780713;-;-;-;-;-;0;15.8;-;-;-
ELM;18780714;-;-;-;-;-;0;15.4;-;-;-
ELM;18780715;-;-;-;-;-;0;14.6;-;-;-
ELM;18780716;-;-;-;-;-;0;14.5;-;-;-
ELM;18780717;-;-;-;-;-;0;17.7;-;-;-
ELM;18780718;-;-;-;-;-;0;18.6;-;-;-
ELM;18780719;-;-;-;-;-;15.9;20.1;-;-;-
ELM;18780720;-;-;-;-;-;2.4;16.6;-;-;-
ELM;18780721;-;-;-;-;-;0;19.9;-;-;-
ELM;18780722;-;-;-;-;-;0.6;21.6;-;-;-
ELM;18780723;-;-;-;-;-;15.1;19.3;-;-;-
ELM;18780724;-;-;-;-;-;4.5;15.5;-;-;-
ELM;18780725;-;-;-;-;-;24.4;14.2;-;-;-
ELM;18780726;-;-;-;-;-;2.9;10.8;-;-;-
ELM;18780727;-;-;-;-;-;4.8;13.9;-;-;-
ELM;18780728;-;-;-;-;-;0;14.5;-;-;-
ELM;18780729;-;-;-;-;-;10;15.2;-;-;-
ELM;18780730;-;-;-;-;-;13.4;12.9;-;-;-
ELM;18780731;-;-;-;-;-;13.2;8.8;-;-;-
ELM;18780801;-;-;-;-;-;0;13.7;-;-;-
ELM;18780802;-;-;-;-;-;1.6;12.8;-;-;-
ELM;18780803;-;-;-;-;-;12.1;12;-;-;-
ELM;18780804;-;-;-;-;-;0;13.9;-;-;-
ELM;18780805;-;-;-;-;-;2.1;16.9;-;-;-
ELM;18780806;-;-;-;-;-;8;18.9;-;-;-
ELM;18780807;-;-;-;-;-;6.9;15.5;-;-;-
ELM;18780808;-;-;-;-;-;3.4;15;-;-;-
ELM;18780809;-;-;-;-;-;0;15.8;-;-;-
ELM;18780810;-;-;-;-;-;16.7;18.3;-;-;-
ELM;18780811;-;-;-;-;-;3.9;14;-;-;-
ELM;18780812;-;-;-;-;-;2;16.3;-;-;-
ELM;18780813;-;-;-;-;-;0.1;17.4;-;-;-
ELM;18780814;-;-;-;-;-;4.9;14.9;-;-;-
ELM;18780815;-;-;-;-;-;22.4;16;-;-;-
ELM;18780816;-;-;-;-;-;7.7;14.6;-;-;-
ELM;18780817;-;-;-;-;-;0;15;-;-;-
ELM;18780818;-;-;-;-;-;0;15.4;-;-;-
ELM;18780819;-;-;-;-;-;12.5;16.2;-;-;-
ELM;18780820;-;-;-;-;-;10.2;13.4;-;-;-
ELM;18780821;-;-;-;-;-;0.3;13.1;-;-;-
ELM;18780822;-;-;-;-;-;0;15.8;-;-;-
ELM;18780823;-;-;-;-;-;14.3;14.9;-;-;-
ELM;18780824;-;-;-;-;-;8.4;12.9;-;-;-
ELM;18780825;-;-;-;-;-;2.8;13.2;-;-;-
ELM;18780826;-;-;-;-;-;9.5;13.5;-;-;-
ELM;18780827;-;-;-;-;-;2.7;15.5;-;-;-
ELM;18780828;-;-;-;-;-;1.3;17;-;-;-
ELM;18780829;-;-;-;-;-;4.2;18.6;-;-;-
ELM;18780830;-;-;-;-;-;28.4;15.1;-;-;-
ELM;18780831;-;-;-;-;-;0;13.5;-;-;-
ELM;18780901;-;-;-;-;-;2.9;12.9;-;-;-
ELM;18780902;-;-;-;-;-;3.1;11.5;-;-;-
ELM;18780903;-;-;-;-;-;0;12.8;-;-;-
ELM;18780904;-;-;-;-;-;0;13.2;-;-;-
ELM;18780905;-;-;-;-;-;0;15.8;-;-;-
ELM;18780906;-;-;-;-;-;0;16.7;-;-;-
ELM;18780907;-;-;-;-;-;0;18;-;-;-
ELM;18780908;-;-;-;-;-;0;18.3;-;-;-
ELM;18780909;-;-;-;-;-;13.3;14.9;-;-;-
ELM;18780910;-;-;-;-;-;0;18.5;-;-;-
ELM;18780911;-;-;-;-;-;0;8.6;-;-;-
ELM;18780912;-;-;-;-;-;0;7.6;-;-;-
ELM;18780913;-;-;-;-;-;10.8;9.2;-;-;-
ELM;18780914;-;-;-;-;-;12.2;9.6;-;-;-
ELM;18780915;-;-;-;-;-;0;7.9;-;-;-
ELM;18780916;-;-;-;-;-;8;8.4;-;-;-
ELM;18780917;-;-;-;-;-;0;11.4;-;-;-
ELM;18780918;-;-;-;-;-;0;13.5;-;-;-
ELM;18780919;-;-;-;-;-;1.2;10.8;-;-;-
ELM;18780920;-;-;-;-;-;3.8;9.5;-;-;-
ELM;18780921;-;-;-;-;-;17.5;7.3;-;-;-
ELM;18780922;-;-;-;-;-;0;8.4;-;-;-
ELM;18780923;-;-;-;-;-;1.1;10.4;-;-;-
ELM;18780924;-;-;-;-;-;17.1;6.4;-;-;-
ELM;18780925;-;-;-;-;-;10.4;6.8;-;-;-
ELM;18780926;-;-;-;-;-;1;6.9;-;-;-
ELM;18780927;-;-;-;-;-;0;8.5;-;-;-
ELM;18780928;-;-;-;-;-;0;9.3;-;-;-
ELM;18780929;-;-;-;-;-;0;10;-;-;-
ELM;18780930;-;-;-;-;-;0.3;12.9;-;-;-
ELM;18781001;-;-;-;-;-;7;10.2;-;-;-
ELM;18781002;-;-;-;-;-;4.3;8.2;-;-;-
ELM;18781003;-;-;-;-;-;0;8.6;-;-;-
ELM;18781004;-;-;-;-;-;0;10;-;-;-
ELM;18781005;-;-;-;-;-;0;11.5;-;-;-
ELM;18781006;-;-;-;-;-;0;11.3;-;-;-
ELM;18781007;-;-;-;-;-;0;14.6;-;-;-
ELM;18781008;-;-;-;-;-;33.8;14;-;-;-
ELM;18781009;-;-;-;-;-;0;7.5;-;-;-
ELM;18781010;-;-;-;-;-;7.1;9.8;-;-;-
ELM;18781011;-;-;-;-;-;0;9.3;-;-;-
ELM;18781012;-;-;-;-;-;13.5;7.8;-;-;-
ELM;18781013;-;-;-;-;-;1.7;5.7;-;-;-
ELM;18781014;-;-;-;-;-;0.3;7.9;-;-;-
ELM;18781015;-;-;-;-;-;0;8.3;-;-;-
ELM;18781016;-;-;-;-;-;0;8;-;-;-
ELM;18781017;-;-;-;-;-;0.4;11.9;-;-;-
ELM;18781018;-;-;-;-;-;0;15.6;-;-;-
ELM;18781019;-;-;-;-;-;4.2;10.3;-;-;-
ELM;18781020;-;-;-;-;-;0;9.9;-;-;-
ELM;18781021;-;-;-;-;-;0;14;-;-;-
ELM;18781022;-;-;-;-;-;3.9;12.5;-;-;-
ELM;18781023;-;-;-;-;-;0;8.3;-;-;-
ELM;18781024;-;-;-;-;-;0;7.2;-;-;-
ELM;18781025;-;-;-;-;-;23.2;12.8;-;-;-
ELM;18781026;-;-;-;-;-;0;5.4;-;-;-
ELM;18781027;-;-;-;-;-;35.2;8.5;-;-;-
ELM;18781028;-;-;-;-;-;0;2.9;-;-;-
ELM;18781029;-;-;-;-;-;1.7;0.2;-;-;-
ELM;18781030;-;-;-;-;-;0;-0.6;-;-;-
ELM;18781031;-;-;-;-;-;0;0.5;-;-;-
ELM;18781101;-;-;-;-;-;0;-0.9;-;-;-
ELM;18781102;-;-;-;-;-;1.6;-1.6;-;-;-
ELM;18781103;-;-;-;-;-;4.7;-2.8;-;-;-
ELM;18781104;-;-;-;-;-;0;-2.3;-;-;-
ELM;18781105;-;-;-;-;-;0;-1.8;-;-;-
ELM;18781106;-;-;-;-;-;1.4;-1.8;-;-;-
ELM;18781107;-;-;-;-;-;0;-2;-;-;-
ELM;18781108;-;-;-;-;-;0;-2.7;-;-;-
ELM;18781109;-;-;-;-;-;22.3;-2.2;-;-;-
ELM;18781110;-;-;-;-;-;0;-1.4;-;-;-
ELM;18781111;-;-;-;-;-;0;5.9;-;-;-
ELM;18781112;-;-;-;-;-;0;3.7;-;-;-
ELM;18781113;-;-;-;-;-;16.1;4.9;-;-;-
ELM;18781114;-;-;-;-;-;18.7;-2.5;-;-;-
ELM;18781115;-;-;-;-;-;0;1.2;-;-;-
ELM;18781116;-;-;-;-;-;6.7;3.2;-;-;-
ELM;18781117;-;-;-;-;-;0;-0.5;-;-;-
ELM;18781118;-;-;-;-;-;0;1;-;-;-
ELM;18781119;-;-;-;-;-;0;-1.5;-;-;-
ELM;18781120;-;-;-;-;-;0;-0.4;-;-;-
ELM;18781121;-;-;-;-;-;10.8;-0.1;-;-;-
ELM;18781122;-;-;-;-;-;0.7;-0.2;-;-;-
ELM;18781123;-;-;-;-;-;0;-3.8;-;-;-
ELM;18781124;-;-;-;-;-;0;2.4;-;-;-
ELM;18781125;-;-;-;-;-;0;11.2;-;-;-
ELM;18781126;-;-;-;-;-;0.6;12.6;-;-;-
ELM;18781127;-;-;-;-;-;33.4;10.5;-;-;-
ELM;18781128;-;-;-;-;-;23.9;6.5;-;-;-
ELM;18781129;-;-;-;-;-;12.5;1.9;-;-;-
ELM;18781130;-;-;-;-;-;0;-2;-;-;-
ELM;18781201;-;-;-;-;-;0;-2.5;-;-;-
ELM;18781202;-;-;-;-;-;0;-4.1;-;-;-
ELM;18781203;-;-;-;-;-;0;-3.5;-;-;-
ELM;18781204;-;-;-;-;-;4.9;-3;-;-;-
ELM;18781205;-;-;-;-;-;7.3;-2;-;-;-
ELM;18781206;-;-;-;-;-;4.2;-2.6;-;-;-
ELM;18781207;-;-;-;-;-;0;-8.4;-;-;-
ELM;18781208;-;-;-;-;-;2.9;-6.5;-;-;-
ELM;18781209;-;-;-;-;-;4.8;-5.8;-;-;-
ELM;18781210;-;-;-;-;-;0;-9.1;-;-;-
ELM;18781211;-;-;-;-;-;6.9;-8.9;-;-;-
ELM;18781212;-;-;-;-;-;2;-9.9;-;-;-
ELM;18781213;-;-;-;-;-;0;-6.1;-;-;-
ELM;18781214;-;-;-;-;-;0;-6.8;-;-;-
ELM;18781215;-;-;-;-;-;3.8;-3.7;-;-;-
ELM;18781216;-;-;-;-;-;0;-6.6;-;-;-
ELM;18781217;-;-;-;-;-;7.3;-1.6;-;-;-
ELM;18781218;-;-;-;-;-;1.2;-6.4;-;-;-
ELM;18781219;-;-;-;-;-;6.7;-2.8;-;-;-
ELM;18781220;-;-;-;-;-;6.2;-0.9;-;-;-
ELM;18781221;-;-;-;-;-;7.4;-2.7;-;-;-
ELM;18781222;-;-;-;-;-;0.3;-7.2;-;-;-
ELM;18781223;-;-;-;-;-;3.6;-7.3;-;-;-
ELM;18781224;-;-;-;-;-;0;-8.2;-;-;-
ELM;18781225;-;-;-;-;-;0;-3.7;-;-;-
ELM;18781226;-;-;-;-;-;0;1.5;-;-;-
ELM;18781227;-;-;-;-;-;0;4.1;-;-;-
ELM;18781228;-;-;-;-;-;0;4.2;-;-;-
ELM;18781229;-;-;-;-;-;0;5.5;-;-;-
ELM;18781230;-;-;-;-;-;12.6;4.2;-;-;-
ELM;18781231;-;-;-;-;-;0;5.7;-;-;-
ELM;18790101;-;-;-;-;-;0;4;-;-;-
ELM;18790102;-;-;-;-;-;17.5;1.8;-;-;-
ELM;18790103;-;-;-;-;-;0;4;-;-;-
ELM;18790104;-;-;-;-;-;12.9;1.2;-;-;-
ELM;18790105;-;-;-;-;-;4.1;-3.5;-;-;-
ELM;18790106;-;-;-;-;-;0;-9.8;-;-;-
ELM;18790107;-;-;-;-;-;0;-10.5;-;-;-
ELM;18790108;-;-;-;-;-;3.3;-8.1;-;-;-
ELM;18790109;-;-;-;-;-;2.4;-10.3;-;-;-
ELM;18790110;-;-;-;-;-;0.9;-11.3;-;-;-
ELM;18790111;-;-;-;-;-;0.8;-1.6;-;-;-
ELM;18790112;-;-;-;-;-;1.5;-3.7;-;-;-
ELM;18790113;-;-;-;-;-;0;-2.6;-;-;-
ELM;18790114;-;-;-;-;-;0;-1.9;-;-;-
ELM;18790115;-;-;-;-;-;6.1;0.7;-;-;-
ELM;18790116;-;-;-;-;-;0;-1.3;-;-;-
ELM;18790117;-;-;-;-;-;3.3;-1.9;-;-;-
ELM;18790118;-;-;-;-;-;1.4;-6;-;-;-
ELM;18790119;-;-;-;-;-;7.3;-3.1;-;-;-
ELM;18790120;-;-;-;-;-;0;-8.6;-;-;-
ELM;18790121;-;-;-;-;-;0;-6.6;-;-;-
ELM;18790122;-;-;-;-;-;0;6.4;-;-;-
ELM;18790123;-;-;-;-;-;0.6;8;-;-;-
ELM;18790124;-;-;-;-;-;0;7.8;-;-;-
ELM;18790125;-;-;-;-;-;0;8.2;-;-;-
ELM;18790126;-;-;-;-;-;0;4.2;-;-;-
ELM;18790127;-;-;-;-;-;0;-0.2;-;-;-
ELM;18790128;-;-;-;-;-;0;-0.9;-;-;-
ELM;18790129;-;-;-;-;-;0;0.4;-;-;-
ELM;18790130;-;-;-;-;-;0;-0.8;-;-;-
ELM;18790131;-;-;-;-;-;0;-2.5;-;-;-
ELM;18790201;-;-;-;-;-;0;0.1;-;-;-
ELM;18790202;-;-;-;-;-;1.2;0.7;-;-;-
ELM;18790203;-;-;-;-;-;4.4;2.4;-;-;-
ELM;18790204;-;-;-;-;-;0.9;3.9;-;-;-
ELM;18790205;-;-;-;-;-;0.2;-0.3;-;-;-
ELM;18790206;-;-;-;-;-;0;0.5;-;-;-
ELM;18790207;-;-;-;-;-;0;2.4;-;-;-
ELM;18790208;-;-;-;-;-;0;3.9;-;-;-
ELM;18790209;-;-;-;-;-;0;7.5;-;-;-
ELM;18790210;-;-;-;-;-;0;10.3;-;-;-
ELM;18790211;-;-;-;-;-;23.8;2.8;-;-;-
ELM;18790212;-;-;-;-;-;9.3;2.4;-;-;-
ELM;18790213;-;-;-;-;-;0.4;2.5;-;-;-
ELM;18790214;-;-;-;-;-;0;0.4;-;-;-
ELM;18790215;-;-;-;-;-;0.3;0.8;-;-;-
ELM;18790216;-;-;-;-;-;0.9;0.2;-;-;-
ELM;18790217;-;-;-;-;-;4;0.7;-;-;-
ELM;18790218;-;-;-;-;-;28.1;-1.4;-;-;-
ELM;18790219;-;-;-;-;-;7.6;-2.9;-;-;-
ELM;18790220;-;-;-;-;-;0;1.5;-;-;-
ELM;18790221;-;-;-;-;-;0.8;1.7;-;-;-
ELM;18790222;-;-;-;-;-;8.5;0.9;-;-;-
ELM;18790223;-;-;-;-;-;15.2;-3.9;-;-;-
ELM;18790224;-;-;-;-;-;0;-5.3;-;-;-
ELM;18790225;-;-;-;-;-;6.2;-7.2;-;-;-
ELM;18790226;-;-;-;-;-;0;-4.9;-;-;-
ELM;18790227;-;-;-;-;-;2.3;-4.9;-;-;-
ELM;18790228;-;-;-;-;-;0;-4.5;-;-;-
ELM;18790301;-;-;-;-;-;0;-2.5;-;-;-
ELM;18790302;-;-;-;-;-;4.6;-0.4;-;-;-
ELM;18790303;-;-;-;-;-;0.2;0.1;-;-;-
ELM;18790304;-;-;-;-;-;3.4;-1.2;-;-;-
ELM;18790305;-;-;-;-;-;0;-0.2;-;-;-
ELM;18790306;-;-;-;-;-;2.6;0.9;-;-;-
ELM;18790307;-;-;-;-;-;0;2.1;-;-;-
ELM;18790308;-;-;-;-;-;0;1;-;-;-
ELM;18790309;-;-;-;-;-;0;3;-;-;-
ELM;18790310;-;-;-;-;-;0;3.9;-;-;-
ELM;18790311;-;-;-;-;-;3.2;3.7;-;-;-
ELM;18790312;-;-;-;-;-;2.1;3.2;-;-;-
ELM;18790313;-;-;-;-;-;8.5;-1;-;-;-
ELM;18790314;-;-;-;-;-;0;-4.3;-;-;-
ELM;18790315;-;-;-;-;-;0;-1.3;-;-;-
ELM;18790316;-;-;-;-;-;0;4.8;-;-;-
ELM;18790317;-;-;-;-;-;0;7.3;-;-;-
ELM;18790318;-;-;-;-;-;0;6.4;-;-;-
ELM;18790319;-;-;-;-;-;0;9.3;-;-;-
ELM;18790320;-;-;-;-;-;0;10.3;-;-;-
ELM;18790321;-;-;-;-;-;0;7.3;-;-;-
ELM;18790322;-;-;-;-;-;0;5.1;-;-;-
ELM;18790323;-;-;-;-;-;0.2;3;-;-;-
ELM;18790324;-;-;-;-;-;0.7;1.4;-;-;-
ELM;18790325;-;-;-;-;-;1.8;2;-;-;-
ELM;18790326;-;-;-;-;-;0;3.1;-;-;-
ELM;18790327;-;-;-;-;-;0;5.9;-;-;-
ELM;18790328;-;-;-;-;-;11.9;4.3;-;-;-
ELM;18790329;-;-;-;-;-;4.5;3.5;-;-;-
ELM;18790330;-;-;-;-;-;0;5.4;-;-;-
ELM;18790331;-;-;-;-;-;0;10.3;-;-;-
ELM;18790401;-;-;-;-;-;0;11.9;-;-;-
ELM;18790402;-;-;-;-;-;4.9;10.1;-;-;-
ELM;18790403;-;-;-;-;-;5.3;1.7;-;-;-
ELM;18790404;-;-;-;-;-;0.7;2;-;-;-
ELM;18790405;-;-;-;-;-;0;5;-;-;-
ELM;18790406;-;-;-;-;-;0;5.4;-;-;-
ELM;18790407;-;-;-;-;-;0;9.8;-;-;-
ELM;18790408;-;-;-;-;-;1.1;8.4;-;-;-
ELM;18790409;-;-;-;-;-;1.8;5.3;-;-;-
ELM;18790410;-;-;-;-;-;0.7;6.5;-;-;-
ELM;18790411;-;-;-;-;-;10.5;4.8;-;-;-
ELM;18790412;-;-;-;-;-;13.7;-2.6;-;-;-
ELM;18790413;-;-;-;-;-;0;-1.6;-;-;-
ELM;18790414;-;-;-;-;-;0;8.7;-;-;-
ELM;18790415;-;-;-;-;-;7.8;7.4;-;-;-
ELM;18790416;-;-;-;-;-;16.4;4.7;-;-;-
ELM;18790417;-;-;-;-;-;11.2;0.7;-;-;-
ELM;18790418;-;-;-;-;-;0;0.2;-;-;-
ELM;18790419;-;-;-;-;-;0;2.2;-;-;-
ELM;18790420;-;-;-;-;-;0;7.1;-;-;-
ELM;18790421;-;-;-;-;-;8.7;7.3;-;-;-
ELM;18790422;-;-;-;-;-;0.7;3.1;-;-;-
ELM;18790423;-;-;-;-;-;0;6.6;-;-;-
