stn;time;" Globalstrahlung (W/m); Tagesmittel";Luftdruck auf Stationshoehe (hpa);Sonnenscheindauer (min);Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Relative Luftfeuchtigkeit (%);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Niederschlag (mm)
SIA;18631201;-;-;-;-;-;-;-6.1;-;-;0
SIA;18631202;-;-;-;-;-;-;-6.4;-;-;0
SIA;18631203;-;-;-;-;-;-;-4.8;-;-;0.8
SIA;18631204;-;-;-;-;-;-;-7.3;-;-;0.6
SIA;18631205;-;-;-;-;-;-;-7.2;-;-;0
SIA;18631206;-;-;-;-;-;-;-4;-;-;0
SIA;18631207;-;-;-;-;-;-;-5.2;-;-;0
SIA;18631208;-;-;-;-;-;-;-6.3;-;-;0
SIA;18631209;-;-;-;-;-;-;-3.3;-;-;0
SIA;18631210;-;-;-;-;-;-;-3.8;-;-;0
SIA;18631211;-;-;-;-;-;-;-0.6;-;-;0
SIA;18631212;-;-;-;-;-;-;4.4;-;-;5.5
SIA;18631213;-;-;-;-;-;-;2.3;-;-;0
SIA;18631214;-;-;-;-;-;-;-0.1;-;-;0
SIA;18631215;-;-;-;-;-;-;-3.2;-;-;0
SIA;18631216;-;-;-;-;-;-;-3.6;-;-;0
SIA;18631217;-;-;-;-;-;-;-3.3;-;-;2.7
SIA;18631218;-;-;-;-;-;-;-6.1;-;-;9.6
SIA;18631219;-;-;-;-;-;-;-6.8;-;-;0
SIA;18631220;-;-;-;-;-;-;-6.8;-;-;0
SIA;18631221;-;-;-;-;-;-;-7.3;-;-;0
SIA;18631222;-;-;-;-;-;-;-4.6;-;-;0
SIA;18631223;-;-;-;-;-;-;-9.1;-;-;4.3
SIA;18631224;-;-;-;-;-;-;-1.5;-;-;0
SIA;18631225;-;-;-;-;-;-;-7.2;-;-;0
SIA;18631226;-;-;-;-;-;-;-7.1;-;-;0
SIA;18631227;-;-;-;-;-;-;-2.1;-;-;0
SIA;18631228;-;-;-;-;-;-;-7.6;-;-;0
SIA;18631229;-;-;-;-;-;-;-2.3;-;-;0
SIA;18631230;-;-;-;-;-;-;-1.9;-;-;0
SIA;18631231;-;-;-;-;-;-;-6.9;-;-;0
SIA;18640101;-;803.9;-;-;67;89.3;-7.8;-;-;3.8
SIA;18640102;-;803.5;-;-;50;81.3;-12.6;-;-;0
SIA;18640103;-;806.9;-;-;0;82.7;-20.3;-;-;0
SIA;18640104;-;811.5;-;-;57;86.3;-12.4;-;-;0
SIA;18640105;-;815.3;-;-;20;81;-12.4;-;-;0
SIA;18640106;-;815.9;-;-;0;75;-12.3;-;-;0
SIA;18640107;-;816.3;-;-;0;72;-12.4;-;-;0
SIA;18640108;-;818.1;-;-;0;78;-12.4;-;-;0
SIA;18640109;-;817.2;-;-;10;75.3;-13.1;-;-;0
SIA;18640110;-;816.5;-;-;0;67.3;-11.4;-;-;0
SIA;18640111;-;818.9;-;-;0;77.3;-10.9;-;-;0
SIA;18640112;-;821.4;-;-;0;80.7;-12.1;-;-;0
SIA;18640113;-;820.9;-;-;0;83;-9.7;-;-;0
SIA;18640114;-;818.5;-;-;0;75.7;-10.5;-;-;0
SIA;18640115;-;818.3;-;-;10;77.7;-10.7;-;-;0
SIA;18640116;-;819.5;-;-;27;91;-15.9;-;-;0
SIA;18640117;-;819.1;-;-;0;95.7;-18.8;-;-;0
SIA;18640118;-;821.5;-;-;0;79;-17.7;-;-;0
SIA;18640119;-;822.5;-;-;0;70.7;-15.2;-;-;0
SIA;18640120;-;824.1;-;-;3;74.3;-11;-;-;0
SIA;18640121;-;823.3;-;-;37;76;-8.7;-;-;0
SIA;18640122;-;822.4;-;-;0;76.7;-7.3;-;-;0
SIA;18640123;-;822.3;-;-;3;77;-7.8;-;-;0
SIA;18640124;-;820.6;-;-;33;81.7;-4.6;-;-;0
SIA;18640125;-;823.9;-;-;30;80.7;-5.9;-;-;0
SIA;18640126;-;825.1;-;-;0;74.7;-9.4;-;-;0
SIA;18640127;-;822;-;-;40;76.3;-7.3;-;-;0
SIA;18640128;-;814.9;-;-;70;85.7;-4.2;-;-;0
SIA;18640129;-;811;-;-;77;82;-6.7;-;-;1.1
SIA;18640130;-;819.6;-;-;0;81.3;-13.3;-;-;0
SIA;18640131;-;821;-;-;3;91.7;-16.2;-;-;0
SIA;18640201;-;823.5;-;-;0;75.3;-10.5;-;-;0.4
SIA;18640202;-;824.5;-;-;0;75.7;-10.7;-;-;0
SIA;18640203;-;823.3;-;-;0;80.3;-9.5;-;-;0
SIA;18640204;-;813.6;-;-;67;85;-6.5;-;-;0
SIA;18640205;-;807;-;-;100;87.7;-10;-;-;1.7
SIA;18640206;-;801.2;-;-;93;88.7;-10.1;-;-;5
SIA;18640207;-;801;-;-;93;95.3;-11.8;-;-;6
SIA;18640208;-;796.4;-;-;27;81;-15;-;-;0
SIA;18640209;-;795.9;-;-;3;81.3;-19.2;-;-;0
SIA;18640210;-;796.7;-;-;13;75;-17.4;-;-;0
SIA;18640211;-;799.8;-;-;47;81;-12.9;-;-;0
SIA;18640212;-;811.9;-;-;43;77.3;-10.5;-;-;0
SIA;18640213;-;821.6;-;-;0;83;-2.1;-;-;0
SIA;18640214;-;827.4;-;-;0;70.3;-2.5;-;-;0
SIA;18640215;-;823.6;-;-;50;66.3;-3;-;-;0
SIA;18640216;-;815.3;-;-;40;69.7;-1.7;-;-;0
SIA;18640217;-;802.2;-;-;80;84.3;-5.5;-;-;0
SIA;18640218;-;802.5;-;-;53;70.3;-9.9;-;-;0
SIA;18640219;-;804;-;-;23;71;-15.6;-;-;0
SIA;18640220;-;805.2;-;-;93;89.3;-11.5;-;-;0
SIA;18640221;-;798.4;-;-;100;99.3;-5.2;-;-;23.6
SIA;18640222;-;809.9;-;-;93;91.7;-4.6;-;-;9.6
SIA;18640223;-;810.9;-;-;97;91;-1.4;-;-;4.3
SIA;18640224;-;813.2;-;-;87;92.3;-1.2;-;-;0.6
SIA;18640225;-;812.6;-;-;83;83.7;-1.7;-;-;0.5
SIA;18640226;-;812;-;-;7;79.7;-6.3;-;-;0
SIA;18640227;-;810.9;-;-;10;80;-6.6;-;-;0
SIA;18640228;-;809.6;-;-;67;88.3;-2.2;-;-;0
SIA;18640229;-;802.7;-;-;83;73;-0.2;-;-;2.3
SIA;18640301;-;810.3;-;-;30;72;-3.9;-;-;0
SIA;18640302;-;810.2;-;-;23;79.7;-6.7;-;-;0
SIA;18640303;-;811.8;-;-;40;75.7;-4.9;-;-;0
SIA;18640304;-;811.7;-;-;60;79.7;-3;-;-;0
SIA;18640305;-;807.6;-;-;100;85;-0.6;-;-;2.8
SIA;18640306;-;803.4;-;-;63;79.7;-0.8;-;-;0
SIA;18640307;-;809.5;-;-;80;92.3;-0.9;-;-;3.7
SIA;18640308;-;808.3;-;-;100;94.7;0.1;-;-;0
SIA;18640309;-;803.8;-;-;100;93;0.8;-;-;5.9
SIA;18640310;-;808.5;-;-;100;91.7;-2.3;-;-;27
SIA;18640311;-;816.2;-;-;7;71;-7.1;-;-;19.6
SIA;18640312;-;818.3;-;-;10;76;-7.9;-;-;0
SIA;18640313;-;823;-;-;0;80.3;-9;-;-;0
SIA;18640314;-;821.9;-;-;7;59;-6.9;-;-;0
SIA;18640315;-;817.2;-;-;53;65;-2.9;-;-;0
SIA;18640316;-;812.7;-;-;53;71;0;-;-;0
SIA;18640317;-;813.7;-;-;3;80.7;-5.5;-;-;0
SIA;18640318;-;809.7;-;-;3;74.3;-6.5;-;-;0
SIA;18640319;-;808;-;-;53;83.7;-5.9;-;-;0
SIA;18640320;-;806.3;-;-;17;79.7;-5.1;-;-;0
SIA;18640321;-;804.4;-;-;70;85;-3.2;-;-;0
SIA;18640322;-;801.7;-;-;80;86.3;-0.1;-;-;0
SIA;18640323;-;803.4;-;-;57;80.7;-1;-;-;0
SIA;18640324;-;807.3;-;-;50;72.7;-3.2;-;-;0
SIA;18640325;-;808.2;-;-;83;84.3;-2.8;-;-;0
SIA;18640326;-;801.2;-;-;57;80.3;-2.3;-;-;0
SIA;18640327;-;883.1;-;-;70;81.3;-1;-;-;6.9
SIA;18640328;-;790;-;-;83;73.7;-2.2;-;-;0
SIA;18640329;-;788.4;-;-;57;69.3;-6.5;-;-;0
SIA;18640330;-;795.3;-;-;73;63;-5.6;-;-;2.2
SIA;18640331;-;808.6;-;-;27;67;-6.1;-;-;0
SIA;18640401;-;812.5;-;-;0;68.3;-4.1;-;-;0
SIA;18640402;-;806.9;-;-;70;77.7;-4.9;-;-;0
SIA;18640403;-;812.4;-;-;53;73.7;-6.3;-;-;6.3
SIA;18640404;-;813;-;-;57;77.3;-0.4;-;-;0
SIA;18640405;-;812.6;-;-;67;69.3;-2;-;-;3.4
SIA;18640406;-;812.8;-;-;7;49;-1.9;-;-;0
SIA;18640407;-;811.6;-;-;30;47;-4.3;-;-;0
SIA;18640408;-;813.1;-;-;7;62.3;-9.6;-;-;0
SIA;18640409;-;810.3;-;-;17;56.7;-5.6;-;-;0
SIA;18640410;-;810.4;-;-;20;66.3;-4.8;-;-;0
SIA;18640411;-;810.6;-;-;7;62.7;-2.6;-;-;0
SIA;18640412;-;813.3;-;-;10;67;-0.9;-;-;0
SIA;18640413;-;812.8;-;-;27;70.7;1.2;-;-;0
SIA;18640414;-;810.8;-;-;0;67;0;-;-;0
SIA;18640415;-;810.1;-;-;40;78.3;0.2;-;-;0
SIA;18640416;-;808.9;-;-;90;90;0.7;-;-;0
SIA;18640417;-;809.7;-;-;100;87.3;-0.6;-;-;12
SIA;18640418;-;816.6;-;-;7;63.7;-0.2;-;-;0
SIA;18640419;-;819.3;-;-;0;60;-1.3;-;-;0
SIA;18640420;-;815.4;-;-;0;66.3;0.2;-;-;0
SIA;18640421;-;811.4;-;-;17;69;-1.1;-;-;0
SIA;18640422;-;814.9;-;-;0;66;-1.9;-;-;0.7
SIA;18640423;-;820;-;-;0;63.3;-0.2;-;-;0
SIA;18640424;-;820.4;-;-;7;70.3;1.4;-;-;0
SIA;18640425;-;821.9;-;-;7;73;2.5;-;-;0
SIA;18640426;-;821.5;-;-;0;68.7;3.1;-;-;0
SIA;18640427;-;818.7;-;-;73;65;5.6;-;-;0
SIA;18640428;-;816.4;-;-;77;74;4.5;-;-;0
SIA;18640429;-;810.8;-;-;100;66;3.5;-;-;12.7
SIA;18640430;-;813.4;-;-;33;59;2;-;-;0
SIA;18640501;-;816.6;-;-;43;58;2;-;-;0
SIA;18640502;-;814.2;-;-;47;73;1.5;-;-;0
SIA;18640503;-;806.1;-;-;100;87.3;2.6;-;-;4.7
SIA;18640504;-;810;-;-;80;72.7;1.3;-;-;4.8
SIA;18640505;-;813.3;-;-;80;86;0.8;-;-;12
SIA;18640506;-;816.4;-;-;-;82.7;1.1;-;-;0
SIA;18640507;-;815.3;-;-;50;74.7;4.1;-;-;0
SIA;18640508;-;812;-;-;80;91.7;5.1;-;-;0
SIA;18640509;-;812.6;-;-;100;93.3;5.3;-;-;0.8
SIA;18640510;-;812.7;-;-;100;91.7;5.2;-;-;6.2
SIA;18640511;-;812.4;-;-;43;82;6.9;-;-;0
SIA;18640512;-;810.7;-;-;93;89;4.9;-;-;2.1
SIA;18640513;-;812.2;-;-;83;82.7;5.6;-;-;11.4
SIA;18640514;-;815.5;-;-;67;76;6.1;-;-;0
SIA;18640515;-;817.8;-;-;57;75.3;6.2;-;-;0
SIA;18640516;-;820.4;-;-;57;83;6.9;-;-;0
SIA;18640517;-;822.5;-;-;7;74;8.4;-;-;0
SIA;18640518;-;823.1;-;-;0;62.3;9.3;-;-;0
SIA;18640519;-;821.2;-;-;37;63.7;9.5;-;-;0
SIA;18640520;-;819.6;-;-;7;57.3;8.6;-;-;0
SIA;18640521;-;815.4;-;-;50;69;9.1;-;-;0
SIA;18640522;-;814;-;-;60;60;9.1;-;-;0
SIA;18640523;-;813.5;-;-;37;59.7;8.5;-;-;0
SIA;18640524;-;814.6;-;-;10;50.3;3.5;-;-;0
SIA;18640525;-;815.2;-;-;0;43.3;4.7;-;-;0
SIA;18640526;-;808.4;-;-;47;72.7;5.7;-;-;0
SIA;18640527;-;807.7;-;-;60;56;3.3;-;-;2.3
SIA;18640528;-;812.5;-;-;10;54;4.4;-;-;0
SIA;18640529;-;815.3;-;-;53;69.3;5.2;-;-;0.8
SIA;18640530;-;816.1;-;-;50;81.3;6.4;-;-;0
SIA;18640531;-;818.7;-;-;100;92.3;5.5;-;-;1.4
SIA;18640601;-;817.5;-;-;100;95;5.6;-;-;3.6
SIA;18640602;-;812.9;-;-;100;93.3;6.6;-;-;6.3
SIA;18640603;-;815;-;-;37;71.3;10.1;-;-;0
SIA;18640604;-;817.6;-;-;37;81;8.1;-;-;11
SIA;18640605;-;819.7;-;-;37;80;9.2;-;-;1.1
SIA;18640606;-;821.1;-;-;13;72.3;10.4;-;-;0
SIA;18640607;-;817.8;-;-;73;77.7;10.3;-;-;9.7
SIA;18640608;-;813.5;-;-;53;72.7;9.4;-;-;0
SIA;18640609;-;813.4;-;-;100;86.7;7.1;-;-;6.5
SIA;18640610;-;808.2;-;-;90;83.3;6.1;-;-;14.3
SIA;18640611;-;814;-;-;43;68;8.6;-;-;2.9
SIA;18640612;-;814.3;-;-;47;75;8.6;-;-;0.4
SIA;18640613;-;815;-;-;83;79.7;9.2;-;-;0
SIA;18640614;-;812.5;-;-;87;86.7;8.4;-;-;0
SIA;18640615;-;811.7;-;-;93;83.3;7.1;-;-;38.6
SIA;18640616;-;815.6;-;-;53;67.7;7.2;-;-;3.9
SIA;18640617;-;821.1;-;-;67;72.3;6.6;-;-;1.4
SIA;18640618;-;823.2;-;-;60;63;9.5;-;-;0
SIA;18640619;-;823.2;-;-;80;69.7;9.4;-;-;1
SIA;18640620;-;824.1;-;-;20;59.7;8.1;-;-;0
SIA;18640621;-;822.8;-;-;3;60;10.7;-;-;0
SIA;18640622;-;823.2;-;-;0;61.3;11.2;-;-;0
SIA;18640623;-;823.4;-;-;37;75.7;12.6;-;-;0
SIA;18640624;-;823;-;-;63;79.3;10.1;-;-;6.5
SIA;18640625;-;823.1;-;-;37;62.7;12.1;-;-;0
SIA;18640626;-;818.6;-;-;80;76;11.1;-;-;0
SIA;18640627;-;812.9;-;-;93;85;6.3;-;-;1.8
SIA;18640628;-;816.8;-;-;70;62.7;4;-;-;8.8
SIA;18640629;-;819.6;-;-;27;56;5.9;-;-;0
SIA;18640630;-;817.1;-;-;53;66.3;9.1;-;-;0
SIA;18640701;-;813.8;-;-;50;68.3;8.8;-;-;1.2
SIA;18640702;-;816.4;-;-;0;69.7;8.3;-;-;0
SIA;18640703;-;816.2;-;-;33;80.7;10.1;-;-;0
SIA;18640704;-;816.4;-;-;47;71.7;7.8;-;-;20.7
SIA;18640705;-;818.3;-;-;3;63.7;8.2;-;-;0
SIA;18640706;-;816.6;-;-;33;61;9.9;-;-;0
SIA;18640707;-;816.6;-;-;30;58.7;9.5;-;-;0
SIA;18640708;-;816.8;-;-;43;64;8.9;-;-;0
SIA;18640709;-;816.1;-;-;67;65;10.8;-;-;0
SIA;18640710;-;817.2;-;-;53;82;11;-;-;1.3
SIA;18640711;-;823.3;-;-;63;80;12.8;-;-;0
SIA;18640712;-;821.2;-;-;0;72;13.7;-;-;0
SIA;18640713;-;816;-;-;87;85.7;9.8;-;-;18
SIA;18640714;-;818;-;-;73;78.7;9.7;-;-;3.5
SIA;18640715;-;821.1;-;-;13;69;10.1;-;-;0
SIA;18640716;-;823.2;-;-;13;74.3;11.6;-;-;0
SIA;18640717;-;823;-;-;50;76.3;12.6;-;-;0
SIA;18640718;-;818.5;-;-;90;81.7;10.6;-;-;19.3
SIA;18640719;-;817.2;-;-;77;73;9.8;-;-;0.8
SIA;18640720;-;820.6;-;-;7;64.3;11.3;-;-;0
SIA;18640721;-;819.7;-;-;7;65;11.9;-;-;0
SIA;18640722;-;819.2;-;-;53;78.7;11.6;-;-;6.8
SIA;18640723;-;820.2;-;-;83;76.3;11.6;-;-;0
SIA;18640724;-;821;-;-;37;81;11.4;-;-;0
SIA;18640725;-;819;-;-;70;84;11.4;-;-;0
SIA;18640726;-;817.5;-;-;87;80.3;11.6;-;-;7.3
SIA;18640727;-;819.8;-;-;10;80;11.6;-;-;0
SIA;18640728;-;820.6;-;-;43;83.7;11.6;-;-;5.9
SIA;18640729;-;822.2;-;-;63;68.7;13.6;-;-;0
SIA;18640730;-;825.8;-;-;53;69.3;13.8;-;-;0
SIA;18640731;-;827.8;-;-;3;70.3;12.9;-;-;0
SIA;18640801;-;825.5;-;-;47;77.3;13.6;-;-;0
SIA;18640802;-;820.3;-;-;40;79.3;12.5;-;-;13.5
SIA;18640803;-;820.5;-;-;10;77.7;10.6;-;-;0
SIA;18640804;-;823.3;-;-;20;79;12.1;-;-;0
SIA;18640805;-;825.6;-;-;7;64;13;-;-;0
SIA;18640806;-;824.1;-;-;33;69;13.9;-;-;0
SIA;18640807;-;820.3;-;-;17;67.3;13.6;-;-;0
SIA;18640808;-;820;-;-;7;64.7;13.8;-;-;0
SIA;18640809;-;821.4;-;-;37;73;13.5;-;-;0
SIA;18640810;-;816.7;-;-;37;70.3;9.9;-;-;6.9
SIA;18640811;-;818;-;-;77;62;4.1;-;-;0.4
SIA;18640812;-;822.3;-;-;27;58.7;4.8;-;-;0.7
SIA;18640813;-;821.5;-;-;10;56.7;7.4;-;-;0
SIA;18640814;-;820.8;-;-;70;58;5.1;-;-;0
SIA;18640815;-;820.6;-;-;20;65.7;9.4;-;-;0
SIA;18640816;-;820.9;-;-;13;67.7;11.5;-;-;0
SIA;18640817;-;817.7;-;-;20;65.3;11.7;-;-;0
SIA;18640818;-;815.2;-;-;63;78.7;9.9;-;-;0
SIA;18640819;-;813.5;-;-;100;90.7;9.4;-;-;3.4
SIA;18640820;-;813.9;-;-;77;97.3;8;-;-;84.4
SIA;18640821;-;819.1;-;-;43;86;9.7;-;-;0
SIA;18640822;-;821.4;-;-;80;84;11.9;-;-;0
SIA;18640823;-;813.8;-;-;97;93;11.5;-;-;0
SIA;18640824;-;812.9;-;-;77;83.3;5.6;-;-;42.6
SIA;18640825;-;820;-;-;13;64.3;3.8;-;-;0
SIA;18640826;-;820;-;-;60;76;3;-;-;0
SIA;18640827;-;819.9;-;-;43;68.7;4.8;-;-;0
SIA;18640828;-;821.4;-;-;20;67;4;-;-;0
SIA;18640829;-;822.8;-;-;20;82.7;5.3;-;-;0
SIA;18640830;-;823.3;-;-;20;81;6.1;-;-;0
SIA;18640831;-;824.5;-;-;7;76;7.4;-;-;0
SIA;18640901;-;823.9;-;-;67;83;10.8;-;-;0
SIA;18640902;-;820.4;-;-;100;91.7;8.6;-;-;0
SIA;18640903;-;815.4;-;-;80;87.7;6.8;-;-;24.4
SIA;18640904;-;812.7;-;-;53;71.7;7.9;-;-;4.8
SIA;18640905;-;817.7;-;-;53;67.7;8.5;-;-;0
SIA;18640906;-;822.7;-;-;90;79;9.6;-;-;0
SIA;18640907;-;823.6;-;-;30;71;10.8;-;-;0
SIA;18640908;-;824.9;-;-;3;77.3;10.2;-;-;0
SIA;18640909;-;826.1;-;-;0;93;10.1;-;-;0
SIA;18640910;-;824;-;-;23;72;9.2;-;-;2.5
SIA;18640911;-;819.2;-;-;70;69.3;9.8;-;-;0
SIA;18640912;-;816.2;-;-;100;90.3;4;-;-;23.4
SIA;18640913;-;816.9;-;-;80;85;2.8;-;-;32.3
SIA;18640914;-;817.9;-;-;0;65;2.5;-;-;0
SIA;18640915;-;818.7;-;-;27;81.3;5.1;-;-;0
SIA;18640916;-;817.9;-;-;50;82.7;8.4;-;-;0
SIA;18640917;-;817;-;-;40;87.3;9.5;-;-;0
SIA;18640918;-;815.1;-;-;100;94.3;6.8;-;-;17.6
SIA;18640919;-;814.1;-;-;70;89.3;5.9;-;-;39.5
SIA;18640920;-;813.9;-;-;63;77.3;3.4;-;-;3.2
SIA;18640921;-;816.7;-;-;27;77.7;5.4;-;-;0
SIA;18640922;-;818.6;-;-;57;84.3;7.7;-;-;0
SIA;18640923;-;820.6;-;-;40;79.7;6.5;-;-;0
SIA;18640924;-;823.6;-;-;0;73;5;-;-;0
SIA;18640925;-;824.9;-;-;0;70.7;5.6;-;-;0
SIA;18640926;-;824.7;-;-;0;59;5.6;-;-;0
SIA;18640927;-;824.3;-;-;0;78;3.7;-;-;0
SIA;18640928;-;824.1;-;-;0;74.3;4.2;-;-;0
SIA;18640929;-;820.7;-;-;10;64;5.9;-;-;0
SIA;18640930;-;814.8;-;-;43;60.3;7.1;-;-;0
SIA;18641001;-;814.6;-;-;7;78.3;3.7;-;-;0
SIA;18641002;-;814.7;-;-;13;73.7;4;-;-;0
SIA;18641003;-;815.8;-;-;43;84;2.2;-;-;0
SIA;18641004;-;814.9;-;-;100;96;-0.8;-;-;0
SIA;18641005;-;814.7;-;-;-;84.3;-0.8;-;-;0
SIA;18641006;-;815.6;-;-;50;90.3;-1.1;-;-;0
SIA;18641007;-;816.4;-;-;0;82;-0.6;-;-;0
SIA;18641008;-;817.2;-;-;0;79.3;-0.7;-;-;0
SIA;18641009;-;814.4;-;-;0;80.3;-0.8;-;-;0
SIA;18641010;-;812.8;-;-;13;78;-0.2;-;-;0
SIA;18641011;-;814.8;-;-;13;66.7;0.7;-;-;0
SIA;18641012;-;815;-;-;30;66.7;0.9;-;-;0
SIA;18641013;-;813.6;-;-;70;64.7;3.1;-;-;0
SIA;18641014;-;811.8;-;-;80;69.7;1.6;-;-;0
SIA;18641015;-;811.5;-;-;83;70;-0.3;-;-;0
SIA;18641016;-;814.6;-;-;0;67;-2;-;-;0
SIA;18641017;-;816.4;-;-;37;83.7;-0.6;-;-;0
SIA;18641018;-;817.6;-;-;43;73;2.5;-;-;0
SIA;18641019;-;815.1;-;-;100;93.3;2.8;-;-;0
SIA;18641020;-;811.1;-;-;100;92;4.8;-;-;12.7
SIA;18641021;-;806.9;-;-;100;95.3;3.7;-;-;25.6
SIA;18641022;-;807.7;-;-;80;93.7;3.2;-;-;2.3
SIA;18641023;-;807.2;-;-;77;91.3;2.6;-;-;28.2
SIA;18641024;-;806.5;-;-;100;96;1;-;-;4.5
SIA;18641025;-;809.7;-;-;83;90.3;1;-;-;20.3
SIA;18641026;-;806;-;-;100;95;4.8;-;-;16.2
SIA;18641027;-;807.2;-;-;77;91.7;1.9;-;-;29.8
SIA;18641028;-;806.1;-;-;97;81.3;2.5;-;-;0
SIA;18641029;-;800.7;-;-;100;95;3;-;-;0.7
SIA;18641030;-;808.1;-;-;40;80.7;2.3;-;-;0
SIA;18641031;-;817.2;-;-;0;71.7;0.3;-;-;0
SIA;18641101;-;820.2;-;-;7;79;0.5;-;-;0
SIA;18641102;-;818.4;-;-;100;93.7;1.5;-;-;1.7
SIA;18641103;-;816.3;-;-;100;93.7;3.2;-;-;0.4
SIA;18641104;-;820.4;-;-;77;86.7;2.5;-;-;0
SIA;18641105;-;818.6;-;-;73;83.3;2.3;-;-;0
SIA;18641106;-;813;-;-;67;67.7;-3.9;-;-;0
SIA;18641107;-;813.1;-;-;70;80.3;-3.7;-;-;0
SIA;18641108;-;810.3;-;-;47;79.7;-1.2;-;-;0
SIA;18641109;-;809.5;-;-;0;78.3;-2;-;-;0
SIA;18641110;-;811.8;-;-;0;84;-2.5;-;-;0
SIA;18641111;-;810.6;-;-;60;91;-2.7;-;-;1.4
SIA;18641112;-;810.8;-;-;100;90;-0.9;-;-;0
SIA;18641113;-;808.5;-;-;53;81.3;-2.3;-;-;0
SIA;18641114;-;799.6;-;-;67;95.3;-1.4;-;-;12.5
SIA;18641115;-;792.4;-;-;57;88;-3.9;-;-;0
SIA;18641116;-;797.7;-;-;67;90.3;-4.5;-;-;0
SIA;18641117;-;807.5;-;-;33;71.3;-5.9;-;-;0
SIA;18641118;-;809;-;-;93;67.7;-0.3;-;-;0
SIA;18641119;-;812.5;-;-;43;85.7;-2.8;-;-;1.5
SIA;18641120;-;811.5;-;-;27;73.3;-5;-;-;0
SIA;18641121;-;809.3;-;-;90;82.3;-2;-;-;1.9
SIA;18641122;-;813.3;-;-;30;77.3;-3.8;-;-;0
SIA;18641123;-;811.9;-;-;33;77.7;-5.6;-;-;0
SIA;18641124;-;804;-;-;100;93.7;-2.1;-;-;0
SIA;18641125;-;800.3;-;-;63;93.7;-3.5;-;-;30.5
SIA;18641126;-;798.3;-;-;100;94.3;-3.8;-;-;4.5
SIA;18641127;-;806.1;-;-;73;78;-4.3;-;-;8.6
SIA;18641128;-;818;-;-;0;77.3;-8.2;-;-;0
SIA;18641129;-;820.7;-;-;43;80.7;-4.5;-;-;0
SIA;18641130;-;820;-;-;10;86.7;-6.4;-;-;0
SIA;18641201;-;817.3;-;-;0;81.3;-8.7;-;-;0
SIA;18641202;-;817.1;-;-;33;70.7;-5.6;-;-;0
SIA;18641203;-;820.6;-;-;0;83.7;-8.9;-;-;0
SIA;18641204;-;823.4;-;-;0;72.7;-9.5;-;-;0
SIA;18641205;-;821;-;-;3;60.7;-8.5;-;-;0
SIA;18641206;-;822.4;-;-;0;64.3;-11.2;-;-;0
SIA;18641207;-;819.2;-;-;20;65.3;-9;-;-;0
SIA;18641208;-;813.2;-;-;83;81.3;-5.7;-;-;0
SIA;18641209;-;814.1;-;-;0;78.7;-9.9;-;-;0
SIA;18641210;-;815.7;-;-;0;64.7;-10.6;-;-;0
SIA;18641211;-;817.6;-;-;0;76;-9.9;-;-;0
SIA;18641212;-;813.7;-;-;87;82;-3;-;-;0
SIA;18641213;-;806.6;-;-;97;94.3;-2.5;-;-;3.3
SIA;18641214;-;808.1;-;-;87;89.7;-2.3;-;-;0
SIA;18641215;-;801.1;-;-;100;85;-0.8;-;-;2.6
SIA;18641216;-;799.4;-;-;100;93.3;-2.3;-;-;0
SIA;18641217;-;807.5;-;-;83;93.7;-4.1;-;-;1
SIA;18641218;-;809.8;-;-;83;89;-5.6;-;-;0
SIA;18641219;-;813.7;-;-;47;87.7;-8.6;-;-;0
SIA;18641220;-;815.6;-;-;53;83.3;-8.3;-;-;0
SIA;18641221;-;811.1;-;-;53;83;-7.3;-;-;2.1
SIA;18641222;-;807;-;-;93;83.7;-9.3;-;-;0
SIA;18641223;-;808.1;-;-;47;88;-9.1;-;-;0
SIA;18641224;-;813.6;-;-;0;87.7;-13;-;-;0
SIA;18641225;-;814.7;-;-;0;80;-13.6;-;-;0
SIA;18641226;-;815.4;-;-;0;88;-14.8;-;-;0
SIA;18641227;-;814.5;-;-;60;83;-6.2;-;-;0
SIA;18641228;-;814.1;-;-;60;85.7;-3.3;-;-;0
SIA;18641229;-;819.2;-;-;0;69;-8.3;-;-;0
SIA;18641230;-;815.2;-;-;0;67.3;-11.3;-;-;0
SIA;18641231;-;806.3;-;-;0;70.3;-12.4;-;-;0
SIA;18650101;-;802.7;-;-;37;73.3;-13.1;-;-;0
SIA;18650102;-;803.7;-;-;13;76.3;-11.3;-;-;0
SIA;18650103;-;802.7;-;-;10;79.7;-13.6;-;-;0
SIA;18650104;-;813;-;-;13;66.3;-9.1;-;-;0
SIA;18650105;-;818.5;-;-;20;72;-5.9;-;-;0
SIA;18650106;-;812.9;-;-;50;73.3;-3.2;-;-;9.8
SIA;18650107;-;814.9;-;-;70;85.7;-9.3;-;-;0
SIA;18650108;-;820.3;-;-;13;80;-10.5;-;-;0
SIA;18650109;-;815.6;-;-;73;70.7;-7;-;-;0
SIA;18650110;-;816.6;-;-;10;77.3;-7.6;-;-;0
SIA;18650111;-;816.5;-;-;0;80;-9.2;-;-;0
SIA;18650112;-;811.7;-;-;100;86.7;-4.1;-;-;0
SIA;18650113;-;804.4;-;-;100;93.7;-3.2;-;-;4.3
