stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Sonnenscheindauer (min);Relative Luftfeuchtigkeit (%)
BER;18640101;-;-;100;939.6;4.7;-1.3;-5.7;0.7;-;95.3
BER;18640102;-;-;63;949.2;4.9;-10.3;-12.8;-5.7;-;91
BER;18640103;-;-;63;951;0.4;-12.2;-13.6;-10.2;-;92
BER;18640104;-;-;90;952.8;0;-11.9;-14.2;-10.9;-;92
BER;18640105;-;-;17;955.2;0;-12.8;-15.6;-8.1;-;98
BER;18640106;-;-;70;954.7;0;-11.8;-15.9;-7.8;-;89.7
BER;18640107;-;-;100;953.7;0;-9.4;-13.2;-6.8;-;95
BER;18640108;-;-;73;953.8;0;-9.1;-11.8;-6.3;-;97.3
BER;18640109;-;-;20;953.2;0;-9.5;-13.7;-4.3;-;89.3
BER;18640110;-;-;33;954.8;0;-11;-15.3;-5.5;-;92.7
BER;18640111;-;-;67;957;0;-10.7;-15.1;-4.5;-;99
BER;18640112;-;-;100;960.3;0;-10.1;-12.1;-7.3;-;97
BER;18640113;-;-;63;959.2;0;-12;-15.6;-7;-;96.7
BER;18640114;-;-;67;957.2;0;-11.2;-16.7;-5.6;-;93.3
BER;18640115;-;-;77;958.4;0;-12;-16.8;-6.9;-;100
BER;18640116;-;-;67;959.2;0;-11;-16.3;-8.8;-;96
BER;18640117;-;-;100;958.6;0;-9.1;-11.6;-5.5;-;95.7
BER;18640118;-;-;100;958.6;0;-9.2;-11.6;-6.2;-;97
BER;18640119;-;-;50;963.2;0;-9.4;-12.3;-4.3;-;97
BER;18640120;-;-;13;963.8;0;-9.5;-14.7;-4.3;-;96.7
BER;18640121;-;-;73;959.7;0;-7.6;-13.9;-1.8;-;95.3
BER;18640122;-;-;40;960;0;-4.9;-10.3;-3.7;-;83.3
BER;18640123;-;-;30;959.2;0;-2.4;-8.7;5;-;88.3
BER;18640124;-;-;67;957.1;0.7;2.6;-3;5;-;85.7
BER;18640125;-;-;97;961.6;5.4;2.6;1.5;4.9;-;91
BER;18640126;-;-;40;961.7;0;1.5;-1.9;7;-;86
BER;18640127;-;-;53;959.4;0;3;-2.3;8;-;80.7
BER;18640128;-;-;80;952.6;0;3;1.3;7.7;-;87.7
BER;18640129;-;-;100;952.1;7.2;0.3;-2.9;2.3;-;96.7
BER;18640130;-;-;20;959.5;1.3;-4.9;-8.3;-2.9;-;92.3
BER;18640131;-;-;97;959.6;0;-8.2;-11;-4.6;-;94
BER;18640201;-;-;0;961.2;0;-5.6;-10.3;0.9;-;93
BER;18640202;-;-;7;961.4;0;-3.2;-9.5;3.8;-;79.3
BER;18640203;-;-;0;959.5;0;-2.6;-8.7;6.4;-;82
BER;18640204;-;-;100;952.4;6.4;-0.8;-4;1.3;-;94.7
BER;18640205;-;-;93;948.4;1.3;-3.2;-5.9;-1.1;-;91
BER;18640206;-;-;100;940.3;0.6;-3.7;-4.7;-2.9;-;88.7
BER;18640207;-;-;100;940;0.8;-4.6;-5.7;-1.3;-;96.3
BER;18640208;-;-;50;938.5;3.2;-6;-9.3;-1.3;-;93
BER;18640209;-;-;73;936.4;0;-7.7;-9.1;-1.9;-;91.7
BER;18640210;-;-;47;933.6;0;-7.2;-12.3;-2.5;-;94.3
BER;18640211;-;-;40;938.4;0;-5.5;-11.4;2.2;-;89.3
BER;18640212;-;-;87;949.5;0;-5.9;-15.8;-0.3;-;90.7
BER;18640213;-;-;60;957.5;5.1;2.5;-3;9.9;-;97.3
BER;18640214;-;-;17;961.5;0;2.7;0.1;9.4;-;90.7
BER;18640215;-;-;60;955.9;0;2.5;-2;8.9;-;84.7
BER;18640216;-;-;93;949.6;0;5.1;1.7;10.7;-;82
BER;18640217;-;-;97;941.7;0;1;-1.9;6.8;-;82
BER;18640218;-;-;80;944.3;11;-2.1;-4.5;3.1;-;88.7
BER;18640219;-;-;47;944.9;0;-7.1;-8.8;-4.5;-;88.3
BER;18640220;-;-;77;937.9;0;-6.7;-11.9;-4.9;-;92.7
BER;18640221;-;-;70;929.9;0;-2.4;-7.9;2.2;-;88.7
BER;18640222;-;-;30;942.4;0.5;1.8;-1.5;5.7;-;90.3
BER;18640223;-;-;90;942.3;0;1.8;-0.7;6.2;-;87.7
BER;18640224;-;-;67;945.4;0;2.3;-2.6;9.2;-;85
BER;18640225;-;-;50;945.2;0;4;-1.5;11.9;-;82
BER;18640226;-;-;17;945;0;4.7;0.7;12.4;-;79
BER;18640227;-;-;53;943.6;0;3.2;-0.7;8.8;-;86
BER;18640228;-;-;27;941.3;0;5.3;-0.1;11.2;-;78
BER;18640229;-;-;57;937.7;0;5.2;0.8;10.7;-;82
BER;18640301;-;-;40;947.7;1.5;2.8;0.2;8.2;-;83.3
BER;18640302;-;-;90;944.7;0;0.4;-2.8;3.9;-;89
BER;18640303;-;-;67;944.9;3.4;4.2;0;9.6;-;86.7
BER;18640304;-;-;17;942.5;0;6.9;-;15.2;-;75.7
BER;18640305;-;-;90;933.4;0;8.1;3.6;12.5;-;69
BER;18640306;-;-;100;937.1;3.6;7;3.2;9.4;-;80.3
BER;18640307;-;-;40;937.8;0;9.4;1.7;15.7;-;70.7
BER;18640308;-;-;87;935.6;0;7.1;2.7;14;-;79.7
BER;18640309;-;-;93;932.3;4.9;6.3;2.9;10.2;-;90
BER;18640310;-;-;83;945.8;12.6;2.9;0.2;5.7;-;79.7
BER;18640311;-;-;10;953.1;0;2.5;-3.8;8.6;-;71
BER;18640312;-;-;60;956.3;3.2;3.7;-0.4;8.2;-;80
BER;18640313;-;-;10;960.1;0;2.7;-2.3;10.3;-;70
BER;18640314;-;-;10;956.9;0;3.7;-3.1;11.5;-;66
BER;18640315;-;-;13;950.3;0;6;-3.2;15.7;-;70.3
BER;18640316;-;-;53;948.4;0;6.4;0;14.2;-;73.7
BER;18640317;-;-;20;949.5;0;2.3;-0.6;7.7;-;72
BER;18640318;-;-;50;944.6;0;3.3;-3.8;9.4;-;78
BER;18640319;-;-;60;940;0;5.9;-1.7;13.3;-;79.7
BER;18640320;-;-;60;937.7;0;6;3.3;10.2;-;82.3
BER;18640321;-;-;83;934;3.4;7.6;1.5;15.1;-;83.7
BER;18640322;-;-;87;933.8;1.1;8.7;6.2;13.7;-;82
BER;18640323;-;-;83;937.5;20;5.4;1.8;7;-;89.7
BER;18640324;-;-;0;942.2;1.5;3.3;-0.3;7.9;-;79.7
BER;18640325;-;-;20;940.2;0;4.5;-2;13.7;-;82
BER;18640326;-;-;90;934.9;3;4.6;2.7;8.1;-;89
BER;18640327;-;-;67;926;0;5.8;-0.8;10.6;-;77.7
BER;18640328;-;-;100;928.7;2.4;1.7;1.2;3.7;-;89
BER;18640329;-;-;90;923.5;0;0;-0.3;4;-;89.7
BER;18640330;-;-;87;934.8;0.9;0.4;-0.7;3.2;-;91.3
BER;18640331;-;-;57;947.5;0.8;2;-0.2;7.3;-;75.3
BER;18640401;-;-;70;947.9;0;5.8;-2.3;11;-;71.7
BER;18640402;-;-;77;948.1;4.2;1.9;1.2;6;-;83.7
BER;18640403;-;-;100;951.4;0;4;0.8;7.5;-;72.3
BER;18640404;-;-;100;950.3;1.4;6.8;3.5;8.7;-;86.7
BER;18640405;-;-;100;950.9;0;4.8;1.5;9.3;-;91.3
BER;18640406;-;-;27;952.2;9.7;3.2;-1.1;8.9;-;78.3
BER;18640407;-;-;13;953;0;2.7;-0.8;8.7;-;59
BER;18640408;-;-;0;954.4;0;-0.9;-5.2;2.7;-;65.7
BER;18640409;-;-;13;951.1;0;2.5;-2.8;7.7;-;59
BER;18640410;-;-;33;948;0;5.6;-1.1;9.9;-;58.7
BER;18640411;-;-;20;947.5;0;6.7;-1.3;12.2;-;71.7
BER;18640412;-;-;0;947.5;0;8.8;1.8;14.1;-;67.7
BER;18640413;-;-;7;946.3;0;9.7;1.3;15.3;-;67.7
BER;18640414;-;-;0;943.7;0;8.4;2.3;14.4;-;55.3
BER;18640415;-;-;10;942.8;0;10.1;0.3;17.4;-;65.3
BER;18640416;-;-;100;942.8;1.5;6.2;4.1;7.3;-;89.3
BER;18640417;-;-;73;947.3;25.2;4.1;0.2;7.6;-;85
BER;18640418;-;-;3;952.8;0;6.4;1.3;12.7;-;71.3
BER;18640419;-;-;0;952.3;0;9.3;1.3;16.1;-;63.7
BER;18640420;-;-;3;949.3;0;9.6;0.9;16;-;61.3
BER;18640421;-;-;50;946.5;0;7.6;1.1;13.7;-;60
BER;18640422;-;-;3;949.9;0;7.7;0.7;12.7;-;58.7
BER;18640423;-;-;0;954;0;10.5;-0.6;17.2;-;58.3
BER;18640424;-;-;0;952.8;0;11.5;1.7;17.7;-;59.7
BER;18640425;-;-;3;952.9;0;12.8;2.8;21.4;-;61
BER;18640426;-;-;7;953;0;14.5;5.5;23.1;-;56.7
BER;18640427;-;-;43;952.1;0;14;7.3;21.8;-;60.7
BER;18640428;-;-;93;949.7;0;10.2;6.6;15.2;-;87
BER;18640429;-;-;100;947.4;16.5;7.2;6.1;12.3;-;90
BER;18640430;-;-;20;951.3;1.6;8.3;3.4;15.7;-;72.3
BER;18640501;-;-;37;953.7;0;7.8;3.5;15.7;-;73.3
BER;18640502;-;-;67;949.8;0;7.7;0.3;13.2;-;72
BER;18640503;-;-;100;941.7;14.1;10.4;7.2;13.7;-;83.3
BER;18640504;-;-;100;946.5;6.3;7.2;5.2;12.2;-;77.7
BER;18640505;-;-;100;948.5;11.4;9.1;5.7;13;-;87.3
BER;18640506;-;-;50;949.5;6.1;10.7;5.5;15.5;-;85
BER;18640507;-;-;40;946;0;13.6;4.9;20.9;-;76.3
BER;18640508;-;-;73;939.6;0;16.9;10.9;23.7;-;66.3
BER;18640509;-;-;80;939.7;2.4;15.1;12.6;22.3;-;71
BER;18640510;-;-;97;945.1;0.1;13.1;11.2;17.6;-;82.3
BER;18640511;-;-;50;944.1;0;13.1;9.9;17.7;-;79
BER;18640512;-;-;100;941.7;13;10.8;8.7;15;-;84
BER;18640513;-;-;100;947.1;0;11.6;8.1;17.1;-;88.3
BER;18640514;-;-;90;950.6;0;13.4;10.2;15.2;-;86.3
BER;18640515;-;-;33;951.1;19.1;13.9;9.3;18.3;-;82
BER;18640516;-;-;13;951.6;0;15.5;7.3;20.6;-;74.7
BER;18640517;-;-;3;953.6;0;17.2;9;22.9;-;70
BER;18640518;-;-;3;954.3;0;17.9;10.1;23.7;-;69.7
BER;18640519;-;-;3;952.5;0;18;10;23.8;-;61.7
BER;18640520;-;-;0;950.8;0;16.3;9.8;21.6;-;68.3
BER;18640521;-;-;37;945.7;0;15.8;7.5;23.7;-;65.7
BER;18640522;-;-;80;947.7;0;14.6;10.9;19;-;67.7
BER;18640523;-;-;93;948;0;13.2;10.6;18;-;72.7
BER;18640524;-;-;33;951.2;2.2;8.5;5;13.1;-;67.3
BER;18640525;-;-;0;948.2;0;12;1.6;20.3;-;61
BER;18640526;-;-;37;942.5;0;11.4;4.8;16.3;-;63.7
BER;18640527;-;-;10;944.7;0;8.5;4.6;11.9;-;63.3
BER;18640528;-;-;0;948.1;0;11.3;0.9;18.5;-;61.3
BER;18640529;-;-;20;948.3;0;13.1;3.6;18.9;-;60.3
BER;18640530;-;-;13;947.9;0;14;8.2;20.4;-;65.7
BER;18640531;-;-;90;945.7;0;15.8;8;21.7;-;74.7
BER;18640601;-;-;90;945;2.2;16.1;12.4;25.1;-;82.3
BER;18640602;-;-;100;942.9;26.4;14.2;12.8;20.2;-;81.3
BER;18640603;-;-;77;947.2;3;15.5;12.1;20.7;-;78.3
BER;18640604;-;-;60;947.6;0;16.2;10.5;22.9;-;79
BER;18640605;-;-;70;951;7.8;14.7;12.3;19.7;-;91.7
BER;18640606;-;-;53;951;0;17.9;10.6;23.5;-;80
BER;18640607;-;-;73;946.1;0;13.8;12.6;20.9;-;86.3
BER;18640608;-;-;80;947.6;8.7;13.1;11.6;17.2;-;85
BER;18640609;-;-;90;945.2;0;13.7;10.2;20.6;-;78
BER;18640610;-;-;100;945.1;50;7.3;6.2;9;-;95
BER;18640611;-;-;73;949.1;28.5;10.3;8.4;14.5;-;88.3
BER;18640612;-;-;37;944;0;15.4;6.1;21.2;-;82
BER;18640613;-;-;90;942.8;0;15.4;10.2;20.1;-;86.3
BER;18640614;-;-;100;940.9;0;14.8;12.7;20.7;-;89
BER;18640615;-;-;83;944.9;16.4;11.4;9.3;14.3;-;84.7
BER;18640616;-;-;83;950;0;13.7;9;17.9;-;68.7
BER;18640617;-;-;97;956.8;7.3;13;11.2;16.9;-;90.3
BER;18640618;-;-;60;956.9;0;16.1;10.9;21.2;-;74
BER;18640619;-;-;100;958.3;0;15;12.2;19.4;-;69.3
BER;18640620;-;-;3;958.8;0;15.7;11.1;19.2;-;65
BER;18640621;-;-;0;955.9;0;17.2;8.1;23.9;-;70
BER;18640622;-;-;40;955.9;0;17.7;11.4;23.9;-;68.3
BER;18640623;-;-;17;953.3;0;18.8;11.4;27.3;-;68
BER;18640624;-;-;50;957.6;4.2;14.9;11.2;21.7;-;66.3
BER;18640625;-;-;30;956.5;0;16.3;7.3;23.2;-;70.7
BER;18640626;-;-;93;949.8;0;16.6;11;21.9;-;72.3
BER;18640627;-;-;77;948.3;0;10.1;7.4;15.7;-;89.7
BER;18640628;-;-;63;954.5;4.8;10.5;7;13.9;-;71.7
BER;18640629;-;-;97;955.2;0;12.5;4.7;18;-;71.7
BER;18640630;-;-;100;950.3;0;12.4;9.7;15.1;-;92.7
BER;18640701;-;-;53;948.6;2.8;14.5;11;19.5;-;68.3
BER;18640702;-;-;3;948.5;0;15.1;7;22.1;-;69.3
BER;18640703;-;-;43;945.5;0;17;10.9;26.5;-;75
BER;18640704;-;-;63;951.5;8.4;13.6;11.6;19;-;68.3
BER;18640705;-;-;3;952.6;0;14.6;7.8;21;-;69
BER;18640706;-;-;7;951.1;0;14.7;9.2;21;-;63.3
BER;18640707;-;-;63;951.7;0;13.8;10.8;18.9;-;67.3
BER;18640708;-;-;70;951.9;0;15;10.5;21;-;64
BER;18640709;-;-;17;948;0;17.2;9.5;24.9;-;66.3
BER;18640710;-;-;37;947.9;0;16.2;11.3;21.5;-;79.3
BER;18640711;-;-;47;951.9;5.1;19.7;13;26.3;-;78
BER;18640712;-;-;53;949.3;0;22;14.1;30.3;-;74.3
BER;18640713;-;-;93;945.6;6.3;16.7;14.5;23.5;-;89.3
BER;18640714;-;-;50;950.2;1;17.3;14;24;-;77.3
BER;18640715;-;-;3;951.7;0;19;11;26.5;-;70.7
BER;18640716;-;-;47;951.3;0;20.6;11.5;29.3;-;70
BER;18640717;-;-;57;952.5;3.7;19.3;16;26.1;-;74
BER;18640718;-;-;67;949.8;3.1;17.5;14.5;22.8;-;79
BER;18640719;-;-;93;950.6;0;16.8;13.9;20;-;86.7
BER;18640720;-;-;3;953.1;0.9;17.7;13;23.1;-;74.3
BER;18640721;-;-;3;949.7;0;19.4;12;25.9;-;71.7
BER;18640722;-;-;40;950.9;0.6;17.6;14;21.9;-;87
BER;18640723;-;-;97;952.9;12.8;17.6;14.1;23.1;-;79.3
BER;18640724;-;-;73;950.6;0;19;12;25;-;80.7
BER;18640725;-;-;93;947.7;0;20.7;14.5;27;-;75.3
BER;18640726;-;-;100;948.7;0.6;17.8;16.6;21.3;-;80.3
BER;18640727;-;-;23;950;0;19.3;15;25.2;-;72.3
BER;18640728;-;-;10;949.2;0;20.8;12;28.9;-;73.3
BER;18640729;-;-;70;952.8;2;17.8;16;25.8;-;86.3
BER;18640730;-;-;20;957.3;0;20.9;14;26.5;-;68.7
BER;18640731;-;-;3;958.2;0;21.4;13.9;27.5;-;68
BER;18640801;-;-;0;954;0;21.8;15;30.8;-;56.3
BER;18640802;-;-;87;951.5;0;18.4;15.3;23.1;-;65
BER;18640803;-;-;3;952;0;16.9;10.5;22;-;62.3
BER;18640804;-;-;0;953;0;18.9;9;29.2;-;64
BER;18640805;-;-;0;955.7;0;20;11.8;28;-;63.3
BER;18640806;-;-;3;952.4;0;21.7;12.6;30.7;-;60.7
BER;18640807;-;-;17;950.1;0;20.7;14.7;29.5;-;64
BER;18640808;-;-;7;950.1;0;20.6;13.3;28.4;-;59.3
BER;18640809;-;-;7;950;0;22.2;13;30;-;60.7
BER;18640810;-;-;90;951;4;14.6;11;20.8;-;74.3
BER;18640811;-;-;77;956;0.5;10.1;7.6;15;-;70
BER;18640812;-;-;0;958.5;0;12;5;18;-;67.7
BER;18640813;-;-;0;956.2;0;12.9;5.6;18.4;-;64.3
BER;18640814;-;-;13;956.5;0;12.6;8.3;17.1;-;59.3
BER;18640815;-;-;0;954.5;0;14.4;8.6;19.7;-;66
BER;18640816;-;-;0;952.4;0;17.1;9.3;24.4;-;72.3
BER;18640817;-;-;7;948.3;0;18.7;10.8;28.6;-;67
BER;18640818;-;-;67;944.8;0;17.3;11.1;22.9;-;76.3
BER;18640819;-;-;100;941;0;16.8;13.7;22.6;-;89.7
BER;18640820;-;-;93;943.3;33.2;15.5;14.7;21.9;-;91
BER;18640821;-;-;23;949.4;0;17.2;9.9;25.1;-;72.3
BER;18640822;-;-;57;946.3;0;19.9;12.1;28.2;-;73.3
BER;18640823;-;-;97;939.9;0;16.8;17;21.6;-;84
BER;18640824;-;-;90;949.3;12.8;10.1;9.3;18;-;76.7
BER;18640825;-;-;30;956.6;0;9.4;6.6;16.4;-;72.3
BER;18640826;-;-;67;955.3;0;9.9;4;17;-;78.3
BER;18640827;-;-;70;957;7.7;8.4;5.9;12.5;-;89.7
BER;18640828;-;-;33;956.7;1.6;8.4;3;15;-;87.3
BER;18640829;-;-;17;955.2;0;11.8;4;21.7;-;77.7
BER;18640830;-;-;3;955;0;15;8;24;-;77
BER;18640831;-;-;0;954.9;0;16.6;9.3;25.9;-;77
BER;18640901;-;-;83;953.8;0;15.4;13.5;21;-;92.3
BER;18640902;-;-;87;951.1;6.4;13.9;12.5;18.6;-;90.3
BER;18640903;-;-;87;947.2;0;12.9;11.1;18.9;-;87.3
BER;18640904;-;-;83;947.2;0;10.6;10.5;15.7;-;91.3
BER;18640905;-;-;63;955.3;0;14.1;10.4;19;-;75.7
BER;18640906;-;-;77;956.6;9.5;15.9;13;20.7;-;80
BER;18640907;-;-;37;955.7;1.1;17;13.2;24.5;-;77.3
BER;18640908;-;-;3;956.3;0;16.2;10.5;25;-;82.7
BER;18640909;-;-;17;955.8;0;17.4;11.5;27;-;81.3
BER;18640910;-;-;3;952.4;0;17.7;11.8;28;-;77
BER;18640911;-;-;100;949;3;13.4;11.3;19.3;-;93
BER;18640912;-;-;87;952.3;20;8.3;6.9;11.5;-;92.3
BER;18640913;-;-;37;953.2;0;7.9;5;14.2;-;81
BER;18640914;-;-;7;950.9;0;9.1;2.9;17.6;-;81
BER;18640915;-;-;70;947.2;0;12.3;5.6;20.4;-;83.7
BER;18640916;-;-;50;943.1;0;16.1;11;22.5;-;78
BER;18640917;-;-;40;942.4;0;16.9;10.3;25.5;-;78.7
BER;18640918;-;-;100;946.9;4.9;12.3;11.4;16.7;-;89.3
BER;18640919;-;-;63;947.6;0;10.9;9.3;16.5;-;82.3
BER;18640920;-;-;70;949.4;0;8.3;5.8;15;-;91.3
BER;18640921;-;-;33;950.7;1.3;8.7;3.6;16.5;-;88.3
BER;18640922;-;-;33;950.5;0;12.9;4;21.8;-;80
BER;18640923;-;-;40;954.6;8.2;13.7;10.7;21.9;-;83.3
BER;18640924;-;-;10;957.4;0;11.2;6.6;18;-;89.7
BER;18640925;-;-;40;959.3;0;12.4;6.1;18.5;-;79
BER;18640926;-;-;37;959.1;0;11.1;7.9;16;-;85.7
BER;18640927;-;-;3;957;0;9.6;6;16;-;81.7
BER;18640928;-;-;33;957.8;0;9.3;3.6;16.6;-;87.3
BER;18640929;-;-;33;953.5;0;11.8;5.5;21;-;87.7
BER;18640930;-;-;40;948.9;0;11.5;7.4;19.5;-;75.3
BER;18641001;-;-;33;947.3;0;8.4;5.9;14.5;-;77
BER;18641002;-;-;33;949.3;0;7.4;2.5;13.1;-;80.7
BER;18641003;-;-;73;951.3;0;4.7;2.4;10.1;-;76
BER;18641004;-;-;67;948.6;0;2.2;1.6;4.9;-;89.7
BER;18641005;-;-;63;948.2;0;2.8;1.5;7.9;-;90.3
BER;18641006;-;-;67;950.1;0;1.7;1.5;4.1;-;96
BER;18641007;-;-;67;952.7;0;2.5;0;6.4;-;90.3
BER;18641008;-;-;40;952.4;0;2.4;-1.5;8.5;-;88
BER;18641009;-;-;33;948.9;0;3;-1.1;9.8;-;92.7
BER;18641010;-;-;70;949.4;0;2.1;-0.1;8.6;-;95.3
BER;18641011;-;-;57;952.4;0;4.7;1.8;11.1;-;77.7
BER;18641012;-;-;63;952.1;0;7.4;3.4;12.1;-;76
BER;18641013;-;-;70;949.4;0;8.6;5.6;14.2;-;78
BER;18641014;-;-;53;948.6;0;6.3;3.6;11;-;85.7
BER;18641015;-;-;93;949.6;2.9;4.8;2.8;8.2;-;92.3
BER;18641016;-;-;37;950;0;2.2;-2;10.6;-;90.3
BER;18641017;-;-;0;948;0;6.9;-0.6;18;-;78
BER;18641018;-;-;3;947.4;0;9.1;3.1;18.5;-;71.3
BER;18641019;-;-;17;940.5;0;7.8;3.6;17.1;-;84.3
BER;18641020;-;-;93;937.7;0;8.7;4;13.3;-;89
BER;18641021;-;-;100;937.3;0;9.4;8.8;12.8;-;95.3
BER;18641022;-;-;43;934.2;10;10;5.8;15;-;85.7
BER;18641023;-;-;63;937;0.8;10.1;7.7;16;-;79
BER;18641024;-;-;100;936.9;13.6;7.3;5.4;10.8;-;94.7
BER;18641025;-;-;87;936;0;5.2;1.1;8.6;-;95
BER;18641026;-;-;40;928.5;0.5;10.7;6.7;17.6;-;86.3
BER;18641027;-;-;40;935.8;1.9;8.2;5;14;-;83.3
BER;18641028;-;-;57;932;0;6.1;2.5;11.3;-;91
BER;18641029;-;-;100;932.2;0;7.1;4.7;9.6;-;91.7
BER;18641030;-;-;80;942.7;0;7.8;7;11.2;-;92.7
BER;18641031;-;-;100;951;0;6.2;5.6;8.2;-;90.3
BER;18641101;-;-;93;953.2;0;6.7;5;10.6;-;88.7
BER;18641102;-;-;100;950.3;0;7.7;6.5;10.3;-;93
BER;18641103;-;-;97;949.2;4.5;7.4;6.3;12;-;95.7
BER;18641104;-;-;100;956.5;3.2;4.1;3.6;6.1;-;93.3
BER;18641105;-;-;100;954.6;0;3.3;2;6.5;-;92.3
BER;18641106;-;-;77;953.2;0;0.7;0.4;4;-;82.3
BER;18641107;-;-;93;950.4;0;-2.6;-2.5;0.4;-;83.7
BER;18641108;-;-;33;946.9;0;-1.8;-3.2;2.8;-;86.3
BER;18641109;-;-;100;945.8;0;-1.7;-3;0.5;-;91.3
BER;18641110;-;-;100;946.5;0;-0.5;-0.9;1.2;-;89
BER;18641111;-;-;100;943.8;0;-1;-1.1;0.4;-;99.3
BER;18641112;-;-;100;944.9;0;2.1;0.4;5;-;92.3
BER;18641113;-;-;63;940.3;0;3.5;2.1;8.9;-;87
BER;18641114;-;-;100;927;0.9;5.3;2.9;9;-;90.3
BER;18641115;-;-;87;923.3;0;5.6;6;9.8;-;80.7
BER;18641116;-;-;97;929.3;1.8;5.5;5;8.4;-;82.7
BER;18641117;-;-;20;940.8;2.1;4.1;1.4;10.6;-;80.7
BER;18641118;-;-;100;944.1;1.8;4.3;1.2;6.9;-;97
BER;18641119;-;-;17;949.3;8.1;3.2;2.3;9;-;84.7
BER;18641120;-;-;67;944.7;0;2.1;-1.3;7;-;87.7
BER;18641121;-;-;100;946.6;3.5;3.3;2.5;5.1;-;93.3
BER;18641122;-;-;100;949.3;1.1;3.3;1.9;7;-;91.7
BER;18641123;-;-;70;946.4;3.9;4.6;3.6;9.3;-;82.3
BER;18641124;-;-;100;932.4;1;3.5;2;7.4;-;92
BER;18641125;-;-;83;934.6;9;1.3;0.5;6.2;-;93
BER;18641126;-;-;100;930.5;5.8;2;0.5;5.4;-;89.3
BER;18641127;-;-;67;946.5;1.9;1.6;0;5.2;-;85.3
BER;18641128;-;-;70;956.4;0;-1.4;-3;3;-;95
BER;18641129;-;-;100;960.8;3.6;0.2;-2.9;3;-;96.7
BER;18641130;-;-;60;959.3;0;0.1;0;3.5;-;92.3
BER;18641201;-;-;30;-;0;-0.9;-3.5;1.1;-;86
BER;18641202;-;-;80;-;0;0.1;-1.8;0.7;-;83
BER;18641203;-;-;60;-;0;-1.1;-2.1;0;-;90
BER;18641204;-;-;0;-;0;-4.1;-5.7;-1.9;-;94
BER;18641205;-;-;100;-;0;-4.2;-5.5;-3.8;-;96
BER;18641206;-;-;100;-;0;-4.3;-6.3;-3;-;97
BER;18641207;-;-;50;-;0;-5.4;-8.6;-3.8;-;95
BER;18641208;-;-;80;-;0;-5.1;-8.1;-3;-;98
BER;18641209;-;-;40;-;0;-3;-8;2.1;-;86
BER;18641210;-;-;20;-;0;-3.8;-6.9;1;-;92
BER;18641211;-;-;70;-;0;-4.1;-8.7;1.6;-;88
BER;18641212;-;-;60;-;0;-4.8;-8;-2.5;-;97
BER;18641213;-;-;100;-;0;-4.3;-6.2;-3.1;-;99
BER;18641214;-;-;100;-;0;-3.7;-5.1;-3;-;98
BER;18641215;-;-;100;-;0;-2.5;-4;-1.7;-;98
BER;18641216;-;-;100;-;2;-1.5;-3.1;-0.7;-;95
BER;18641217;-;-;90;-;0;-1;-3.5;0.7;-;94
BER;18641218;-;-;80;-;0;-2.2;-4.5;-0.5;-;98
BER;18641219;-;-;100;-;0;-2.1;-3;0;-;97
BER;18641220;-;-;100;-;0;-0.4;-2.7;1;-;92
BER;18641221;-;-;100;-;2.3;0;-0.9;1.5;-;96
BER;18641222;-;-;100;-;1.3;-1.1;-2.5;0.8;-;96
BER;18641223;-;-;100;-;0;-5.6;-6.7;-2.5;-;95
BER;18641224;-;-;100;-;0;-7.9;-9.1;-6.5;-;98
BER;18641225;-;-;100;-;0;-9.2;-9.9;-7.9;-;99
BER;18641226;-;-;100;-;0;-9.1;-9.9;-8.1;-;99
BER;18641227;-;-;70;-;0;-8.6;-9.9;-6.8;-;98
BER;18641228;-;-;70;-;0;-8.1;-9.3;-5.9;-;97
BER;18641229;-;-;100;-;0;-6.4;-8.3;-5.2;-;97
BER;18641230;-;-;100;-;0;-6.8;-8.9;-3.8;-;97
BER;18641231;-;-;70;-;0;-5.1;-10;-2.5;-;99
BER;18650101;-;-;80;-;0;-3.5;-5.9;-1.8;-;95
BER;18650102;-;-;100;-;1.7;-2.8;-4;-1;-;97
BER;18650103;-;-;70;-;0;-2.7;-4.1;-1;-;97
BER;18650104;-;-;90;-;0;-4.2;-7.5;-2;-;98
BER;18650105;-;-;60;-;0;0.6;-2.8;6.4;-;90
BER;18650106;-;-;100;-;0;2.8;-1;7.3;-;68
BER;18650107;-;-;70;-;1.3;-2.6;-6.7;1.9;-;89
BER;18650108;-;-;0;-;0;-6;-10;0.4;-;89
BER;18650109;-;-;80;-;0;0.2;-8.1;6;-;87
BER;18650110;-;-;60;-;0;1.1;-0.9;6;-;93
BER;18650111;-;-;50;-;0;-0.1;-1.7;4.3;-;89
BER;18650112;-;-;40;-;0;-0.4;-2.4;4;-;89
BER;18650113;-;-;80;-;0;0.6;-4.9;5.1;-;89
BER;18650114;-;-;100;-;12.6;2.3;1;9.1;-;91
BER;18650115;-;-;100;-;3.2;0.4;-0.6;3;-;91
BER;18650116;-;-;80;-;0;-1.3;-2.9;3.5;-;89
BER;18650117;-;-;100;-;0;-1;-3.7;3.2;-;88
BER;18650118;-;-;100;-;1.9;-1.7;-3;1.7;-;79
