stn;time;" Globalstrahlung (W/m); Tagesmittel";Sonnenscheindauer (min);Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Relative Luftfeuchtigkeit (%);Niederschlag (mm);Durchschnittstemperatur;Tiefsttemperatur;Maximaltemperatur
CHM;18640101;-;-;-;-;873.5;-;7.3;-1.9;-;-
CHM;18640102;-;-;-;-;880;-;6.1;-14.3;-;-
CHM;18640103;-;-;-;-;881.1;-;0;-17.1;-;-
CHM;18640104;-;-;-;-;883.2;-;0;-15.5;-;-
CHM;18640105;-;-;-;-;885.7;-;0;-8.9;-;-
CHM;18640106;-;-;-;-;886;-;0;-4.9;-;-
CHM;18640107;-;-;-;-;885.2;-;0;-4.6;-;-
CHM;18640108;-;-;-;-;886;-;0;-2;-;-
CHM;18640109;-;-;-;-;886.2;-;0;-0.6;-;-
CHM;18640110;-;-;-;-;887.4;-;0;-1.3;-;-
CHM;18640111;-;-;-;-;888.7;-;0;-3.3;-;-
CHM;18640112;-;-;-;-;891.7;-;0;-2.7;-;-
CHM;18640113;-;-;-;-;891.2;-;0;0.3;-;-
CHM;18640114;-;-;-;-;889.4;-;0;-1.3;-;-
CHM;18640115;-;-;-;-;890;-;0;-3.5;-;-
CHM;18640116;-;-;-;-;890;-;0;-8.8;-;-
CHM;18640117;-;-;-;-;889.7;-;0;-4;-;-
CHM;18640118;-;-;-;-;889.9;-;0;-3.8;-;-
CHM;18640119;-;-;-;-;894.4;-;0;-3.9;-;-
CHM;18640120;-;-;-;-;895.9;-;0;-2.3;-;-
CHM;18640121;-;-;-;-;892.4;-;0;1;-;-
CHM;18640122;-;-;-;-;893;-;0;1.6;-;-
CHM;18640123;-;-;-;-;893;-;0;3;-;-
CHM;18640124;-;-;-;-;892.2;-;0.2;2.5;-;-
CHM;18640125;-;-;-;-;895.3;-;1.5;-0.4;-;-
CHM;18640126;-;-;-;-;895;-;0;0.1;-;-
CHM;18640127;-;-;-;-;893.5;-;0;1.6;-;-
CHM;18640128;-;-;-;-;886.9;-;0.8;-0.2;-;-
CHM;18640129;-;-;-;-;885.8;-;5.4;-3.8;-;-
CHM;18640130;-;-;-;-;891.2;-;0.2;-9.6;-;-
CHM;18640131;-;-;-;-;890.4;-;0;-9.7;-;-
CHM;18640201;-;-;-;-;893.5;-;0;-2.5;-;-
CHM;18640202;-;-;-;-;894.5;-;0;-0.3;-;-
CHM;18640203;-;-;-;-;892.9;-;0;0;-;-
CHM;18640204;-;-;-;-;885.6;-;0.9;-3.6;-;-
CHM;18640205;-;-;-;-;881;-;0;-7;-;-
CHM;18640206;-;-;-;-;873.2;-;0.1;-8.5;-;-
CHM;18640207;-;-;-;-;872.5;-;4.2;-8.9;-;-
CHM;18640208;-;-;-;-;870.4;-;0.5;-11.4;-;-
CHM;18640209;-;-;-;-;868.4;-;0;-10.5;-;-
CHM;18640210;-;-;-;-;866;-;0.2;-9.1;-;-
CHM;18640211;-;-;-;-;871.4;-;0.4;-7.9;-;-
CHM;18640212;-;-;-;-;883.2;-;0;-5.5;-;-
CHM;18640213;-;-;-;-;892.2;-;21.2;3.4;-;-
CHM;18640214;-;-;-;-;896;-;0;3;-;-
CHM;18640215;-;-;-;-;891.2;-;0;5.3;-;-
CHM;18640216;-;-;-;-;884.8;-;0;5.3;-;-
CHM;18640217;-;-;-;-;876.4;-;3.6;-3.9;-;-
CHM;18640218;-;-;-;-;877.4;-;6;-7.3;-;-
CHM;18640219;-;-;-;-;876.3;-;1.1;-11.9;-;-
CHM;18640220;-;-;-;-;870.5;-;0;-8.8;-;-
CHM;18640221;-;-;-;-;863.9;-;0;-3.2;-;-
CHM;18640222;-;-;-;-;877.3;-;0.2;-1.7;-;-
CHM;18640223;-;-;-;-;877;-;0;2.9;-;-
CHM;18640224;-;-;-;-;880.5;-;0;3.4;-;-
CHM;18640225;-;-;-;-;880.7;-;0;3.8;-;-
CHM;18640226;-;-;-;-;880.6;-;0;2.9;-;-
CHM;18640227;-;-;-;-;879;-;0;2.8;-;-
CHM;18640228;-;-;-;-;876.7;-;0;3.5;-;-
CHM;18640229;-;-;-;-;873.2;-;0;1.3;-;-
CHM;18640301;-;-;-;-;882.3;-;0.4;0.4;-;-
CHM;18640302;-;-;-;-;879.2;-;0.4;-0.7;-;-
CHM;18640303;-;-;-;-;880.1;-;4.4;2.6;-;-
CHM;18640304;-;-;-;-;878.2;-;0.2;5.1;-;-
CHM;18640305;-;-;-;-;869.8;-;0;6.8;-;-
CHM;18640306;-;-;-;-;871.4;-;7.8;3.3;-;-
CHM;18640307;-;-;-;-;874;-;0.1;6.8;-;-
CHM;18640308;-;-;-;-;872.1;-;1.2;4.5;-;-
CHM;18640309;-;-;-;-;868.3;-;9.8;2.8;-;-
CHM;18640310;-;-;-;-;880;-;3;-1.8;-;-
CHM;18640311;-;-;-;-;887.1;-;0;-0.3;-;-
CHM;18640312;-;-;-;-;890.5;-;2.7;0.3;-;-
CHM;18640313;-;-;-;-;894.2;-;0;0.1;-;-
CHM;18640314;-;-;-;-;891.4;-;0;2.8;-;-
CHM;18640315;-;-;-;-;885.7;-;0;5.9;-;-
CHM;18640316;-;-;-;-;883.6;-;0;3.5;-;-
CHM;18640317;-;-;-;-;883.6;-;0;-1.5;-;-
CHM;18640318;-;-;-;-;879.1;-;0;1.9;-;-
CHM;18640319;-;-;-;-;875.7;-;0;4.8;-;-
CHM;18640320;-;-;-;-;873.8;-;3.8;4.1;-;-
CHM;18640321;-;-;-;-;870.3;-;3;5.9;-;-
CHM;18640322;-;-;-;-;870.2;-;0.9;4.4;-;-
CHM;18640323;-;-;-;-;873.2;-;19.5;1.3;-;-
CHM;18640324;-;-;-;-;876.9;-;5.1;0.1;-;-
CHM;18640325;-;-;-;-;875.9;-;0;3.2;-;-
CHM;18640326;-;-;-;-;870.1;-;2.8;1.5;-;-
CHM;18640327;-;-;-;-;862.1;-;1.2;1.9;-;-
CHM;18640328;-;-;-;-;863.7;-;0.5;-3.2;-;-
CHM;18640329;-;-;-;-;858.5;-;1.6;-4.3;-;-
CHM;18640330;-;-;-;-;869.3;-;0.7;-3.8;-;-
CHM;18640331;-;-;-;-;878.5;-;0;-1;-;-
CHM;18640401;-;-;-;-;883.1;-;0;1.4;-;-
CHM;18640402;-;-;-;-;881.9;-;5.8;-1.5;-;-
CHM;18640403;-;-;-;-;885.6;-;0.5;0.3;-;-
CHM;18640404;-;-;-;-;885.2;-;3;2.5;-;-
CHM;18640405;-;-;-;-;885.8;-;5.8;1.8;-;-
CHM;18640406;-;-;-;-;884.9;-;0.5;-0.1;-;-
CHM;18640407;-;-;-;-;886.7;-;0;-1.4;-;-
CHM;18640408;-;-;-;-;887;-;0;-5.9;-;-
CHM;18640409;-;-;-;-;885.2;-;0;-1;-;-
CHM;18640410;-;-;-;-;882.8;-;0;2.7;-;-
CHM;18640411;-;-;-;-;883.2;-;0;3.7;-;-
CHM;18640412;-;-;-;-;883.2;-;0;5.3;-;-
CHM;18640413;-;-;-;-;882.4;-;0;6.7;-;-
CHM;18640414;-;-;-;-;879.4;-;0;5.6;-;-
CHM;18640415;-;-;-;-;878.9;-;0;8.4;-;-
CHM;18640416;-;-;-;-;878.3;-;5;5.4;-;-
CHM;18640417;-;-;-;-;881.8;-;10.8;0.4;-;-
CHM;18640418;-;-;-;-;887.8;-;0.8;3.4;-;-
CHM;18640419;-;-;-;-;887.4;-;0;7.5;-;-
CHM;18640420;-;-;-;-;885.2;-;0;7.3;-;-
CHM;18640421;-;-;-;-;882.2;-;0;4.9;-;-
CHM;18640422;-;-;-;-;885.2;-;0;4.3;-;-
CHM;18640423;-;-;-;-;889.6;-;0;7.6;-;-
CHM;18640424;-;-;-;-;888.6;-;0;10;-;-
CHM;18640425;-;-;-;-;889.5;-;0;11.9;-;-
CHM;18640426;-;-;-;-;889.8;-;0;13.1;-;-
CHM;18640427;-;-;-;-;888.8;-;0;11.3;-;-
CHM;18640428;-;-;-;-;885.5;-;0.3;6.4;-;-
CHM;18640429;-;-;-;-;882.8;-;13.4;2.8;-;-
CHM;18640430;-;-;-;-;886.6;-;1.9;4.1;-;-
CHM;18640501;-;-;-;-;888.7;-;0;3.3;-;-
CHM;18640502;-;-;-;-;885.1;-;0;4.6;-;-
CHM;18640503;-;-;-;-;877.6;-;30;5.8;-;-
CHM;18640504;-;-;-;-;881.7;-;7.6;4;-;-
CHM;18640505;-;-;-;-;884.7;-;10;5.5;-;-
CHM;18640506;-;-;-;-;885.3;-;3;8.7;-;-
CHM;18640507;-;-;-;-;883.3;-;0;11.3;-;-
CHM;18640508;-;-;-;-;877.5;-;0;13.9;-;-
CHM;18640509;-;-;-;-;877.6;-;0;11.6;-;-
CHM;18640510;-;-;-;-;881.7;-;1.8;8.4;-;-
CHM;18640511;-;-;-;-;880.8;-;0;9.4;-;-
CHM;18640512;-;-;-;-;878;-;12.8;7.7;-;-
CHM;18640513;-;-;-;-;883.2;-;3.7;8.8;-;-
CHM;18640514;-;-;-;-;886.9;-;10.8;8.4;-;-
CHM;18640515;-;-;-;-;887.9;-;3.7;10.6;-;-
CHM;18640516;-;-;-;-;888.9;-;2.2;12.8;-;-
CHM;18640517;-;-;-;-;891.2;-;0;14.8;-;-
CHM;18640518;-;-;-;-;891.9;-;0;15.6;-;-
CHM;18640519;-;-;-;-;890.4;-;0;15.7;-;-
CHM;18640520;-;-;-;-;888.3;-;0;13.9;-;-
CHM;18640521;-;-;-;-;883.2;-;0;11.9;-;-
CHM;18640522;-;-;-;-;884.7;-;0.4;9;-;-
CHM;18640523;-;-;-;-;884.6;-;0;8.9;-;-
CHM;18640524;-;-;-;-;886.4;-;3.5;4.7;-;-
CHM;18640525;-;-;-;-;884.5;-;0;8.9;-;-
CHM;18640526;-;-;-;-;878.8;-;0;6.7;-;-
CHM;18640527;-;-;-;-;880.5;-;0;3.4;-;-
CHM;18640528;-;-;-;-;884.2;-;0;6.9;-;-
CHM;18640529;-;-;-;-;884.7;-;0;9.4;-;-
CHM;18640530;-;-;-;-;884.9;-;0;10.2;-;-
CHM;18640531;-;-;-;-;882.9;-;0;12.6;-;-
CHM;18640601;-;-;-;-;882.4;-;5.5;13.3;-;-
CHM;18640602;-;-;-;-;880;-;10.1;11.3;-;-
CHM;18640603;-;-;-;-;884.2;-;5.1;11.1;-;-
CHM;18640604;-;-;-;-;885.2;-;0;12.6;-;-
CHM;18640605;-;-;-;-;888;-;13.2;12.1;-;-
CHM;18640606;-;-;-;-;888.6;-;0.8;15.1;-;-
CHM;18640607;-;-;-;-;883.2;-;12.8;10.8;-;-
CHM;18640608;-;-;-;-;884.4;-;14.2;9;-;-
CHM;18640609;-;-;-;-;882.2;-;0.4;10.1;-;-
CHM;18640610;-;-;-;-;880.4;-;48.6;6.3;-;-
CHM;18640611;-;-;-;-;885.4;-;40.9;7.8;-;-
CHM;18640612;-;-;-;-;881.3;-;0;12;-;-
CHM;18640613;-;-;-;-;880.4;-;0;12.7;-;-
CHM;18640614;-;-;-;-;878.4;-;2.6;11.3;-;-
CHM;18640615;-;-;-;-;881.5;-;18.5;7.7;-;-
CHM;18640616;-;-;-;-;886.6;-;1.5;9.1;-;-
CHM;18640617;-;-;-;-;893.2;-;6.5;10;-;-
CHM;18640618;-;-;-;-;893.8;-;1.1;12.1;-;-
CHM;18640619;-;-;-;-;894.7;-;0;9.5;-;-
CHM;18640620;-;-;-;-;895.4;-;0;11.3;-;-
CHM;18640621;-;-;-;-;892.9;-;0;14;-;-
CHM;18640622;-;-;-;-;893.2;-;0;13.1;-;-
CHM;18640623;-;-;-;-;891.1;-;0;15.7;-;-
CHM;18640624;-;-;-;-;893.9;-;3;9.6;-;-
CHM;18640625;-;-;-;-;893.3;-;0;11.8;-;-
CHM;18640626;-;-;-;-;887.7;-;0;12.5;-;-
CHM;18640627;-;-;-;-;884;-;2.8;5.8;-;-
CHM;18640628;-;-;-;-;890.1;-;0.8;4.9;-;-
CHM;18640629;-;-;-;-;891.1;-;0;8.1;-;-
CHM;18640630;-;-;-;-;886.7;-;4.1;9.2;-;-
CHM;18640701;-;-;-;-;885.1;-;8.1;8.2;-;-
CHM;18640702;-;-;-;-;885.4;-;0;11.4;-;-
CHM;18640703;-;-;-;-;883.1;-;0;12.8;-;-
CHM;18640704;-;-;-;-;888;-;2.6;8.2;-;-
CHM;18640705;-;-;-;-;889.2;-;0;10.1;-;-
CHM;18640706;-;-;-;-;888;-;0;10.3;-;-
CHM;18640707;-;-;-;-;888.1;-;0;9;-;-
CHM;18640708;-;-;-;-;888.5;-;0;10.1;-;-
CHM;18640709;-;-;-;-;885.2;-;0;13;-;-
CHM;18640710;-;-;-;-;885.4;-;0;13.3;-;-
CHM;18640711;-;-;-;-;889.9;-;3.3;16.9;-;-
CHM;18640712;-;-;-;-;887.9;-;0;19.5;-;-
CHM;18640713;-;-;-;-;884.3;-;10.6;13.8;-;-
CHM;18640714;-;-;-;-;887.6;-;0;13.9;-;-
CHM;18640715;-;-;-;-;889.6;-;7.7;16;-;-
CHM;18640716;-;-;-;-;890.6;-;0;17.9;-;-
CHM;18640717;-;-;-;-;890.6;-;1.2;15.3;-;-
CHM;18640718;-;-;-;-;887.5;-;6.7;13.1;-;-
CHM;18640719;-;-;-;-;888.4;-;1.6;12.1;-;-
CHM;18640720;-;-;-;-;890.5;-;0.6;13.9;-;-
CHM;18640721;-;-;-;-;887.9;-;0;16.8;-;-
CHM;18640722;-;-;-;-;888.6;-;2.4;14.2;-;-
CHM;18640723;-;-;-;-;890.3;-;1.6;13.4;-;-
CHM;18640724;-;-;-;-;888.6;-;0;15.4;-;-
CHM;18640725;-;-;-;-;886.2;-;0;17.2;-;-
CHM;18640726;-;-;-;-;886.4;-;0.9;13;-;-
CHM;18640727;-;-;-;-;887.9;-;0;15.4;-;-
CHM;18640728;-;-;-;-;887.9;-;0;18;-;-
CHM;18640729;-;-;-;-;891;-;0;16.1;-;-
CHM;18640730;-;-;-;-;895.4;-;0;16.5;-;-
CHM;18640731;-;-;-;-;896.1;-;0;18.2;-;-
CHM;18640801;-;-;-;-;892.6;-;0;20.1;-;-
CHM;18640802;-;-;-;-;889.3;-;0;13.6;-;-
CHM;18640803;-;-;-;-;889.4;-;0;13.5;-;-
CHM;18640804;-;-;-;-;891.2;-;0;16.5;-;-
CHM;18640805;-;-;-;-;893.7;-;0;18.7;-;-
CHM;18640806;-;-;-;-;890.9;-;0;19.8;-;-
CHM;18640807;-;-;-;-;888.5;-;0;18.8;-;-
CHM;18640808;-;-;-;-;888.5;-;0;17.7;-;-
CHM;18640809;-;-;-;-;888.5;-;0;19.5;-;-
CHM;18640810;-;-;-;-;888.2;-;0;10.2;-;-
CHM;18640811;-;-;-;-;891.5;-;0.1;5.5;-;-
CHM;18640812;-;-;-;-;894.3;-;1.5;8.5;-;-
CHM;18640813;-;-;-;-;892.4;-;0;9.7;-;-
CHM;18640814;-;-;-;-;892.7;-;0;8.1;-;-
CHM;18640815;-;-;-;-;891;-;0;9.7;-;-
CHM;18640816;-;-;-;-;890.1;-;0;14.5;-;-
CHM;18640817;-;-;-;-;886.2;-;0;16.3;-;-
CHM;18640818;-;-;-;-;882.7;-;3.7;14;-;-
CHM;18640819;-;-;-;-;878.4;-;1.7;13.2;-;-
CHM;18640820;-;-;-;-;880.9;-;26.4;11.3;-;-
CHM;18640821;-;-;-;-;886.7;-;0;13.9;-;-
CHM;18640822;-;-;-;-;884.7;-;0;18;-;-
CHM;18640823;-;-;-;-;877.8;-;9.4;14.3;-;-
CHM;18640824;-;-;-;-;885.4;-;6.8;5.2;-;-
CHM;18640825;-;-;-;-;892.1;-;0;5.4;-;-
CHM;18640826;-;-;-;-;890.7;-;0;6.2;-;-
CHM;18640827;-;-;-;-;892.2;-;10.5;4.9;-;-
CHM;18640828;-;-;-;-;892.5;-;0.1;6.8;-;-
CHM;18640829;-;-;-;-;891.4;-;0;10.6;-;-
CHM;18640830;-;-;-;-;891.7;-;0;12.3;-;-
CHM;18640831;-;-;-;-;892.5;-;0;13.7;-;-
CHM;18640901;-;-;-;-;891.4;-;3.4;13.3;-;-
CHM;18640902;-;-;-;-;887.9;-;7;10.4;-;-
CHM;18640903;-;-;-;-;883.6;-;0;10.6;-;-
CHM;18640904;-;-;-;-;883.4;-;17.7;7.3;-;-
CHM;18640905;-;-;-;-;891.8;-;0;10.6;-;-
CHM;18640906;-;-;-;-;893.5;-;3.6;11.4;-;-
CHM;18640907;-;-;-;-;893;-;0;13.6;-;-
CHM;18640908;-;-;-;-;893.6;-;0;13.8;-;-
CHM;18640909;-;-;-;-;893.4;-;0.1;16;-;-
CHM;18640910;-;-;-;-;890.4;-;0;16.5;-;-
CHM;18640911;-;-;-;-;886;-;15.6;9.6;-;-
CHM;18640912;-;-;-;-;887.7;-;21.6;4.6;-;-
CHM;18640913;-;-;-;-;888.8;-;0;6.1;-;-
CHM;18640914;-;-;-;-;886.6;-;0;7.5;-;-
CHM;18640915;-;-;-;-;884;-;0;10.7;-;-
CHM;18640916;-;-;-;-;881;-;0;14.1;-;-
CHM;18640917;-;-;-;-;880.6;-;0;11.3;-;-
CHM;18640918;-;-;-;-;883.3;-;12.2;8.6;-;-
CHM;18640919;-;-;-;-;884;-;0.7;6.7;-;-
CHM;18640920;-;-;-;-;885;-;8.6;5.9;-;-
CHM;18640921;-;-;-;-;886.6;-;1.2;6.6;-;-
CHM;18640922;-;-;-;-;887;-;0;11.6;-;-
CHM;18640923;-;-;-;-;891.1;-;6;9.4;-;-
CHM;18640924;-;-;-;-;893.6;-;0;9.5;-;-
CHM;18640925;-;-;-;-;895.3;-;0;10.1;-;-
CHM;18640926;-;-;-;-;894.6;-;0;8.2;-;-
CHM;18640927;-;-;-;-;892.8;-;0;7.3;-;-
CHM;18640928;-;-;-;-;893.4;-;0;9.3;-;-
CHM;18640929;-;-;-;-;889.8;-;0;11.4;-;-
CHM;18640930;-;-;-;-;885.3;-;0;8.2;-;-
CHM;18641001;-;-;-;-;882.9;-;0;5.4;-;-
CHM;18641002;-;-;-;-;884.8;-;0;4.2;-;-
CHM;18641003;-;-;-;-;885.4;-;0;0.7;-;-
CHM;18641004;-;-;-;-;882.7;-;0;-0.8;-;-
CHM;18641005;-;-;-;-;882.8;-;0;2.1;-;-
CHM;18641006;-;-;-;-;884.4;-;0;-0.4;-;-
CHM;18641007;-;-;-;-;886.9;-;0;0.8;-;-
CHM;18641008;-;-;-;-;886.6;-;0.1;2.1;-;-
CHM;18641009;-;-;-;-;883.7;-;0;3.7;-;-
CHM;18641010;-;-;-;-;884.1;-;0;2;-;-
CHM;18641011;-;-;-;-;887.2;-;0;2.6;-;-
CHM;18641012;-;-;-;-;887.1;-;0;3.4;-;-
CHM;18641013;-;-;-;-;885.1;-;0;3.9;-;-
CHM;18641014;-;-;-;-;883.6;-;0;3;-;-
CHM;18641015;-;-;-;-;883.8;-;2;1.5;-;-
CHM;18641016;-;-;-;-;884.5;-;0;1.8;-;-
CHM;18641017;-;-;-;-;883.5;-;0;7.4;-;-
CHM;18641018;-;-;-;-;883.8;-;0;7.5;-;-
CHM;18641019;-;-;-;-;876.8;-;0;9.4;-;-
CHM;18641020;-;-;-;-;874.6;-;0.2;7.3;-;-
CHM;18641021;-;-;-;-;873.4;-;3.5;6.6;-;-
CHM;18641022;-;-;-;-;870.7;-;0;7.5;-;-
CHM;18641023;-;-;-;-;873.7;-;19.9;6.7;-;-
CHM;18641024;-;-;-;-;873.5;-;16.7;5;-;-
CHM;18641025;-;-;-;-;872.1;-;0;7.9;-;-
CHM;18641026;-;-;-;-;866.9;-;2.7;10.3;-;-
CHM;18641027;-;-;-;-;872.4;-;17.8;5.9;-;-
CHM;18641028;-;-;-;-;869.1;-;0;7.9;-;-
CHM;18641029;-;-;-;-;868.7;-;0;4.1;-;-
CHM;18641030;-;-;-;-;878.8;-;0;4.6;-;-
CHM;18641031;-;-;-;-;886;-;0.2;2.5;-;-
CHM;18641101;-;-;-;-;887.8;-;0.3;3.5;-;-
CHM;18641102;-;-;-;-;886.1;-;0;6.3;-;-
CHM;18641103;-;-;-;-;884.8;-;7.1;5.9;-;-
CHM;18641104;-;-;-;-;890.7;-;7.3;0.8;-;-
CHM;18641105;-;-;-;-;888.6;-;0;0.9;-;-
CHM;18641106;-;-;-;-;886.3;-;0;-4;-;-
CHM;18641107;-;-;-;-;882.8;-;0.2;-7.8;-;-
CHM;18641108;-;-;-;-;879.9;-;0;-3.3;-;-
CHM;18641109;-;-;-;-;879.1;-;0;-5.7;-;-
CHM;18641110;-;-;-;-;879.9;-;0;-0.1;-;-
CHM;18641111;-;-;-;-;877.9;-;0;3.1;-;-
CHM;18641112;-;-;-;-;879.4;-;0;0.7;-;-
CHM;18641113;-;-;-;-;875.7;-;0;0.8;-;-
CHM;18641114;-;-;-;-;863.2;-;5.5;3.3;-;-
CHM;18641115;-;-;-;-;859.8;-;2.5;1;-;-
CHM;18641116;-;-;-;-;865.8;-;4.4;0.7;-;-
CHM;18641117;-;-;-;-;876.8;-;0.4;1.3;-;-
CHM;18641118;-;-;-;-;879.3;-;8.4;1.8;-;-
CHM;18641119;-;-;-;-;883.9;-;0;0;-;-
CHM;18641120;-;-;-;-;879.7;-;0;2;-;-
CHM;18641121;-;-;-;-;881.2;-;0.7;0.9;-;-
CHM;18641122;-;-;-;-;883.9;-;0;1.4;-;-
CHM;18641123;-;-;-;-;881.2;-;6.7;1.1;-;-
CHM;18641124;-;-;-;-;868;-;4.2;0.5;-;-
CHM;18641125;-;-;-;-;869.6;-;3.2;-0.9;-;-
CHM;18641126;-;-;-;-;866;-;3.3;-1.3;-;-
CHM;18641127;-;-;-;-;880.7;-;3.7;-2.3;-;-
CHM;18641128;-;-;-;-;889.5;-;0.1;-1;-;-
CHM;18641129;-;-;-;-;893.9;-;1;-0.5;-;-
CHM;18641130;-;-;-;-;892.2;-;0;-4.2;-;-
CHM;18641201;-;-;-;-;887.9;-;0;-3;-;-
CHM;18641202;-;-;-;-;891.2;-;0.2;-4.2;-;-
CHM;18641203;-;-;-;-;893.9;-;0;-5.8;-;-
CHM;18641204;-;-;-;-;894.2;-;0;-1.9;-;-
CHM;18641205;-;-;-;-;889.8;-;0;1.2;-;-
CHM;18641206;-;-;-;-;890.2;-;0;1;-;-
CHM;18641207;-;-;-;-;887.4;-;0;-0.5;-;-
CHM;18641208;-;-;-;-;882.1;-;0;0.2;-;-
CHM;18641209;-;-;-;-;882.9;-;0;-0.4;-;-
CHM;18641210;-;-;-;-;883.6;-;0;3.2;-;-
CHM;18641211;-;-;-;-;884.9;-;0;3.1;-;-
CHM;18641212;-;-;-;-;879.4;-;0;2.2;-;-
CHM;18641213;-;-;-;-;872.3;-;0;2.3;-;-
CHM;18641214;-;-;-;-;872;-;0;3.5;-;-
CHM;18641215;-;-;-;-;866.6;-;0;2.9;-;-
CHM;18641216;-;-;-;-;869.3;-;0;-3.1;-;-
CHM;18641217;-;-;-;-;877;-;0.1;-3.1;-;-
CHM;18641218;-;-;-;-;876.7;-;0;-3.1;-;-
CHM;18641219;-;-;-;-;883.5;-;0;-1.6;-;-
CHM;18641220;-;-;-;-;885.8;-;0;-2;-;-
CHM;18641221;-;-;-;-;882.4;-;3.8;-1;-;-
CHM;18641222;-;-;-;-;878.3;-;5.6;-3.8;-;-
CHM;18641223;-;-;-;-;880.2;-;0.5;-9.6;-;-
CHM;18641224;-;-;-;-;885.3;-;0;-12;-;-
CHM;18641225;-;-;-;-;884.6;-;0;-9.3;-;-
CHM;18641226;-;-;-;-;882.3;-;0;-6.1;-;-
CHM;18641227;-;-;-;-;880.9;-;0;-2.7;-;-
CHM;18641228;-;-;-;-;885.3;-;0;-2.4;-;-
CHM;18641229;-;-;-;-;889;-;0;-3.9;-;-
CHM;18641230;-;-;-;-;883.5;-;0;2;-;-
CHM;18641231;-;-;-;-;875.4;-;0;-1.5;-;-
CHM;18650101;-;-;-;-;872.6;-;0;-1.9;-;-
CHM;18650102;-;-;-;-;874.5;-;0.7;-3.9;-;-
CHM;18650103;-;-;-;-;870.2;-;0;-2.8;-;-
CHM;18650104;-;-;-;-;885.8;-;0;-0.5;-;-
CHM;18650105;-;-;-;-;891.1;-;0;-0.5;-;-
CHM;18650106;-;-;-;-;886.5;-;0.1;-0.9;-;-
CHM;18650107;-;-;-;-;892.5;-;1;-4.9;-;-
CHM;18650108;-;-;-;-;887.9;-;0;1.8;-;-
CHM;18650109;-;-;-;-;885.3;-;0;2;-;-
CHM;18650110;-;-;-;-;886.5;-;0.2;0;-;-
CHM;18650111;-;-;-;-;884.5;-;0;-0.5;-;-
CHM;18650112;-;-;-;-;876.6;-;0;1.4;-;-
CHM;18650113;-;-;-;-;869.5;-;1.7;-0.7;-;-
CHM;18650114;-;-;-;-;863.4;-;9.5;-0.8;-;-
CHM;18650115;-;-;-;-;865.2;-;2.7;-3.3;-;-
CHM;18650116;-;-;-;-;859.4;-;3.8;-4.2;-;-
CHM;18650117;-;-;-;-;859.1;-;1.2;-5.4;-;-
CHM;18650118;-;-;-;-;863.5;-;1.2;-5.5;-;-
CHM;18650119;-;-;-;-;869.9;-;1.5;-5.7;-;-
CHM;18650120;-;-;-;-;871.8;-;7.8;-3.9;-;-
CHM;18650121;-;-;-;-;871.1;-;0;-0.4;-;-
CHM;18650122;-;-;-;-;870.6;-;22.8;0.2;-;-
CHM;18650123;-;-;-;-;878.8;-;5.3;-4.7;-;-
CHM;18650124;-;-;-;-;877;-;0.2;2.4;-;-
CHM;18650125;-;-;-;-;876.2;-;6.8;3.8;-;-
CHM;18650126;-;-;-;-;872.5;-;4;5.9;-;-
CHM;18650127;-;-;-;-;866.6;-;2.6;3.7;-;-
CHM;18650128;-;-;-;-;871.3;-;0;-5.8;-;-
CHM;18650129;-;-;-;-;879.5;-;1.8;-6.9;-;-
CHM;18650130;-;-;-;-;871;-;0.3;-2.9;-;-
CHM;18650131;-;-;-;-;869.1;-;1.8;-1.4;-;-
CHM;18650201;-;-;-;-;861.3;-;9;-0.9;-;-
CHM;18650202;-;-;-;-;868.1;-;8;-0.4;-;-
CHM;18650203;-;-;-;-;862.3;-;11.4;-0.1;-;-
CHM;18650204;-;-;-;-;868.6;-;9.5;-1.2;-;-
CHM;18650205;-;-;-;-;874.5;-;0.8;-1.9;-;-
CHM;18650206;-;-;-;-;880.7;-;0;-4.7;-;-
CHM;18650207;-;-;-;-;882.5;-;0;-4.9;-;-
CHM;18650208;-;-;-;-;878.9;-;0;-1.6;-;-
CHM;18650209;-;-;-;-;876.3;-;3.3;-9.8;-;-
CHM;18650210;-;-;-;-;882.4;-;2.1;-13.6;-;-
CHM;18650211;-;-;-;-;882;-;0;-17.9;-;-
CHM;18650212;-;-;-;-;878.2;-;0.2;-16.9;-;-
CHM;18650213;-;-;-;-;879.8;-;0;-13.1;-;-
CHM;18650214;-;-;-;-;882.1;-;0;-7.5;-;-
CHM;18650215;-;-;-;-;878.9;-;0;-5.2;-;-
CHM;18650216;-;-;-;-;872.7;-;0;-2;-;-
CHM;18650217;-;-;-;-;872.9;-;3.9;-4.3;-;-
CHM;18650218;-;-;-;-;883;-;3.8;-2.3;-;-
CHM;18650219;-;-;-;-;877.1;-;2.3;-1.9;-;-
CHM;18650220;-;-;-;-;878.6;-;0;-7.7;-;-
CHM;18650221;-;-;-;-;886.2;-;5.2;-8.6;-;-
CHM;18650222;-;-;-;-;889.5;-;1.9;-7.9;-;-
CHM;18650223;-;-;-;-;893.8;-;0;-4.9;-;-
CHM;18650224;-;-;-;-;885.4;-;0;1.1;-;-
CHM;18650225;-;-;-;-;881.8;-;0.4;-2;-;-
CHM;18650226;-;-;-;-;886.3;-;0;-1.5;-;-
