stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Sonnenscheindauer (min);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Relative Luftfeuchtigkeit (%)
PAY;19640801;-;0;46;961.4;0;570;21.1;14.9;26.9;57.6
PAY;19640802;-;0;92;961.6;1;162;19;17.7;23.1;69.6
PAY;19640803;-;0;42;963.2;0;612;17.9;14.7;23;65
PAY;19640804;-;0;0;963.4;0;822;18;9.6;26.7;64.2
PAY;19640805;-;0;8;961.6;0;798;20.1;10.4;28.2;60.5
PAY;19640806;-;0;29;957.5;0;780;21.6;11.5;31;54.7
PAY;19640807;-;0;79;954.8;3.6;468;22.9;18.4;28.5;58.4
PAY;19640808;-;0;92;956.8;0;336;16.9;14.7;26;66.1
PAY;19640809;-;0;92;955.2;8.6;186;16.1;11.7;21.7;69.6
PAY;19640810;-;0;79;959.8;0.8;288;14.4;11.7;18.5;78.7
PAY;19640811;-;0;67;959.5;6.8;414;14.9;11.1;20.5;79.5
PAY;19640812;-;0;92;955.5;0;144;13.6;11.8;18;83.4
PAY;19640813;-;0;83;954.1;0;150;15;9.9;20.6;76.5
PAY;19640814;-;0;54;955;0;678;16.5;8.9;24.5;76
PAY;19640815;-;0;88;956.3;1;132;17.1;12.4;23.6;80
PAY;19640816;-;0;58;959.5;0;600;17.8;10.8;25.5;80
PAY;19640817;-;0;25;953.9;0;750;20.2;10.6;29.6;66.5
PAY;19640818;-;0;92;949.8;15.2;168;16.7;14;18;78.7
PAY;19640819;-;0;79;954.3;0.2;294;15.4;12;19.5;72.2
PAY;19640820;-;0;67;959;0;576;15.2;9.2;20.6;71.4
PAY;19640821;-;0;83;957.7;2;60;12.8;8.7;17.4;91
PAY;19640822;-;0;92;958.5;2.2;18;14.8;13;20;91.5
PAY;19640823;-;0;79;963.7;0;402;15.4;11;21.3;83
PAY;19640824;-;0;33;966.3;0;654;15.6;7.4;23.3;75.6
PAY;19640825;-;0;21;964.1;0;768;17;7.9;26;70.7
PAY;19640826;-;0;0;962.6;0;750;19.5;10.7;28.5;74
PAY;19640827;-;0;0;963.4;0;744;22;13.9;30.8;69.2
PAY;19640828;-;0;29;963.2;1;714;23.1;14.5;31.6;64.6
PAY;19640829;-;0;79;962.8;33;240;18.8;15.2;30.6;81.1
PAY;19640830;-;0;54;967;0;504;13.3;11.1;17.1;80
PAY;19640831;-;0;25;967.5;0;624;12.6;5.7;18.7;76.5
PAY;19640901;-;0;17;968;0;732;12.5;5.3;19.1;71.9
PAY;19640902;-;0;0;965.3;0;690;12;4.4;20.1;78.9
PAY;19640903;-;0;58;961.3;0;420;15;7.3;23.8;81
PAY;19640904;-;0;75;958.8;0;312;17.8;13.4;23.8;81.6
PAY;19640905;-;0;88;958.6;5.8;102;17.8;14.1;22;81.7
PAY;19640906;-;0;88;958.3;3.3;84;14.9;13.2;17.1;88.7
PAY;19640907;-;0;71;962.6;0;306;14.3;11.9;18.5;77.6
PAY;19640908;-;0;54;965.6;0;348;13.4;7.4;20.8;81.4
PAY;19640909;-;0;33;965.8;0;726;15.7;8.7;23.6;77.9
PAY;19640910;-;0;8;965;0;720;15.9;8;24;81.2
PAY;19640911;-;0;25;963.3;0.1;660;17.4;9.4;27;79.9
PAY;19640912;-;0;75;963;0.3;306;19.1;13.2;27.5;80.2
PAY;19640913;-;0;63;963;0;252;16.6;13.2;21.5;90.2
PAY;19640914;-;0;42;961.6;0;486;18.2;13;26.8;84.5
PAY;19640915;-;0;88;961.3;0;378;19.4;12.8;26.5;81.5
PAY;19640916;-;0;83;958;14.5;102;18.4;13.7;25;81
PAY;19640917;-;0;71;961.3;0.3;372;16;13.4;19.9;68.7
PAY;19640918;-;0;71;964.1;0;294;14.1;11.6;18;71.9
PAY;19640919;-;0;58;963.8;0;426;13.8;7.3;19.3;73.6
PAY;19640920;-;0;96;961.6;7.4;0;13.3;11.7;15.9;79.2
PAY;19640921;-;0;71;968.3;1.3;354;9.9;7.3;14.3;78.9
PAY;19640922;-;0;17;970.8;0;648;8.1;1.8;15;76.9
PAY;19640923;-;0;0;966.4;0;648;8.6;1.4;16.1;78.5
PAY;19640924;-;0;0;964.2;0;636;10.3;2.7;18.3;83.4
PAY;19640925;-;0;4;965.5;0;432;12.5;5.3;22.3;86.6
PAY;19640926;-;0;75;964.7;4.4;216;13.1;6.5;21.2;92.1
PAY;19640927;-;0;96;962.4;19.1;0;13.7;12.6;15.2;98.2
PAY;19640928;-;0;71;963.6;0;336;13.9;12.6;17.9;93
PAY;19640929;-;0;58;964.7;0;336;13.7;10.8;19.6;92.6
PAY;19640930;-;0;79;963.2;1.1;186;13.7;7.9;18.9;95
PAY;19641001;-;0;79;963;0;282;15.1;12.7;19.6;92.2
PAY;19641002;-;0;96;963.5;1.5;0;13.4;12.3;15.6;96.4
PAY;19641003;-;0;88;965.3;0;150;14.4;12.7;18.3;94.1
PAY;19641004;-;0;75;966.5;0;396;14.1;10.6;19.6;89.7
PAY;19641005;-;0;71;967.6;0;240;13.7;11.7;18.8;91.2
PAY;19641006;-;0;50;967.5;0;372;11.9;6.1;19.3;91.5
PAY;19641007;-;0;79;956.6;45;360;13.1;5.6;20.7;84.7
PAY;19641008;-;0;96;939.5;11.5;12;10.1;8.6;11.7;90.2
PAY;19641009;-;0;83;940.1;1.8;372;8.2;5.6;11.1;76.5
PAY;19641010;-;0;83;942;19.2;18;8.5;6.9;10.6;80.7
PAY;19641011;-;0;38;944.7;1;492;9;3.2;13.9;74
PAY;19641012;-;0;79;945.1;0;126;8.4;4;11.6;85.5
PAY;19641013;-;0;58;945.3;0;402;6;2.8;11.4;88.9
PAY;19641014;-;0;100;948.5;3.3;0;3.1;0.8;7.2;94.5
PAY;19641015;-;0;75;949.8;4.1;126;7.4;3.6;11.6;85.5
PAY;19641016;-;0;96;958.5;4.3;114;8.6;5.3;11.8;79.1
PAY;19641017;-;0;96;966.2;2.3;84;7.1;5.7;10.4;88
PAY;19641018;-;0;75;969.7;0.4;348;7.5;5.2;11.8;86.1
PAY;19641019;-;0;58;970;0;528;6.3;3.7;10;81
PAY;19641020;-;0;63;967.3;0;198;5.6;3.1;8.8;80
PAY;19641021;-;0;100;963.8;0;0;5.2;3.1;6.8;84.9
PAY;19641022;-;0;96;958.3;0;18;6.2;4.8;9.2;87
PAY;19641023;-;0;88;948.4;5.3;0;6.4;3.6;10;83.5
PAY;19641024;-;0;88;949.9;0;60;3;1.7;5.8;82
PAY;19641025;-;0;83;961.4;0;258;2.8;-0.7;6.6;79.6
PAY;19641026;-;0;100;964.2;0;6;4.2;2.4;5.3;79.9
PAY;19641027;-;0;100;963.7;0;12;4.9;3.8;6.7;88.2
PAY;19641028;-;0;100;966.1;0;0;5.6;4.7;7;89.9
PAY;19641029;-;0;100;968.7;0;6;6.6;5.4;8.8;88.5
PAY;19641030;-;0;100;969.8;0;48;6.3;5.2;8.3;90.7
PAY;19641031;-;0;63;967.4;0;210;5.8;4;9.1;91.5
PAY;19641101;-;0;79;967.7;0;0;5.6;4.2;8.6;89.4
PAY;19641102;-;0;100;966.8;0;0;5;3.6;6.8;92.7
PAY;19641103;-;0;100;961.2;3.9;0;4;3.3;5.2;96.1
PAY;19641104;-;0;100;958.3;0;0;4.1;3.4;5.6;93.9
PAY;19641105;-;0;100;957.1;0;0;3.6;3;4.2;88.1
PAY;19641106;-;0;100;959.5;0;0;3.4;3;4.4;83.4
PAY;19641107;-;0;100;961.1;0;0;3;2.2;4.2;86.2
PAY;19641108;-;0;100;958.4;0;0;2.1;1.6;3;89.1
PAY;19641109;-;0;100;955.9;0;0;1.9;0.5;4.4;88.7
PAY;19641110;-;0;100;959.4;0;0;3.8;2.4;6.4;91.6
PAY;19641111;-;0;92;962.7;0;84;3.5;1.5;7.2;95.1
PAY;19641112;-;0;100;965.1;2.7;36;3.9;0;7.2;96.5
PAY;19641113;-;0;67;965.4;4.2;342;8.6;5.8;13.2;84.6
PAY;19641114;-;0;92;961.5;0.2;0;9.7;7.8;13;85.7
PAY;19641115;-;0;96;958.7;5.8;60;9.5;6.9;11.8;78
PAY;19641116;-;0;100;964.3;0.1;0;8.1;5.7;11.6;77.6
PAY;19641117;-;0;92;966.1;1.7;6;10.8;9.5;12.1;82.5
PAY;19641118;-;0;92;968.3;0;12;11;9.1;13.4;85.7
PAY;19641119;-;0;63;969;0;384;10.5;8.5;14.7;88.2
PAY;19641120;-;0;46;969.1;0;330;8;6.8;11.3;86.6
PAY;19641121;-;0;75;968.1;0;0;2.9;-0.4;4.5;99.6
PAY;19641122;-;0;42;966;0;276;5;3.1;9.6;94
PAY;19641123;-;0;63;966;0;126;3.9;1;7.1;93.5
PAY;19641124;-;0;100;971.3;0;0;3.1;-0.8;5.8;95.7
PAY;19641125;-;0;100;972.7;0;0;3.1;2.3;5.8;97.6
PAY;19641126;-;0;100;969.6;0;0;3.9;1;7;98.5
PAY;19641127;-;0;75;964.3;0;156;5;3.9;8.4;91
PAY;19641128;-;0;100;950.4;18;0;3.9;2.6;5.5;94.1
PAY;19641129;-;0;100;943.5;6.5;0;0.8;0;3.3;95.9
PAY;19641130;-;5;96;947.5;1.6;0;0.1;-1.4;2;97.7
PAY;19641201;-;0;75;946.1;0;324;0;-1.2;2.7;93.1
PAY;19641202;-;0;100;953.2;0;54;-0.5;-2.7;1;88.6
PAY;19641203;-;0;100;954.9;7.9;0;-0.4;-1.7;1.1;91.7
PAY;19641204;-;10;96;953.3;2;90;-2;-3.4;-0.7;89.5
PAY;19641205;-;7;92;960.8;0.3;0;-1.4;-3;0;75.9
PAY;19641206;-;5;92;963.6;2.9;0;1;-1.6;3.3;88.2
PAY;19641207;-;2;88;968.1;0;156;1.6;-0.6;4.8;96.6
PAY;19641208;-;0;100;972;0;0;1;0.5;2.5;98.7
PAY;19641209;-;0;100;971.8;0;0;-0.6;-1.9;0.9;100
PAY;19641210;-;0;100;965.6;0;0;-1.3;-3;0.1;100
PAY;19641211;-;0;96;964.5;0;6;0.2;-1.4;2.3;99.1
PAY;19641212;-;0;54;968.7;0;90;0.8;-1;3.2;99.6
PAY;19641213;-;0;96;963.8;0;0;2.9;0.6;6.2;88.5
PAY;19641214;-;0;46;956.8;0;66;3.9;1.2;6;82.4
PAY;19641215;-;0;58;952.7;0;102;-0.1;-3.2;3;94.2
PAY;19641216;-;0;88;951.7;0;12;1.4;-0.6;4.5;95.1
PAY;19641217;-;0;92;956.5;0;144;2.3;-0.1;5;94.4
PAY;19641218;-;0;100;957.3;0;0;3;2.7;3.5;91.4
PAY;19641219;-;0;100;950.2;0;0;1.9;1.6;2.6;88.2
PAY;19641220;-;0;100;952;2;0;1.2;0.3;1.8;90.4
PAY;19641221;-;4;100;954.3;0.6;0;-0.1;-0.9;1;96.9
PAY;19641222;-;1;100;962.2;0;0;-0.3;-0.7;0.8;96.6
PAY;19641223;-;1;100;965.2;0;0;-0.9;-1.6;0.4;92.5
PAY;19641224;-;1;100;961.1;0;0;-2.8;-4.5;-0.6;99.6
PAY;19641225;-;0;100;951.6;2.8;0;-0.4;-1.7;1.6;97.5
PAY;19641226;-;4;100;951.9;0;96;-2.9;-4;-2.4;87.5
PAY;19641227;-;3;42;944.7;3.5;312;-7.1;-10.2;-4.5;85.4
PAY;19641228;-;9;92;937;0.4;36;-6.1;-10.5;-3.4;89.6
PAY;19641229;-;7;54;953.9;0;258;-6.5;-10.9;-2.5;82.5
PAY;19641230;-;6;83;962.2;0;12;-5.8;-15.1;1.2;81
PAY;19641231;-;5;50;960.7;0;252;0.5;-7.8;7;69.1
PAY;19650101;-;2;100;953.1;2.1;0;4.2;3.4;5.9;80
PAY;19650102;-;0;96;947.4;0.4;30;3.3;1.8;4.7;84.7
PAY;19650103;-;1;100;950.1;0.9;12;-0.6;-1.7;0.5;94.1
PAY;19650104;-;5;54;958.8;0;174;-1.4;-3.7;0.6;78.9
PAY;19650105;-;2;29;971.7;0;78;-3.9;-5.2;-1;80.5
PAY;19650106;-;2;63;973.9;0;36;-6.6;-10.2;-2.6;93.2
PAY;19650107;-;2;88;970.5;0;0;-2.4;-7.1;1.3;86.7
PAY;19650108;-;1;100;963.1;0.9;0;2.2;-1.2;4.7;82.2
PAY;19650109;-;0;88;961;0.2;246;4;-1.5;6.7;91.4
PAY;19650110;-;0;79;964.4;0;120;4;2.2;7.7;87.1
PAY;19650111;-;0;33;960.8;0;114;-0.2;-3.2;3.3;94.5
PAY;19650112;-;0;100;957;2.1;6;-1.4;-4.2;2.5;100
PAY;19650113;-;0;92;958.8;0;42;2.8;-0.4;6.4;96.7
PAY;19650114;-;0;67;960.3;1.2;120;1.5;0.2;5.1;92.7
PAY;19650115;-;0;58;962.7;1.8;306;-1.7;-4.8;2.1;88.7
PAY;19650116;-;2;46;963.2;6.1;384;0.4;-3.3;3.4;86.9
PAY;19650117;-;0;96;954.1;9.1;0;4.2;0.4;8.5;91
PAY;19650118;-;0;92;945.7;11.7;114;1.9;0.2;3.7;83.7
PAY;19650119;-;14;83;937.8;0;48;-0.2;-3.4;2.3;86.5
PAY;19650120;-;8;79;933.9;4.9;114;-5.5;-10.5;-3.3;86.7
PAY;19650121;-;14;100;938.9;0;0;-2.9;-9.2;1.8;92
PAY;19650122;-;8;88;948.3;3.9;6;2;-0.3;4.7;85
PAY;19650123;-;5;83;960.5;0;90;1.8;-0.3;4.2;87.4
PAY;19650124;-;4;100;967.2;0;30;-2.3;-4.5;-0.3;97.5
PAY;19650125;-;4;96;962.7;0;0;-1.1;-3.3;1;94.2
PAY;19650126;-;3;79;955;0;120;0.2;-2.4;3;81.4
PAY;19650127;-;2;100;949.6;2.4;0;-1.4;-2.8;0.1;91.4
PAY;19650128;-;6;100;947.2;0;0;-0.9;-2.7;1.5;96.2
PAY;19650129;-;4;100;949.9;0.3;0;-0.7;-2.8;0.8;97.5
PAY;19650130;-;2;88;950.2;1.5;18;1.3;-1.2;3.9;97.9
PAY;19650131;-;2;88;954;7.2;312;4.3;0.6;9.5;90.5
PAY;19650201;-;0;96;963.3;0.8;78;5.3;3.6;9.6;92
PAY;19650202;-;0;8;974.3;0;516;-0.3;-2.4;2;75.4
PAY;19650203;-;0;50;974.9;0;414;-2.7;-6;1.4;86
PAY;19650204;-;0;63;970.1;0;450;-1.1;-4;2.3;78.9
PAY;19650205;-;0;100;966.2;0.2;0;-1.3;-3.5;1.4;89.6
PAY;19650206;-;1;88;966.4;0;336;0.8;-0.8;2.7;84.5
PAY;19650207;-;0;63;965.8;0;90;0;-2;3;92
PAY;19650208;-;0;100;959.4;0.3;6;-1.1;-2.6;1.8;89.5
PAY;19650209;-;2;54;960.8;0;420;-4.6;-6;-2.6;75.7
PAY;19650210;-;2;17;964.5;0;546;-6;-8.6;-2.8;70.6
PAY;19650211;-;1;42;964.5;0;462;-2.1;-6.1;3.1;76.9
PAY;19650212;-;0;21;966.6;0;438;-1.4;-5.9;4;84.5
PAY;19650213;-;0;100;963.3;0.9;18;0;-3.1;3.4;77.4
PAY;19650214;-;2;96;959.3;1.5;6;0.2;-1;1.6;88.6
PAY;19650215;-;2;79;963.3;3.2;186;-1.6;-4;2;78.5
PAY;19650216;-;5;67;960.7;0;492;-3.1;-5;-0.6;77.9
PAY;19650217;-;3;71;961.5;0.2;378;-6.9;-11.1;-2.1;81.5
PAY;19650218;-;3;71;962.8;0;438;-5.3;-8.7;-2.6;73
PAY;19650219;-;2;96;962;0;60;-3;-4.3;-1.6;76.9
PAY;19650220;-;2;100;961.5;0;36;-3.2;-3.8;-1.8;86.6
PAY;19650221;-;2;38;962.7;0;492;-4.3;-6.2;-0.7;88.4
PAY;19650222;-;2;58;962.4;0;528;-6.4;-12.5;0.8;81.6
PAY;19650223;-;1;0;958.1;0;534;-5.1;-11.2;2.5;83.7
PAY;19650224;-;1;0;953.8;0;558;-4.5;-10.4;3;82.6
PAY;19650225;-;1;0;956.1;0;528;-3.1;-8.7;3;76.6
PAY;19650226;-;1;0;953.1;0;456;-4.1;-8.8;1.6;86.7
PAY;19650227;-;1;50;956.4;0;522;-2.3;-7.4;3.8;74.2
PAY;19650228;-;1;58;952.4;4.7;378;-2.2;-7.6;2.8;79
PAY;19650301;-;7;100;940.6;11.4;0;0.2;-0.7;2.1;98.5
PAY;19650302;-;13;100;934.2;9.6;0;0;-0.8;1.8;96.5
PAY;19650303;-;10;88;946;0;372;-4.1;-5.2;-1.4;70.4
PAY;19650304;-;10;88;947.3;1;30;-8.1;-14.2;-2.2;86.5
PAY;19650305;-;11;83;947.9;0;198;-4.2;-10.6;1;86.5
PAY;19650306;-;9;96;956.6;0.2;6;-1.6;-6;4.4;90.1
PAY;19650307;-;7;75;964.7;0;282;-1.6;-3.5;0.8;84
PAY;19650308;-;6;96;966.4;0;186;-1.7;-2.7;1.5;82.7
PAY;19650309;-;6;0;966.3;0;564;-4.5;-9.9;2.8;84.6
PAY;19650310;-;6;0;967;0;564;-4.5;-10.3;1.8;88
PAY;19650311;-;5;0;967.5;0;564;-2.8;-9.6;5.5;84.2
PAY;19650312;-;4;4;964.1;0;588;-1.5;-7.5;5.5;82
PAY;19650313;-;3;88;962.2;0;282;1.9;-4.3;8.4;77.2
PAY;19650314;-;3;79;962.8;0;438;5;0.1;11.1;76.4
PAY;19650315;-;0;71;962.6;0.3;444;7.6;2;13.4;78.2
PAY;19650316;-;0;75;961.8;5.6;192;8.6;5.8;12;77.6
PAY;19650317;-;0;54;955.4;0;516;7.2;0;12.8;75.4
PAY;19650318;-;0;88;949.2;0.5;138;7.5;4.3;10;76.5
PAY;19650319;-;0;96;954.2;0.8;108;6.3;4.4;10.4;78.6
PAY;19650320;-;0;71;958.6;6.1;498;7.3;2.8;12.5;72
PAY;19650321;-;0;96;955;26;0;8.8;7;11.8;88.2
PAY;19650322;-;0;75;954.4;1.3;396;10.2;6.7;14.8;74.9
PAY;19650323;-;0;96;947.7;17;0;7.6;6.6;9.5;91.5
PAY;19650324;-;0;96;952.6;10.2;24;7.5;6.6;8.6;84.6
PAY;19650325;-;0;75;962.6;1.8;186;6.3;4.7;8.7;77.1
PAY;19650326;-;0;100;964.9;18.7;6;6.7;4.7;8.5;74.7
PAY;19650327;-;0;88;972.1;1;168;9.6;6.9;14.1;82.5
PAY;19650328;-;0;29;974.8;0;648;9.1;2;16.3;80.5
PAY;19650329;-;0;0;972.2;0;594;9.4;2.8;17.5;74.1
PAY;19650330;-;0;13;966.9;0;624;9.8;2.3;17.8;71.7
PAY;19650331;-;0;4;964.4;0;654;8.6;4.2;13.4;66.6
PAY;19650401;-;0;4;967.4;0;672;7.7;0.2;15.6;65.5
PAY;19650402;-;0;4;969.4;0;672;8.8;0.7;17.1;66.4
PAY;19650403;-;0;4;967.7;0;684;10.2;2.1;19.6;68.7
PAY;19650404;-;0;46;960.5;0;660;11.5;2;19.4;60.9
PAY;19650405;-;0;46;954.7;0;486;10.3;2.7;18.3;64.6
PAY;19650406;-;0;83;955.7;0.7;66;10.9;6.2;17;70.4
PAY;19650407;-;0;67;956.5;3.5;390;10.6;6.1;14.8;77.7
PAY;19650408;-;0;100;952.5;0.6;36;8.4;7.1;10.8;82.7
PAY;19650409;-;0;71;953.4;3;120;5.9;2.4;10;87.1
PAY;19650410;-;0;83;955.2;1.1;270;5.6;-1.4;13.3;85.9
PAY;19650411;-;0;96;955.1;5.1;30;8;6.7;10.2;77.4
PAY;19650412;-;0;92;958.9;4.2;84;7.3;3.8;11.4;70.1
PAY;19650413;-;0;63;956.4;1.4;324;6.1;3.1;9.4;74.4
PAY;19650414;-;0;58;960.1;0;486;5.9;2;10.8;69.9
PAY;19650415;-;0;92;959.7;4.6;24;4.2;-1.1;9.7;84.9
PAY;19650416;-;0;100;957.5;3.8;36;8;5.3;10.6;88.1
PAY;19650417;-;0;100;958.8;3;6;7.8;3.1;11.3;75.2
PAY;19650418;-;0;96;950.4;9;132;6.5;2.7;8.4;81
PAY;19650419;-;0;96;945.9;3.1;36;4.1;2.3;6.4;83.9
PAY;19650420;-;0;96;945.7;3.6;150;2.4;0.2;6.2;78.9
PAY;19650421;-;0;100;948.3;3.8;102;3.4;0.3;7;87.5
PAY;19650422;-;0;88;948.9;0.3;6;5.4;2.6;8.9;83.9
PAY;19650423;-;0;83;950.4;0;390;6.6;1.4;11.3;77.2
PAY;19650424;-;0;92;954.3;0.8;138;7.6;4.6;11.9;76.9
PAY;19650425;-;0;100;955;0.2;0;7.1;3.6;10.3;78.4
PAY;19650426;-;0;92;953.8;14.3;78;8.8;6.2;13.6;79.2
PAY;19650427;-;0;88;945.9;2.3;120;4.5;2.4;8;84.5
PAY;19650428;-;0;88;947.9;2;198;4.9;2.4;9;81.4
PAY;19650429;-;0;92;956.9;0.7;318;5.8;2.7;10.4;77.4
PAY;19650430;-;0;25;960.3;0;660;6.9;-1.3;15;66.7
PAY;19650501;-;0;79;958.9;0.2;246;8.2;1.3;15;77.1
PAY;19650502;-;0;83;955.2;4.4;378;11.1;4.8;17.7;79.6
PAY;19650503;-;0;92;957;2.8;198;11.9;8.7;16;78.2
PAY;19650504;-;0;88;955.8;13.1;66;11.5;10.1;15.8;82.1
PAY;19650505;-;0;96;956.9;7.3;144;7.7;6.9;10.5;83.4
PAY;19650506;-;0;79;961.7;0.5;408;8.3;5.5;13.6;77.1
PAY;19650507;-;0;79;961.7;0.7;234;9.7;1.9;15.8;70.9
PAY;19650508;-;0;67;964.5;0;600;14.3;10.3;19.9;63.9
PAY;19650509;-;0;92;963.3;0;168;13.6;6.2;19.4;70
PAY;19650510;-;0;58;962.4;0;714;12.9;9.5;16.2;58.9
PAY;19650511;-;0;8;963.9;0;834;10.6;3.1;16.4;57.2
PAY;19650512;-;0;17;964.2;0;834;11.1;2.9;18.4;63.5
PAY;19650513;-;0;50;964.2;0;822;12.7;3.6;20.8;64.2
PAY;19650514;-;0;21;962.1;0;774;15.2;4.8;25.5;62.7
PAY;19650515;-;0;58;958.3;4.5;522;17;7.7;25.8;67.2
PAY;19650516;-;0;79;955.4;4.1;432;18.4;12.1;24.3;72
PAY;19650517;-;0;92;952.3;7.1;156;15.9;11;20.8;83.2
PAY;19650518;-;0;100;950.6;21.5;66;13.9;12.5;15.9;87.5
PAY;19650519;-;0;100;952.2;9.1;0;9.5;8.2;10.4;93.1
PAY;19650520;-;0;75;961.6;0;438;8.7;5.5;13.2;76
PAY;19650521;-;0;17;963.4;0;828;9.5;3;15.3;66.5
PAY;19650522;-;0;29;957.7;0;756;10.6;1.9;18.6;71.9
PAY;19650523;-;0;50;955.4;3.1;606;13.1;4.3;21.6;71.7
PAY;19650524;-;0;71;959.5;0;564;14.2;9.3;19;78.4
PAY;19650525;-;0;92;963.7;0.6;78;12.5;8.7;16.8;82.9
PAY;19650526;-;0;67;964.2;0.9;660;13;4.6;18.6;69.2
PAY;19650527;-;0;96;957.5;4.2;42;11.3;10;15.7;87.9
PAY;19650528;-;0;88;951.5;8.2;114;10;7;13.3;82.6
PAY;19650529;-;0;100;952;1.9;0;9.5;6.4;12.6;88.1
PAY;19650530;-;0;92;950.8;0.5;270;11.1;8.6;16.6;85.9
PAY;19650531;-;0;100;949.6;1.3;6;9.1;8;13;86.7
PAY;19650601;-;0;67;955.3;0.5;288;9.9;5.6;15.5;73.4
PAY;19650602;-;0;83;958.2;10.1;180;10.2;4.7;15.7;80.4
PAY;19650603;-;0;100;957.4;1.1;0;11;6.7;13.8;91.5
PAY;19650604;-;0;100;954.8;11.5;0;10.8;9.3;12.5;97.2
PAY;19650605;-;0;100;953.2;1.2;0;12.1;10.3;14.3;93.6
PAY;19650606;-;0;92;952.8;1.1;6;12.8;10.1;17;80.6
PAY;19650607;-;0;96;951.4;3.6;0;10.6;6.4;15.6;95.1
PAY;19650608;-;0;96;953.4;10;0;10;8.5;13.3;87
PAY;19650609;-;0;88;957;4.5;126;11.1;7.9;15.6;78.4
PAY;19650610;-;0;83;958.7;1;174;10.2;8.8;13.9;89
PAY;19650611;-;0;54;961.1;0;732;14.6;7.7;21.6;70.2
PAY;19650612;-;0;25;961.7;0;750;14.1;6.3;21.6;70
PAY;19650613;-;0;79;963.2;0;480;15.1;6;23.3;74.5
PAY;19650614;-;0;42;962.8;0;726;17;10.7;23.7;71.7
PAY;19650615;-;0;58;960.3;1.4;762;17.4;8.9;25.6;72
PAY;19650616;-;0;96;955.4;8.2;270;18.6;14.2;25.2;77.1
PAY;19650617;-;0;71;958.2;0.2;240;13.9;10.9;17.6;68.4
PAY;19650618;-;0;50;962.8;0;648;17;7.5;25.3;66.1
PAY;19650619;-;0;58;963.7;0;714;20.8;11.8;28;64.5
PAY;19650620;-;0;79;964.2;6.1;336;19.4;14.6;25;87.2
PAY;19650621;-;0;88;960.9;4.2;420;20.2;15;26.1;83.2
PAY;19650622;-;0;79;956.6;0;456;19.6;13;26;67.2
PAY;19650623;-;0;67;958.5;0;834;20.1;13.8;26;65.6
PAY;19650624;-;0;54;961.6;0;762;21.5;13.9;29.3;70
PAY;19650625;-;0;17;961.4;0;846;23.4;14.9;31.5;66.7
PAY;19650626;-;0;42;962.3;2.2;534;22.3;17;29.4;71.6
PAY;19650627;-;0;75;964.2;0;288;20.4;16.8;25;83.1
PAY;19650628;-;0;79;966.1;0;420;18.7;16;22.8;78
PAY;19650629;-;0;29;964.1;0;768;20.1;12.1;28.2;75.5
PAY;19650630;-;0;75;959.9;1.1;444;21.6;15;30;75.9
PAY;19650701;-;0;75;958.9;8.2;252;17.9;14.6;23.1;86.1
PAY;19650702;-;0;50;959;0;672;20.4;14.8;26.4;76.2
PAY;19650703;-;0;63;956;5.8;402;18.8;13.6;25.8;81
PAY;19650704;-;0;96;953.2;0.7;12;14.4;12.7;15.6;88.2
PAY;19650705;-;0;67;959.5;0;222;12.4;9.6;15.9;68.5
PAY;19650706;-;0;8;963.1;0;882;13.7;5.4;21.7;64.5
PAY;19650707;-;0;50;957.1;56.6;552;16.7;8.2;25.1;69.7
PAY;19650708;-;0;92;955.5;17.1;102;12.7;10.7;15.8;86.7
PAY;19650709;-;0;83;960.6;4.9;162;12.1;9.3;17;83
PAY;19650710;-;0;54;964.2;0;606;14.5;10;20;72.1
PAY;19650711;-;0;46;964.2;0;780;15.4;7.2;23.6;74.4
PAY;19650712;-;0;21;962.5;0;834;19.4;11.3;27;66.7
PAY;19650713;-;0;50;959.2;0;852;20.3;11.2;29.3;70.1
PAY;19650714;-;0;79;958.2;0;612;21.7;14.2;28.8;73.7
PAY;19650715;-;0;67;960.5;10.3;498;19.5;12.8;26.3;78.2
PAY;19650716;-;0;92;961;9.3;168;15.6;14.5;19.6;93.1
PAY;19650717;-;0;67;961.1;0;534;15.5;12.1;20.2;81.1
PAY;19650718;-;0;50;960.6;0;486;15.7;9.3;22.4;79
PAY;19650719;-;0;75;959.1;0;624;18.5;12.3;24.9;77.4
PAY;19650720;-;0;92;957.7;13.4;150;15.9;13.8;20;89.4
PAY;19650721;-;0;63;956.7;0;630;15.6;8.8;21.4;74.6
PAY;19650722;-;0;92;954.9;2.1;138;15;11;20.2;85.4
PAY;19650723;-;0;63;953.8;4.8;360;17.9;11.2;23.9;77.9
PAY;19650724;-;0;92;956.9;60.4;114;17.7;15.4;20.8;90.6
PAY;19650725;-;0;100;958.6;1.8;78;16.7;15.7;20.5;86.7
PAY;19650726;-;0;79;961.7;0.3;390;15.4;11.9;19.8;73.7
PAY;19650727;-;0;79;964.5;0.6;240;14.9;12.1;19.3;73.5
PAY;19650728;-;0;33;962;0;786;15.5;8.4;22.6;73.2
PAY;19650729;-;0;96;957.1;0;6;15.7;10.1;19.1;74.2
