stn;time;" Globalstrahlung (W/m); Tagesmittel";Sonnenscheindauer (min);Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Relative Luftfeuchtigkeit (%)
RAG;18941228;-;-;-;-;-;-;-;-;-;-
RAG;18941229;-;-;-;-;-;-;-;-;-;-
RAG;18941230;-;-;-;-;-;-;-;-;-;-
RAG;18941231;-;-;-;-;-;-;-;-;-;-
RAG;18950101;-;-;-;-;-;-;-;-;-;-
RAG;18950102;-;-;-;-;-;-;-;-;-;-
RAG;18950103;-;-;-;-;-;-;-;-;-;-
RAG;18950104;-;-;-;-;-;-;-;-;-;-
RAG;18950105;-;-;-;-;-;-;-;-;-;-
RAG;18950106;-;-;-;-;-;-;-;-;-;-
RAG;18950107;-;-;-;-;-;-;-;-;-;-
RAG;18950108;-;-;-;-;-;-;-;-;-;-
RAG;18950109;-;-;-;-;-;-;-;-;-;-
RAG;18950110;-;-;-;-;-;-;-;-;-;-
RAG;18950111;-;-;-;-;-;-;-;-;-;-
RAG;18950112;-;-;-;-;-;-;-;-;-;-
RAG;18950113;-;-;-;-;-;-;-;-;-;-
RAG;18950114;-;-;-;-;-;-;-;-;-;-
RAG;18950115;-;-;-;-;-;-;-;-;-;-
RAG;18950116;-;-;-;-;-;-;-;-;-;-
RAG;18950117;-;-;-;-;-;-;-;-;-;-
RAG;18950118;-;-;-;-;-;-;-;-;-;-
RAG;18950119;-;-;-;-;-;-;-;-;-;-
RAG;18950120;-;-;-;-;-;-;-;-;-;-
RAG;18950121;-;-;-;-;-;-;-;-;-;-
RAG;18950122;-;-;-;-;-;-;-;-;-;-
RAG;18950123;-;-;-;-;-;-;-;-;-;-
RAG;18950124;-;-;-;-;-;-;-;-;-;-
RAG;18950125;-;-;-;-;-;-;-;-;-;-
RAG;18950126;-;-;-;-;-;-;-;-;-;-
RAG;18950127;-;-;-;-;-;-;-;-;-;-
RAG;18950128;-;-;-;-;-;-;-;-;-;-
RAG;18950129;-;-;-;-;-;-;-;-;-;-
RAG;18950130;-;-;-;-;-;-;-;-;-;-
RAG;18950131;-;-;-;-;-;-;-;-;-;-
RAG;18950201;-;-;-;-;-;-;-;-;-;-
RAG;18950202;-;-;-;-;-;-;-;-;-;-
RAG;18950203;-;-;-;-;-;-;-;-;-;-
RAG;18950204;-;-;-;-;-;-;-;-;-;-
RAG;18950205;-;-;-;-;-;-;-;-;-;-
RAG;18950206;-;-;-;-;-;-;-;-;-;-
RAG;18950207;-;-;-;-;-;-;-;-;-;-
RAG;18950208;-;-;-;-;-;-;-;-;-;-
RAG;18950209;-;-;-;-;-;-;-;-;-;-
RAG;18950210;-;-;-;-;-;-;-;-;-;-
RAG;18950211;-;-;-;-;-;-;-;-;-;-
RAG;18950212;-;-;-;-;-;-;-;-;-;-
RAG;18950213;-;-;-;-;-;-;-;-;-;-
RAG;18950214;-;-;-;-;-;-;-;-;-;-
RAG;18950215;-;-;-;-;-;-;-;-;-;-
RAG;18950216;-;-;-;-;-;-;-;-;-;-
RAG;18950217;-;-;-;-;-;-;-;-;-;-
RAG;18950218;-;-;-;-;-;-;-;-;-;-
RAG;18950219;-;-;-;-;-;-;-;-;-;-
RAG;18950220;-;-;-;-;-;-;-;-;-;-
RAG;18950221;-;-;-;-;-;-;-;-;-;-
RAG;18950222;-;-;-;-;-;-;-;-;-;-
RAG;18950223;-;-;-;-;-;-;-;-;-;-
RAG;18950224;-;-;-;-;-;-;-;-;-;-
RAG;18950225;-;-;-;-;-;-;-;-;-;-
RAG;18950226;-;-;-;-;-;-;-;-;-;-
RAG;18950227;-;-;-;-;-;-;-;-;-;-
RAG;18950228;-;-;-;-;-;-;-;-;-;-
RAG;18950301;-;-;-;-;-;-;-;-;-;-
RAG;18950302;-;-;-;-;-;-;-;-;-;-
RAG;18950303;-;-;-;-;-;-;-;-;-;-
RAG;18950304;-;-;-;-;-;-;-;-;-;-
RAG;18950305;-;-;-;-;-;-;-;-;-;-
RAG;18950306;-;-;-;-;-;-;-;-;-;-
RAG;18950307;-;-;-;-;-;-;-;-;-;-
RAG;18950308;-;-;-;-;-;-;-;-;-;-
RAG;18950309;-;-;-;-;-;-;-;-;-;-
RAG;18950310;-;-;-;-;-;-;-;-;-;-
RAG;18950311;-;-;-;-;-;-;-;-;-;-
RAG;18950312;-;-;-;-;-;-;-;-;-;-
RAG;18950313;-;-;-;-;-;-;-;-;-;-
RAG;18950314;-;-;-;-;-;-;-;-;-;-
RAG;18950315;-;-;-;-;-;-;-;-;-;-
RAG;18950316;-;-;-;-;-;-;-;-;-;-
RAG;18950317;-;-;-;-;-;-;-;-;-;-
RAG;18950318;-;-;-;-;-;-;-;-;-;-
RAG;18950319;-;-;-;-;-;-;-;-;-;-
RAG;18950320;-;-;-;-;-;-;-;-;-;-
RAG;18950321;-;-;-;-;-;-;-;-;-;-
RAG;18950322;-;-;-;-;-;-;-;-;-;-
RAG;18950323;-;-;-;-;-;-;-;-;-;-
RAG;18950324;-;-;-;-;-;-;-;-;-;-
RAG;18950325;-;-;-;-;-;-;-;-;-;-
RAG;18950326;-;-;-;-;-;-;-;-;-;-
RAG;18950327;-;-;-;-;-;-;-;-;-;-
RAG;18950328;-;-;-;-;-;-;-;-;-;-
RAG;18950329;-;-;-;-;-;-;-;-;-;-
RAG;18950330;-;-;-;-;-;-;-;-;-;-
RAG;18950331;-;-;-;-;-;-;-;-;-;-
RAG;18950401;-;-;-;-;-;-;-;-;-;-
RAG;18950402;-;-;-;-;-;-;-;-;-;-
RAG;18950403;-;-;-;-;-;-;-;-;-;-
RAG;18950404;-;-;-;-;-;-;-;-;-;-
RAG;18950405;-;-;-;-;-;-;-;-;-;-
RAG;18950406;-;-;-;-;-;-;-;-;-;-
RAG;18950407;-;-;-;-;-;-;-;-;-;-
RAG;18950408;-;-;-;-;-;-;-;-;-;-
RAG;18950409;-;-;-;-;-;-;-;-;-;-
RAG;18950410;-;-;-;-;-;-;-;-;-;-
RAG;18950411;-;-;-;-;-;-;-;-;-;-
RAG;18950412;-;-;-;-;-;-;-;-;-;-
RAG;18950413;-;-;-;-;-;-;-;-;-;-
RAG;18950414;-;-;-;-;-;-;-;-;-;-
RAG;18950415;-;-;-;-;-;-;-;-;-;-
RAG;18950416;-;-;-;-;-;-;-;-;-;-
RAG;18950417;-;-;-;-;-;-;-;-;-;-
RAG;18950418;-;-;-;-;-;-;-;-;-;-
RAG;18950419;-;-;-;-;-;-;-;-;-;-
RAG;18950420;-;-;-;-;-;-;-;-;-;-
RAG;18950421;-;-;-;-;-;-;-;-;-;-
RAG;18950422;-;-;-;-;-;-;-;-;-;-
RAG;18950423;-;-;-;-;-;-;-;-;-;-
RAG;18950424;-;-;-;-;-;-;-;-;-;-
RAG;18950425;-;-;-;-;-;-;-;-;-;-
RAG;18950426;-;-;-;-;-;-;-;-;-;-
RAG;18950427;-;-;-;-;-;-;-;-;-;-
RAG;18950428;-;-;-;-;-;-;-;-;-;-
RAG;18950429;-;-;-;-;-;-;-;-;-;-
RAG;18950430;-;-;-;-;-;-;-;-;-;-
RAG;18950501;-;-;-;-;-;-;-;-;-;-
RAG;18950502;-;-;-;-;-;-;-;-;-;-
RAG;18950503;-;-;-;-;-;-;-;-;-;-
RAG;18950504;-;-;-;-;-;-;-;-;-;-
RAG;18950505;-;-;-;-;-;-;-;-;-;-
RAG;18950506;-;-;-;-;-;-;-;-;-;-
RAG;18950507;-;-;-;-;-;-;-;-;-;-
RAG;18950508;-;-;-;-;-;-;-;-;-;-
RAG;18950509;-;-;-;-;-;-;-;-;-;-
RAG;18950510;-;-;-;-;-;-;-;-;-;-
RAG;18950511;-;-;-;-;-;-;-;-;-;-
RAG;18950512;-;-;-;-;-;-;-;-;-;-
RAG;18950513;-;-;-;-;-;-;-;-;-;-
RAG;18950514;-;-;-;-;-;-;-;-;-;-
RAG;18950515;-;-;-;-;-;-;-;-;-;-
RAG;18950516;-;-;-;-;-;-;-;-;-;-
RAG;18950517;-;-;-;-;-;-;-;-;-;-
RAG;18950518;-;-;-;-;-;-;-;-;-;-
RAG;18950519;-;-;-;-;-;-;-;-;-;-
RAG;18950520;-;-;-;-;-;-;-;-;-;-
RAG;18950521;-;-;-;-;-;-;-;-;-;-
RAG;18950522;-;-;-;-;-;-;-;-;-;-
RAG;18950523;-;-;-;-;-;-;-;-;-;-
RAG;18950524;-;-;-;-;-;-;-;-;-;-
RAG;18950525;-;-;-;-;-;-;-;-;-;-
RAG;18950526;-;-;-;-;-;-;-;-;-;-
RAG;18950527;-;-;-;-;-;-;-;-;-;-
RAG;18950528;-;-;-;-;-;-;-;-;-;-
RAG;18950529;-;-;-;-;-;-;-;-;-;-
RAG;18950530;-;-;-;-;-;-;-;-;-;-
RAG;18950531;-;-;-;-;-;-;-;-;-;-
RAG;18950601;-;-;-;-;-;-;-;-;-;-
RAG;18950602;-;-;-;-;-;-;-;-;-;-
RAG;18950603;-;-;-;-;-;-;-;-;-;-
RAG;18950604;-;-;-;-;-;-;-;-;-;-
RAG;18950605;-;-;-;-;-;-;-;-;-;-
RAG;18950606;-;-;-;-;-;-;-;-;-;-
RAG;18950607;-;-;-;-;-;-;-;-;-;-
RAG;18950608;-;-;-;-;-;-;-;-;-;-
RAG;18950609;-;-;-;-;-;-;-;-;-;-
RAG;18950610;-;-;-;-;-;-;-;-;-;-
RAG;18950611;-;-;-;-;-;-;-;-;-;-
RAG;18950612;-;-;-;-;-;-;-;-;-;-
RAG;18950613;-;-;-;-;-;-;-;-;-;-
RAG;18950614;-;-;-;-;-;-;-;-;-;-
RAG;18950615;-;-;-;-;-;-;-;-;-;-
RAG;18950616;-;-;-;-;-;-;-;-;-;-
RAG;18950617;-;-;-;-;-;-;-;-;-;-
RAG;18950618;-;-;-;-;-;-;-;-;-;-
RAG;18950619;-;-;-;-;-;-;-;-;-;-
RAG;18950620;-;-;-;-;-;-;-;-;-;-
RAG;18950621;-;-;-;-;-;-;-;-;-;-
RAG;18950622;-;-;-;-;-;-;-;-;-;-
RAG;18950623;-;-;-;-;-;-;-;-;-;-
RAG;18950624;-;-;-;-;-;-;-;-;-;-
RAG;18950625;-;-;-;-;-;-;-;-;-;-
RAG;18950626;-;-;-;-;-;-;-;-;-;-
RAG;18950627;-;-;-;-;-;-;-;-;-;-
RAG;18950628;-;-;-;-;-;-;-;-;-;-
RAG;18950629;-;-;-;-;-;-;-;-;-;-
RAG;18950630;-;-;-;-;-;-;-;-;-;-
RAG;18950701;-;-;-;-;-;-;-;-;-;-
RAG;18950702;-;-;-;-;-;-;-;-;-;-
RAG;18950703;-;-;-;-;-;-;-;-;-;-
RAG;18950704;-;-;-;-;-;-;-;-;-;-
RAG;18950705;-;-;-;-;-;-;-;-;-;-
RAG;18950706;-;-;-;-;-;-;-;-;-;-
RAG;18950707;-;-;-;-;-;-;-;-;-;-
RAG;18950708;-;-;-;-;-;-;-;-;-;-
RAG;18950709;-;-;-;-;-;-;-;-;-;-
RAG;18950710;-;-;-;-;-;-;-;-;-;-
RAG;18950711;-;-;-;-;-;-;-;-;-;-
RAG;18950712;-;-;-;-;-;-;-;-;-;-
RAG;18950713;-;-;-;-;-;-;-;-;-;-
RAG;18950714;-;-;-;-;-;-;-;-;-;-
RAG;18950715;-;-;-;-;-;-;-;-;-;-
RAG;18950716;-;-;-;-;-;-;-;-;-;-
RAG;18950717;-;-;-;-;-;-;-;-;-;-
RAG;18950718;-;-;-;-;-;-;-;-;-;-
RAG;18950719;-;-;-;-;-;-;-;-;-;-
RAG;18950720;-;-;-;-;-;-;-;-;-;-
RAG;18950721;-;-;-;-;-;-;-;-;-;-
RAG;18950722;-;-;-;-;-;-;-;-;-;-
RAG;18950723;-;-;-;-;-;-;-;-;-;-
RAG;18950724;-;-;-;-;-;-;-;-;-;-
RAG;18950725;-;-;-;-;-;-;-;-;-;-
RAG;18950726;-;-;-;-;-;-;-;-;-;-
RAG;18950727;-;-;-;-;-;-;-;-;-;-
RAG;18950728;-;-;-;-;-;-;-;-;-;-
RAG;18950729;-;-;-;-;-;-;-;-;-;-
RAG;18950730;-;-;-;-;-;-;-;-;-;-
RAG;18950731;-;-;-;-;-;-;-;-;-;-
RAG;18950801;-;-;-;-;-;-;-;-;-;-
RAG;18950802;-;-;-;-;-;-;-;-;-;-
RAG;18950803;-;-;-;-;-;-;-;-;-;-
RAG;18950804;-;-;-;-;-;-;-;-;-;-
RAG;18950805;-;-;-;-;-;-;-;-;-;-
RAG;18950806;-;-;-;-;-;-;-;-;-;-
RAG;18950807;-;-;-;-;-;-;-;-;-;-
RAG;18950808;-;-;-;-;-;-;-;-;-;-
RAG;18950809;-;-;-;-;-;-;-;-;-;-
RAG;18950810;-;-;-;-;-;-;-;-;-;-
RAG;18950811;-;-;-;-;-;-;-;-;-;-
RAG;18950812;-;-;-;-;-;-;-;-;-;-
RAG;18950813;-;-;-;-;-;-;-;-;-;-
RAG;18950814;-;-;-;-;-;-;-;-;-;-
RAG;18950815;-;-;-;-;-;-;-;-;-;-
RAG;18950816;-;-;-;-;-;-;-;-;-;-
RAG;18950817;-;-;-;-;-;-;-;-;-;-
RAG;18950818;-;-;-;-;-;-;-;-;-;-
RAG;18950819;-;-;-;-;-;-;-;-;-;-
RAG;18950820;-;-;-;-;-;-;-;-;-;-
RAG;18950821;-;-;-;-;-;-;-;-;-;-
RAG;18950822;-;-;-;-;-;-;-;-;-;-
RAG;18950823;-;-;-;-;-;-;-;-;-;-
RAG;18950824;-;-;-;-;-;-;-;-;-;-
RAG;18950825;-;-;-;-;-;-;-;-;-;-
RAG;18950826;-;-;-;-;-;-;-;-;-;-
RAG;18950827;-;-;-;-;-;-;-;-;-;-
RAG;18950828;-;-;-;-;-;-;-;-;-;-
RAG;18950829;-;-;-;-;-;-;-;-;-;-
RAG;18950830;-;-;-;-;-;-;-;-;-;-
RAG;18950831;-;-;-;-;-;-;-;-;-;-
RAG;18950901;-;-;-;-;-;-;-;-;-;-
RAG;18950902;-;-;-;-;-;-;-;-;-;-
RAG;18950903;-;-;-;-;-;-;-;-;-;-
RAG;18950904;-;-;-;-;-;-;-;-;-;-
RAG;18950905;-;-;-;-;-;-;-;-;-;-
RAG;18950906;-;-;-;-;-;-;-;-;-;-
RAG;18950907;-;-;-;-;-;-;-;-;-;-
RAG;18950908;-;-;-;-;-;-;-;-;-;-
RAG;18950909;-;-;-;-;-;-;-;-;-;-
RAG;18950910;-;-;-;-;-;-;-;-;-;-
RAG;18950911;-;-;-;-;-;-;-;-;-;-
RAG;18950912;-;-;-;-;-;-;-;-;-;-
RAG;18950913;-;-;-;-;-;-;-;-;-;-
RAG;18950914;-;-;-;-;-;-;-;-;-;-
RAG;18950915;-;-;-;-;-;-;-;-;-;-
RAG;18950916;-;-;-;-;-;-;-;-;-;-
RAG;18950917;-;-;-;-;-;-;-;-;-;-
RAG;18950918;-;-;-;-;-;-;-;-;-;-
RAG;18950919;-;-;-;-;-;-;-;-;-;-
RAG;18950920;-;-;-;-;-;-;-;-;-;-
RAG;18950921;-;-;-;-;-;-;-;-;-;-
RAG;18950922;-;-;-;-;-;-;-;-;-;-
RAG;18950923;-;-;-;-;-;-;-;-;-;-
RAG;18950924;-;-;-;-;-;-;-;-;-;-
RAG;18950925;-;-;-;-;-;-;-;-;-;-
RAG;18950926;-;-;-;-;-;-;-;-;-;-
RAG;18950927;-;-;-;-;-;-;-;-;-;-
RAG;18950928;-;-;-;-;-;-;-;-;-;-
RAG;18950929;-;-;-;-;-;-;-;-;-;-
RAG;18950930;-;-;-;-;-;-;-;-;-;-
RAG;18951001;-;-;-;-;-;-;-;-;-;-
RAG;18951002;-;-;-;-;-;-;-;-;-;-
RAG;18951003;-;-;-;-;-;-;-;-;-;-
RAG;18951004;-;-;-;-;-;-;-;-;-;-
RAG;18951005;-;-;-;-;-;-;-;-;-;-
RAG;18951006;-;-;-;-;-;-;-;-;-;-
RAG;18951007;-;-;-;-;-;-;-;-;-;-
RAG;18951008;-;-;-;-;-;-;-;-;-;-
RAG;18951009;-;-;-;-;-;-;-;-;-;-
RAG;18951010;-;-;-;-;-;-;-;-;-;-
RAG;18951011;-;-;-;-;-;-;-;-;-;-
RAG;18951012;-;-;-;-;-;-;-;-;-;-
RAG;18951013;-;-;-;-;-;-;-;-;-;-
RAG;18951014;-;-;-;-;-;-;-;-;-;-
RAG;18951015;-;-;-;-;-;-;-;-;-;-
RAG;18951016;-;-;-;-;-;-;-;-;-;-
RAG;18951017;-;-;-;-;-;-;-;-;-;-
RAG;18951018;-;-;-;-;-;-;-;-;-;-
RAG;18951019;-;-;-;-;-;-;-;-;-;-
RAG;18951020;-;-;-;-;-;-;-;-;-;-
RAG;18951021;-;-;-;-;-;-;-;-;-;-
RAG;18951022;-;-;-;-;-;-;-;-;-;-
RAG;18951023;-;-;-;-;-;-;-;-;-;-
RAG;18951024;-;-;-;-;-;-;-;-;-;-
RAG;18951025;-;-;-;-;-;-;-;-;-;-
RAG;18951026;-;-;-;-;-;-;-;-;-;-
RAG;18951027;-;-;-;-;-;-;-;-;-;-
RAG;18951028;-;-;-;-;-;-;-;-;-;-
RAG;18951029;-;-;-;-;-;-;-;-;-;-
RAG;18951030;-;-;-;-;-;-;-;-;-;-
RAG;18951031;-;-;-;-;-;-;-;-;-;-
RAG;18951101;-;-;-;-;-;-;-;-;-;-
RAG;18951102;-;-;-;-;-;-;-;-;-;-
RAG;18951103;-;-;-;-;-;-;-;-;-;-
RAG;18951104;-;-;-;-;-;-;-;-;-;-
RAG;18951105;-;-;-;-;-;-;-;-;-;-
RAG;18951106;-;-;-;-;-;-;-;-;-;-
RAG;18951107;-;-;-;-;-;-;-;-;-;-
RAG;18951108;-;-;-;-;-;-;-;-;-;-
RAG;18951109;-;-;-;-;-;-;-;-;-;-
RAG;18951110;-;-;-;-;-;-;-;-;-;-
RAG;18951111;-;-;-;-;-;-;-;-;-;-
RAG;18951112;-;-;-;-;-;-;-;-;-;-
RAG;18951113;-;-;-;-;-;-;-;-;-;-
RAG;18951114;-;-;-;-;-;-;-;-;-;-
RAG;18951115;-;-;-;-;-;-;-;-;-;-
RAG;18951116;-;-;-;-;-;-;-;-;-;-
RAG;18951117;-;-;-;-;-;-;-;-;-;-
RAG;18951118;-;-;-;-;-;-;-;-;-;-
RAG;18951119;-;-;-;-;-;-;-;-;-;-
RAG;18951120;-;-;-;-;-;-;-;-;-;-
RAG;18951121;-;-;-;-;-;-;-;-;-;-
RAG;18951122;-;-;-;-;-;-;-;-;-;-
RAG;18951123;-;-;-;-;-;-;-;-;-;-
RAG;18951124;-;-;-;-;-;-;-;-;-;-
RAG;18951125;-;-;-;-;-;-;-;-;-;-
RAG;18951126;-;-;-;-;-;-;-;-;-;-
RAG;18951127;-;-;-;-;-;-;-;-;-;-
RAG;18951128;-;-;-;-;-;-;-;-;-;-
RAG;18951129;-;-;-;-;-;-;-;-;-;-
RAG;18951130;-;-;-;-;-;-;-;-;-;-
RAG;18951201;-;-;-;-;-;-;-;-;-;-
RAG;18951202;-;-;-;-;-;-;-;-;-;-
RAG;18951203;-;-;-;-;-;-;-;-;-;-
RAG;18951204;-;-;-;-;-;-;-;-;-;-
RAG;18951205;-;-;-;-;-;-;-;-;-;-
RAG;18951206;-;-;-;-;-;-;-;-;-;-
RAG;18951207;-;-;-;-;-;-;-;-;-;-
RAG;18951208;-;-;-;-;-;-;-;-;-;-
RAG;18951209;-;-;-;-;-;-;-;-;-;-
RAG;18951210;-;-;-;-;-;-;-;-;-;-
RAG;18951211;-;-;-;-;-;-;-;-;-;-
RAG;18951212;-;-;-;-;-;-;-;-;-;-
RAG;18951213;-;-;-;-;-;-;-;-;-;-
RAG;18951214;-;-;-;-;-;-;-;-;-;-
RAG;18951215;-;-;-;-;-;-;-;-;-;-
RAG;18951216;-;-;-;-;-;-;-;-;-;-
RAG;18951217;-;-;-;-;-;-;-;-;-;-
RAG;18951218;-;-;-;-;-;-;-;-;-;-
RAG;18951219;-;-;-;-;-;-;-;-;-;-
RAG;18951220;-;-;-;-;-;-;-;-;-;-
RAG;18951221;-;-;-;-;-;-;-;-;-;-
RAG;18951222;-;-;-;-;-;-;-;-;-;-
RAG;18951223;-;-;-;-;-;-;-;-;-;-
RAG;18951224;-;-;-;-;-;-;-;-;-;-
RAG;18951225;-;-;-;-;-;-;-;-;-;-
RAG;18951226;-;-;-;-;-;-;-;-;-;-
RAG;18951227;-;-;-;-;-;-;-;-;-;-
RAG;18951228;-;-;-;-;-;-;-;-;-;-
RAG;18951229;-;-;-;-;-;-;-;-;-;-
RAG;18951230;-;-;-;-;-;-;-;-;-;-
RAG;18951231;-;-;-;-;-;-;-;-;-;-
RAG;18960101;-;-;-;-;-;-;-;-;-;-
RAG;18960102;-;-;-;-;-;-;-;-;-;-
RAG;18960103;-;-;-;-;-;-;-;-;-;-
RAG;18960104;-;-;-;-;-;-;-;-;-;-
RAG;18960105;-;-;-;-;-;-;-;-;-;-
RAG;18960106;-;-;-;-;-;-;-;-;-;-
RAG;18960107;-;-;-;-;-;-;-;-;-;-
RAG;18960108;-;-;-;-;-;-;-;-;-;-
RAG;18960109;-;-;-;-;-;-;-;-;-;-
RAG;18960110;-;-;-;-;-;-;-;-;-;-
RAG;18960111;-;-;-;-;-;-;-;-;-;-
RAG;18960112;-;-;-;-;-;-;-;-;-;-
RAG;18960113;-;-;-;-;-;-;-;-;-;-
RAG;18960114;-;-;-;-;-;-;-;-;-;-
RAG;18960115;-;-;-;-;-;-;-;-;-;-
RAG;18960116;-;-;-;-;-;-;-;-;-;-
RAG;18960117;-;-;-;-;-;-;-;-;-;-
RAG;18960118;-;-;-;-;-;-;-;-;-;-
RAG;18960119;-;-;-;-;-;-;-;-;-;-
RAG;18960120;-;-;-;-;-;-;-;-;-;-
RAG;18960121;-;-;-;-;-;-;-;-;-;-
RAG;18960122;-;-;-;-;-;-;-;-;-;-
RAG;18960123;-;-;-;-;-;-;-;-;-;-
RAG;18960124;-;-;-;-;-;-;-;-;-;-
RAG;18960125;-;-;-;-;-;-;-;-;-;-
RAG;18960126;-;-;-;-;-;-;-;-;-;-
RAG;18960127;-;-;-;-;-;-;-;-;-;-
RAG;18960128;-;-;-;-;-;-;-;-;-;-
RAG;18960129;-;-;-;-;-;-;-;-;-;-
RAG;18960130;-;-;-;-;-;-;-;-;-;-
RAG;18960131;-;-;-;-;-;-;-;-;-;-
RAG;18960201;-;-;-;-;-;-;-;-;-;-
RAG;18960202;-;-;-;-;-;-;-;-;-;-
RAG;18960203;-;-;-;-;-;-;-;-;-;-
RAG;18960204;-;-;-;-;-;-;-;-;-;-
RAG;18960205;-;-;-;-;-;-;-;-;-;-
RAG;18960206;-;-;-;-;-;-;-;-;-;-
RAG;18960207;-;-;-;-;-;-;-;-;-;-
RAG;18960208;-;-;-;-;-;-;-;-;-;-
RAG;18960209;-;-;-;-;-;-;-;-;-;-
RAG;18960210;-;-;-;-;-;-;-;-;-;-
RAG;18960211;-;-;-;-;-;-;-;-;-;-
RAG;18960212;-;-;-;-;-;-;-;-;-;-
RAG;18960213;-;-;-;-;-;-;-;-;-;-
RAG;18960214;-;-;-;-;-;-;-;-;-;-
RAG;18960215;-;-;-;-;-;-;-;-;-;-
RAG;18960216;-;-;-;-;-;-;-;-;-;-
RAG;18960217;-;-;-;-;-;-;-;-;-;-
RAG;18960218;-;-;-;-;-;-;-;-;-;-
RAG;18960219;-;-;-;-;-;-;-;-;-;-
RAG;18960220;-;-;-;-;-;-;-;-;-;-
RAG;18960221;-;-;-;-;-;-;-;-;-;-
RAG;18960222;-;-;-;-;-;-;-;-;-;-
RAG;18960223;-;-;-;-;-;-;-;-;-;-
RAG;18960224;-;-;-;-;-;-;-;-;-;-
RAG;18960225;-;-;-;-;-;-;-;-;-;-
RAG;18960226;-;-;-;-;-;-;-;-;-;-
RAG;18960227;-;-;-;-;-;-;-;-;-;-
RAG;18960228;-;-;-;-;-;-;-;-;-;-
RAG;18960229;-;-;-;-;-;-;-;-;-;-
RAG;18960301;-;-;-;-;-;-;-;-;-;-
RAG;18960302;-;-;-;-;-;-;-;-;-;-
RAG;18960303;-;-;-;-;-;-;-;-;-;-
RAG;18960304;-;-;-;-;-;-;-;-;-;-
RAG;18960305;-;-;-;-;-;-;-;-;-;-
RAG;18960306;-;-;-;-;-;-;-;-;-;-
RAG;18960307;-;-;-;-;-;-;-;-;-;-
RAG;18960308;-;-;-;-;-;-;-;-;-;-
RAG;18960309;-;-;-;-;-;-;-;-;-;-
RAG;18960310;-;-;-;-;-;-;-;-;-;-
RAG;18960311;-;-;-;-;-;-;-;-;-;-
RAG;18960312;-;-;-;-;-;-;-;-;-;-
RAG;18960313;-;-;-;-;-;-;-;-;-;-
RAG;18960314;-;-;-;-;-;-;-;-;-;-
RAG;18960315;-;-;-;-;-;-;-;-;-;-
RAG;18960316;-;-;-;-;-;-;-;-;-;-
RAG;18960317;-;-;-;-;-;-;-;-;-;-
RAG;18960318;-;-;-;-;-;-;-;-;-;-
RAG;18960319;-;-;-;-;-;-;-;-;-;-
RAG;18960320;-;-;-;-;-;-;-;-;-;-
RAG;18960321;-;-;-;-;-;-;-;-;-;-
RAG;18960322;-;-;-;-;-;-;-;-;-;-
RAG;18960323;-;-;-;-;-;-;-;-;-;-
RAG;18960324;-;-;-;-;-;-;-;-;-;-
RAG;18960325;-;-;-;-;-;-;-;-;-;-
RAG;18960326;-;-;-;-;-;-;-;-;-;-
RAG;18960327;-;-;-;-;-;-;-;-;-;-
RAG;18960328;-;-;-;-;-;-;-;-;-;-
RAG;18960329;-;-;-;-;-;-;-;-;-;-
RAG;18960330;-;-;-;-;-;-;-;-;-;-
RAG;18960331;-;-;-;-;-;-;-;-;-;-
RAG;18960401;-;-;-;-;-;-;-;-;-;-
RAG;18960402;-;-;-;-;-;-;-;-;-;-
RAG;18960403;-;-;-;-;-;-;-;-;-;-
RAG;18960404;-;-;-;-;-;-;-;-;-;-
RAG;18960405;-;-;-;-;-;-;-;-;-;-
RAG;18960406;-;-;-;-;-;-;-;-;-;-
RAG;18960407;-;-;-;-;-;-;-;-;-;-
RAG;18960408;-;-;-;-;-;-;-;-;-;-
RAG;18960409;-;-;-;-;-;-;-;-;-;-
RAG;18960410;-;-;-;-;-;-;-;-;-;-
RAG;18960411;-;-;-;-;-;-;-;-;-;-
RAG;18960412;-;-;-;-;-;-;-;-;-;-
RAG;18960413;-;-;-;-;-;-;-;-;-;-
RAG;18960414;-;-;-;-;-;-;-;-;-;-
RAG;18960415;-;-;-;-;-;-;-;-;-;-
RAG;18960416;-;-;-;-;-;-;-;-;-;-
RAG;18960417;-;-;-;-;-;-;-;-;-;-
RAG;18960418;-;-;-;-;-;-;-;-;-;-
RAG;18960419;-;-;-;-;-;-;-;-;-;-
RAG;18960420;-;-;-;-;-;-;-;-;-;-
RAG;18960421;-;-;-;-;-;-;-;-;-;-
RAG;18960422;-;-;-;-;-;-;-;-;-;-
RAG;18960423;-;-;-;-;-;-;-;-;-;-
RAG;18960424;-;-;-;-;-;-;-;-;-;-
RAG;18960425;-;-;-;-;-;-;-;-;-;-
RAG;18960426;-;-;-;-;-;-;-;-;-;-
RAG;18960427;-;-;-;-;-;-;-;-;-;-
RAG;18960428;-;-;-;-;-;-;-;-;-;-
RAG;18960429;-;-;-;-;-;-;-;-;-;-
RAG;18960430;-;-;-;-;-;-;-;-;-;-
RAG;18960501;-;-;-;-;-;-;-;-;-;-
RAG;18960502;-;-;-;-;-;-;-;-;-;-
RAG;18960503;-;-;-;-;-;-;-;-;-;-
RAG;18960504;-;-;-;-;-;-;-;-;-;-
