stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Durchschnittstemperatur (¡C);Relative Luftfeuchtigkeit (%);Sonnenscheindauer (min);Tiefsttemperatur (¡C);Maximaltemperatur (¡C)
LUG;18640101;-;-;77;974.9;5.4;0.9;90.7;-;-;-
LUG;18640102;-;-;90;976.2;0;-1.3;95;-;-;-
LUG;18640103;-;-;17;981.6;2.5;-4.5;92.7;-;-;-
LUG;18640104;-;-;97;987.3;0;-3.4;93.7;-;-;-
LUG;18640105;-;-;63;992.4;0;-2.5;98.3;-;-;-
LUG;18640106;-;-;0;988.8;0;-2.9;84;-;-;-
LUG;18640107;-;-;0;990.4;0;-2.9;82.3;-;-;-
LUG;18640108;-;-;0;992.1;0;-2.4;79;-;-;-
LUG;18640109;-;-;3;990.4;0;-2.5;78.3;-;-;-
LUG;18640110;-;-;3;989.4;0;-3.1;82.3;-;-;-
LUG;18640111;-;-;17;992.7;0;-2.8;79.7;-;-;-
LUG;18640112;-;-;0;996.7;0;-3.5;84.7;-;-;-
LUG;18640113;-;-;33;993.1;0;-3.3;100;-;-;-
LUG;18640114;-;-;0;989.2;0;-2.8;70;-;-;-
LUG;18640115;-;-;27;990.6;0;-3.1;77;-;-;-
LUG;18640116;-;-;100;999.6;0;-4.9;81;-;-;-
LUG;18640117;-;-;37;1000.9;0;-6.5;82;-;-;-
LUG;18640118;-;-;0;1000.4;0;-6.3;85.7;-;-;-
LUG;18640119;-;-;0;998.8;0;-5.4;79.7;-;-;-
LUG;18640120;-;-;13;996.6;0;-3.8;73.7;-;-;-
LUG;18640121;-;-;63;996.7;0;-1.8;76;-;-;-
LUG;18640122;-;-;3;995;0;-2.1;76.7;-;-;-
LUG;18640123;-;-;0;994.7;0;-1;73.7;-;-;-
LUG;18640124;-;-;83;991.9;0;-0.5;85.7;-;-;-
LUG;18640125;-;-;3;995;0;0.6;84;-;-;-
LUG;18640126;-;-;0;997.4;0;-0.2;84.3;-;-;-
LUG;18640127;-;-;60;994.4;0;0.6;81.7;-;-;-
LUG;18640128;-;-;57;986.3;0;2.2;79;-;-;-
LUG;18640129;-;-;7;979.6;0.1;6.2;47.3;-;-;-
LUG;18640130;-;-;67;994.4;0;1.7;52.3;-;-;-
LUG;18640131;-;-;37;1000.4;0;-2.2;67;-;-;-
LUG;18640201;-;-;7;998.6;0;-1.7;75.3;-;-;-
LUG;18640202;-;-;7;997.9;0;0.9;75;-;-;-
LUG;18640203;-;-;7;995;0;1.4;71;-;-;-
LUG;18640204;-;-;77;983.5;0;2.9;69;-;-;-
LUG;18640205;-;-;100;975.7;0;4.5;51;-;-;-
LUG;18640206;-;-;100;971.2;0.4;0.5;88.7;-;-;-
LUG;18640207;-;-;100;972.9;27.9;1.1;83.3;-;-;-
LUG;18640208;-;-;40;967;3.9;-2.8;72;-;-;-
LUG;18640209;-;-;10;966.6;0;-4.3;61.7;-;-;-
LUG;18640210;-;-;3;970.3;0;-5.4;71.3;-;-;-
LUG;18640211;-;-;37;971.1;0;0.6;53;-;-;-
LUG;18640212;-;-;60;984;0;2.3;58.3;-;-;-
LUG;18640213;-;-;33;993.4;0;0.9;64;-;-;-
LUG;18640214;-;-;10;997;0;0.7;70.7;-;-;-
LUG;18640215;-;-;40;992.6;0;2.2;77.7;-;-;-
LUG;18640216;-;-;60;983.3;0;2.1;82.3;-;-;-
LUG;18640217;-;-;67;968.8;1;3.5;69;-;-;-
LUG;18640218;-;-;13;971.8;0;4.2;23;-;-;-
LUG;18640219;-;-;80;977.4;0;0.1;65;-;-;-
LUG;18640220;-;-;100;979.7;1.5;-0.9;89.3;-;-;-
LUG;18640221;-;-;100;968;23.4;1;93.3;-;-;-
LUG;18640222;-;-;100;982.3;13.8;3.3;86.7;-;-;-
LUG;18640223;-;-;100;980.1;10.9;3.6;94;-;-;-
LUG;18640224;-;-;97;982.3;3.5;4.2;94;-;-;-
LUG;18640225;-;-;70;981.9;1.1;4.6;93.7;-;-;-
LUG;18640226;-;-;23;980.8;0;5;83;-;-;-
LUG;18640227;-;-;47;980;0;4.6;86.3;-;-;-
LUG;18640228;-;-;100;979.1;0;5.4;90;-;-;-
LUG;18640229;-;-;43;968.7;12.1;5.8;89;-;-;-
LUG;18640301;-;-;23;977;0;8.1;47;-;-;-
LUG;18640302;-;-;67;979.7;0;4.3;70.3;-;-;-
LUG;18640303;-;-;37;981.2;0;5;71;-;-;-
LUG;18640304;-;-;77;981.5;0;6.1;78.7;-;-;-
LUG;18640305;-;-;100;977;0;6.5;88;-;-;-
LUG;18640306;-;-;67;971.2;20.1;4.8;91.7;-;-;-
LUG;18640307;-;-;67;978.5;0.1;5.3;95.7;-;-;-
LUG;18640308;-;-;100;977.4;14.3;7.9;94.7;-;-;-
LUG;18640309;-;-;97;971.4;23.8;11;84;-;-;-
LUG;18640310;-;-;63;976;8.5;9.9;75.3;-;-;-
LUG;18640311;-;-;13;985.3;1;7;65.7;-;-;-
LUG;18640312;-;-;7;987.8;0;8.6;46.3;-;-;-
LUG;18640313;-;-;3;993.8;0;6.5;54;-;-;-
LUG;18640314;-;-;10;991.9;0;5.9;65.3;-;-;-
LUG;18640315;-;-;60;985;0;6.6;69.7;-;-;-
LUG;18640316;-;-;60;978.9;0;6.2;74;-;-;-
LUG;18640317;-;-;53;983;0;6.9;69.7;-;-;-
LUG;18640318;-;-;67;980.8;0;5.8;61;-;-;-
LUG;18640319;-;-;97;979.1;0;5.5;63;-;-;-
LUG;18640320;-;-;83;975.9;0;5.7;70;-;-;-
LUG;18640321;-;-;97;972.2;0;8.5;76.3;-;-;-
LUG;18640322;-;-;83;968.9;1.2;9.2;72.7;-;-;-
LUG;18640323;-;-;77;970.1;0;8.2;77.3;-;-;-
LUG;18640324;-;-;50;974.4;0;7.6;69.3;-;-;-
LUG;18640325;-;-;70;976.1;0.6;8.4;66;-;-;-
LUG;18640326;-;-;93;967.4;0;8.8;72;-;-;-
LUG;18640327;-;-;100;959.5;6.7;7.1;85.7;-;-;-
LUG;18640328;-;-;67;951.3;10;9.5;51;-;-;-
LUG;18640329;-;-;83;952.3;0;7.6;42;-;-;-
LUG;18640330;-;-;50;961;0;8.1;28.7;-;-;-
LUG;18640331;-;-;20;975.2;0;10.4;25.7;-;-;-
LUG;18640401;-;-;0;980.2;0;8.6;49.3;-;-;-
LUG;18640402;-;-;23;975.5;0;7.4;51;-;-;-
LUG;18640403;-;-;7;980.9;0;8.5;34.7;-;-;-
LUG;18640404;-;-;23;981.8;0;8.9;54.7;-;-;-
LUG;18640405;-;-;30;977.1;0;13.2;39.3;-;-;-
LUG;18640406;-;-;10;980.1;0;11.9;29.3;-;-;-
LUG;18640407;-;-;97;982.8;0;4.2;75;-;-;-
LUG;18640408;-;-;7;983.2;0;5.8;46.7;-;-;-
LUG;18640409;-;-;7;976.4;0;9.8;28.3;-;-;-
LUG;18640410;-;-;23;978.8;0;6.6;57;-;-;-
LUG;18640411;-;-;0;974.7;0;12.3;47;-;-;-
LUG;18640412;-;-;3;979.6;0;10.9;55.3;-;-;-
LUG;18640413;-;-;13;978;0;11.8;66.7;-;-;-
LUG;18640414;-;-;60;976.9;0;12.5;67.3;-;-;-
LUG;18640415;-;-;97;977.9;0;12.2;57.7;-;-;-
LUG;18640416;-;-;100;976.9;0;11;62;-;-;-
LUG;18640417;-;-;100;978.5;3.4;7.8;85;-;-;-
LUG;18640418;-;-;7;983.3;8.6;10;73.7;-;-;-
LUG;18640419;-;-;57;988.2;0;11.3;68.3;-;-;-
LUG;18640420;-;-;40;982.7;0;12.6;66.7;-;-;-
LUG;18640421;-;-;60;977.6;0;12.6;63.3;-;-;-
LUG;18640422;-;-;73;984.9;1;10.5;65.3;-;-;-
LUG;18640423;-;-;3;988.4;0;11.9;67;-;-;-
LUG;18640424;-;-;13;988;0;13.5;60.3;-;-;-
LUG;18640425;-;-;27;988.8;0;14.5;58.7;-;-;-
LUG;18640426;-;-;7;987.5;0;15.5;57.3;-;-;-
LUG;18640427;-;-;23;983.5;0;16.2;61;-;-;-
LUG;18640428;-;-;90;980;0;15.2;63.3;-;-;-
LUG;18640429;-;-;67;975;0.7;13.6;61.7;-;-;-
LUG;18640430;-;-;3;978;0;14.9;46.3;-;-;-
LUG;18640501;-;-;3;981.5;0;16.7;25.7;-;-;-
LUG;18640502;-;-;33;981;0;14.5;56.3;-;-;-
LUG;18640503;-;-;50;968.4;0;17.4;47;-;-;-
LUG;18640504;-;-;40;975.2;0;15;36;-;-;-
LUG;18640505;-;-;97;983.6;2.1;11;65;-;-;-
LUG;18640506;-;-;100;986;0;11.6;68;-;-;-
LUG;18640507;-;-;37;982.2;0;13.2;67.3;-;-;-
LUG;18640508;-;-;97;977.9;0;15;72;-;-;-
LUG;18640509;-;-;100;977.7;1.9;14;90.7;-;-;-
LUG;18640510;-;-;73;977;35;14.7;86.7;-;-;-
LUG;18640511;-;-;93;976.5;4;16.5;78.3;-;-;-
LUG;18640512;-;-;100;976;6.3;12.6;90.3;-;-;-
LUG;18640513;-;-;100;978.6;19.1;13.2;83.7;-;-;-
LUG;18640514;-;-;90;981.1;0;13.8;82.3;-;-;-
LUG;18640515;-;-;60;983.4;0;13.6;82;-;-;-
LUG;18640516;-;-;37;985.5;9.5;15.2;83.3;-;-;-
LUG;18640517;-;-;7;986.2;1;18;72.7;-;-;-
LUG;18640518;-;-;7;986.5;0;18.5;72.3;-;-;-
LUG;18640519;-;-;3;982.5;0;19.2;74.7;-;-;-
LUG;18640520;-;-;7;981.3;0;19.5;60.3;-;-;-
LUG;18640521;-;-;53;979;1.1;17.6;73.7;-;-;-
LUG;18640522;-;-;50;977.2;16.1;17.5;78.7;-;-;-
LUG;18640523;-;-;27;976.2;0;18.2;73.3;-;-;-
LUG;18640524;-;-;10;977.3;0;17.2;28;-;-;-
LUG;18640525;-;-;17;982;0;13.8;62.3;-;-;-
LUG;18640526;-;-;70;972.1;0;16.5;69.7;-;-;-
LUG;18640527;-;-;70;972.4;14.3;12.4;64;-;-;-
LUG;18640528;-;-;3;976.8;0;14.2;65.3;-;-;-
LUG;18640529;-;-;40;980.9;0;15.1;69.7;-;-;-
LUG;18640530;-;-;63;980.9;1.6;15.1;83;-;-;-
LUG;18640531;-;-;100;985.4;31.9;14.1;88.7;-;-;-
LUG;18640601;-;-;100;983.8;2;14.1;94.3;-;-;-
LUG;18640602;-;-;73;977.2;4.9;13.9;96.7;-;-;-
LUG;18640603;-;-;27;976.3;3.1;17.5;82.3;-;-;-
LUG;18640604;-;-;60;980.7;8.4;17.6;80.3;-;-;-
LUG;18640605;-;-;40;982.8;0;18.6;82.7;-;-;-
LUG;18640606;-;-;43;983.3;1.1;20.7;80;-;-;-
LUG;18640607;-;-;77;979.4;0;18.8;81.3;-;-;-
LUG;18640608;-;-;60;975.2;14.6;20;75.3;-;-;-
LUG;18640609;-;-;93;975.4;0.2;17.6;74;-;-;-
LUG;18640610;-;-;93;972.5;70.1;14;90;-;-;-
LUG;18640611;-;-;10;974;0;18.6;62;-;-;-
LUG;18640612;-;-;23;975.8;0;19.1;73.3;-;-;-
LUG;18640613;-;-;87;977.9;0.2;17.7;75;-;-;-
LUG;18640614;-;-;100;975.8;5.6;16;92;-;-;-
LUG;18640615;-;-;100;974.6;26;15.3;94;-;-;-
LUG;18640616;-;-;7;977.7;3.4;18.7;57;-;-;-
LUG;18640617;-;-;10;984.6;0;19.2;58.7;-;-;-
LUG;18640618;-;-;7;986.7;0;18.9;71.3;-;-;-
LUG;18640619;-;-;43;985.5;0;21;60.3;-;-;-
LUG;18640620;-;-;3;986.9;0;20.9;49.3;-;-;-
LUG;18640621;-;-;7;984.1;0;20.4;63.7;-;-;-
LUG;18640622;-;-;0;984;0;21.1;69;-;-;-
LUG;18640623;-;-;37;986;0;22.2;70.7;-;-;-
LUG;18640624;-;-;47;984.5;0.6;22.4;61.3;-;-;-
LUG;18640625;-;-;57;985.7;0;22;64.7;-;-;-
LUG;18640626;-;-;77;980.5;0;21.3;78.3;-;-;-
LUG;18640627;-;-;100;974.8;39.1;17.7;71;-;-;-
LUG;18640628;-;-;7;980.6;2.3;17;46;-;-;-
LUG;18640629;-;-;7;984.1;0;16.7;45.7;-;-;-
LUG;18640630;-;-;60;979.6;0;18.2;63;-;-;-
LUG;18640701;-;-;3;976.5;0.4;19.9;59.7;-;12.1;24.9
LUG;18640702;-;-;7;980.8;0;18.5;63.7;-;12.4;24.4
LUG;18640703;-;-;70;980.1;0;20.2;73.7;-;15;25.5
LUG;18640704;-;-;33;978.9;32.6;19.7;64;-;16;25.5
LUG;18640705;-;-;17;982.8;0;19.1;65;-;12.8;25.1
LUG;18640706;-;-;20;979.2;0;21.1;65.3;-;14.1;26.7
LUG;18640707;-;-;17;979.6;0;20.1;63;-;15.5;25.5
LUG;18640708;-;-;7;979.2;0;21.6;51.3;-;13;26.3
LUG;18640709;-;-;7;977.9;0;21;60.3;-;15.6;27.6
LUG;18640710;-;-;73;983.1;0;20;78;-;16.7;25.4
LUG;18640711;-;-;20;987.1;4.5;21;79.3;-;15.2;26.5
LUG;18640712;-;-;23;982.8;0;22.8;74.3;-;16.1;29
LUG;18640713;-;-;47;976;3.5;19.6;87;-;17.6;26.4
LUG;18640714;-;-;80;980.2;0.5;19.3;82.7;-;16.3;26.9
LUG;18640715;-;-;3;984.5;6.8;20.5;78.3;-;14.3;25.9
LUG;18640716;-;-;23;986.3;0;21.9;73.7;-;15.9;27.6
LUG;18640717;-;-;43;984.7;0;22.7;74.3;-;14.3;28.2
LUG;18640718;-;-;87;980.7;3.5;20.5;75;-;14.5;26.5
LUG;18640719;-;-;7;978.3;0.5;20.7;54.3;-;13.7;27.9
LUG;18640720;-;-;13;981.3;0;22.5;51.7;-;13.5;30
LUG;18640721;-;-;0;981.2;0;22.2;59;-;14.3;32.1
LUG;18640722;-;-;47;980.7;0;21.5;73;-;18;28.8
LUG;18640723;-;-;13;980.5;0;23;55;-;14.5;30.3
LUG;18640724;-;-;87;983.7;0;22;74;-;17.1;26.9
LUG;18640725;-;-;50;981.1;0;22.3;70.7;-;19.2;27.8
LUG;18640726;-;-;63;978.5;0.7;21.7;78.7;-;19;27
LUG;18640727;-;-;23;981.4;0.2;22.6;71;-;14.8;28.7
LUG;18640728;-;-;40;983.1;0;22.7;64;-;19.6;28.5
LUG;18640729;-;-;43;984.1;0;23;70.7;-;16.2;30
LUG;18640730;-;-;3;987.8;0;23.1;71;-;15.7;30.2
LUG;18640731;-;-;3;990.2;0;23.7;76;-;17.4;29.8
LUG;18640801;-;-;33;987.5;0;24.9;70.7;-;16.7;32.5
LUG;18640802;-;-;43;980.7;0;24.8;68.3;-;19.7;30.2
LUG;18640803;-;-;30;982.9;0;22.4;65.3;-;16;28.5
LUG;18640804;-;-;37;986.2;0;23.4;70.7;-;19.2;29.6
LUG;18640805;-;-;3;987.4;0;24.3;71.3;-;18.3;30.8
LUG;18640806;-;-;57;985.4;0;22.5;77;-;19.2;31.6
LUG;18640807;-;-;10;980;3.9;23.2;71;-;17.2;31.5
LUG;18640808;-;-;3;980.3;0;23.2;68.7;-;17.6;31
LUG;18640809;-;-;20;982.2;0;24.6;67.7;-;17.6;31.6
LUG;18640810;-;-;63;977.3;0.4;23.1;54.7;-;18.4;30.6
LUG;18640811;-;-;3;982.7;0;17.9;30.7;-;16.3;25.6
LUG;18640812;-;-;3;986.4;0;19.5;30.7;-;14;27.5
LUG;18640813;-;-;3;986;0;17.9;56;-;9.8;26.8
LUG;18640814;-;-;37;984.7;0;19.3;55.7;-;11.8;25.2
LUG;18640815;-;-;3;981.2;0;22.7;54.3;-;12.8;30.9
LUG;18640816;-;-;10;982;0;20;55.3;-;14.8;31.9
LUG;18640817;-;-;33;978.5;0;22.2;64;-;14.7;29.8
LUG;18640818;-;-;77;977;0;19.6;79.7;-;15.7;27.6
LUG;18640819;-;-;100;977.3;53.6;17.3;92.3;-;15.3;19.4
LUG;18640820;-;-;77;975.6;54.7;18.9;95;-;16.7;23.6
LUG;18640821;-;-;27;982;26;19.5;93.3;-;15.3;26.5
LUG;18640822;-;-;43;984.5;0;21.3;93.7;-;16.8;26.7
LUG;18640823;-;-;100;976.1;0.7;20;90.7;-;18.9;23.4
LUG;18640824;-;-;33;973.5;47.1;18.3;69.7;-;16.3;25
LUG;18640825;-;-;3;985.4;0;16.5;59;-;14.2;22.6
LUG;18640826;-;-;47;987.8;6.1;12.4;79.7;-;9.5;18.6
LUG;18640827;-;-;33;986.6;0;12.7;75.3;-;8.4;20.5
LUG;18640828;-;-;20;989;0;13.2;78.3;-;7;20.5
LUG;18640829;-;-;20;990.5;0;14.7;87;-;8.8;22.5
LUG;18640830;-;-;30;989.9;0;16;76.7;-;11.4;23.4
LUG;18640831;-;-;3;989.8;0;17;76;-;10.9;23.9
LUG;18640901;-;-;57;988.5;0;19;75.7;-;12.4;25.2
LUG;18640902;-;-;100;985;24.2;17.6;88.3;-;15;24.2
LUG;18640903;-;-;73;979;0.5;18;81.3;-;13.8;22.9
LUG;18640904;-;-;53;976;0.1;17.9;79.3;-;13.8;22.4
LUG;18640905;-;-;3;983;0;18.4;54;-;15.4;25.3
LUG;18640906;-;-;10;985.8;0;18;71.7;-;11.8;25.4
LUG;18640907;-;-;7;986.4;0;18.7;76;-;12;26.4
LUG;18640908;-;-;7;987.3;0;19.8;74.7;-;14.4;27.6
LUG;18640909;-;-;3;989.1;0;20.6;79.3;-;14.8;27
LUG;18640910;-;-;17;986.7;0;20.2;76.7;-;15.8;26.4
LUG;18640911;-;-;43;982.1;87.7;18.9;79.3;-;15.3;25.3
LUG;18640912;-;-;100;980.6;58.6;12.9;88;-;11.8;17.1
LUG;18640913;-;-;63;979.1;0;16.4;64.3;-;10;21.7
LUG;18640914;-;-;3;982.3;0;13.9;65.7;-;-;21.8
LUG;18640915;-;-;70;984.3;0;16.1;75.3;-;10.9;22.5
LUG;18640916;-;-;93;983;0.5;17.8;80.3;-;14.1;21.4
LUG;18640917;-;-;67;981.9;30;18.4;77.3;-;14;23.5
LUG;18640918;-;-;100;978.1;46;16.7;92.7;-;15.5;19
LUG;18640919;-;-;73;977.2;11.9;16.1;66;-;15.9;20.3
LUG;18640920;-;-;67;978.7;0.4;13.6;53;-;11.3;20.1
LUG;18640921;-;-;7;980.4;0;13.9;74.3;-;8.9;21.1
LUG;18640922;-;-;13;982.4;0;16.5;73.7;-;11;23.5
LUG;18640923;-;-;30;984.1;0;16.4;81.7;-;11.2;23.2
LUG;18640924;-;-;7;987.7;0;14.9;78.3;-;10;23
LUG;18640925;-;-;3;989.6;0;15.2;78;-;9.2;22.7
LUG;18640926;-;-;10;990.3;0;15.5;79.3;-;10.2;22.8
LUG;18640927;-;-;67;992.5;0;13.4;76.7;-;11;17
LUG;18640928;-;-;90;992.6;0;12.7;82.3;-;9.2;15.4
LUG;18640929;-;-;13;986.3;0;12.7;79.3;-;7.5;19.8
LUG;18640930;-;-;17;978.2;0;13.8;84.7;-;8.3;20.7
LUG;18641001;-;-;90;981.2;0.3;13.2;88.3;-;11.7;18.4
LUG;18641002;-;-;67;981.6;0;14.2;76.7;-;10.4;19.1
LUG;18641003;-;-;100;985.8;0;10.5;83.7;-;12;13.4
LUG;18641004;-;-;70;987;0;8;75.3;-;8;11.1
LUG;18641005;-;-;37;985.4;0;7.5;76.7;-;4.4;13.4
LUG;18641006;-;-;73;986.9;0;8.9;69.7;-;4.1;12.5
LUG;18641007;-;-;10;986.6;0;8.1;73;-;4;14.4
LUG;18641008;-;-;3;986.5;0;8;77.7;-;3.3;14.9
LUG;18641009;-;-;3;982.9;0;8.4;77;-;3.9;16
LUG;18641010;-;-;7;980.6;0;8.6;77.7;-;4.1;15.5
LUG;18641011;-;-;87;983.8;0;9.9;73.3;-;6.4;14.6
LUG;18641012;-;-;23;983.3;0;9.1;76;-;4.8;15.3
LUG;18641013;-;-;50;980.1;0;10.4;76.3;-;4.7;16.5
LUG;18641014;-;-;20;977.4;0;10.2;73;-;4.9;18.6
LUG;18641015;-;-;10;977.4;0;11.9;48.7;-;4.9;18.6
LUG;18641016;-;-;3;984.2;0;7.5;71.3;-;2.9;14.6
LUG;18641017;-;-;93;985.4;0;10.6;74;-;5.5;15.2
LUG;18641018;-;-;100;986.3;3.4;11.5;78.7;-;7.8;16.3
LUG;18641019;-;-;100;983.8;28.2;10.8;96.3;-;10.2;12.7
LUG;18641020;-;-;100;976.4;122;11.2;97.7;-;9.8;12.2
LUG;18641021;-;-;100;972.1;23;11.6;95.7;-;10.9;12.2
LUG;18641022;-;-;100;974.1;65;12.1;93.3;-;10.7;14.4
LUG;18641023;-;-;77;971.8;0.2;12.4;89.7;-;10.3;16
LUG;18641024;-;-;67;972.2;25.9;8.7;95.3;-;6.3;12.9
LUG;18641025;-;-;97;976.5;34.4;9.6;88;-;4.5;13.1
LUG;18641026;-;-;97;970.1;13.9;13.2;89.3;-;9.3;16.5
LUG;18641027;-;-;57;972.8;0;12.4;72.7;-;9;17.7
LUG;18641028;-;-;100;971.4;10;10;87.3;-;6.6;12.8
LUG;18641029;-;-;100;964.9;3.9;10.6;95;-;9;12.4
LUG;18641030;-;-;7;972.7;0;9.7;88;-;6.2;16.7
LUG;18641031;-;-;7;984.2;0.3;9.9;84.3;-;4.8;16.4
LUG;18641101;-;-;80;988.8;1.7;11.3;87;-;7.3;14.9
LUG;18641102;-;-;100;987.6;7.8;10.6;96;-;10;11.4
LUG;18641103;-;-;100;984.9;0.6;11;94.7;-;9.5;13
LUG;18641104;-;-;97;988.8;1.9;11.6;87.3;-;9.8;15
LUG;18641105;-;-;70;987.2;0;9.2;82.7;-;7.6;13.1
LUG;18641106;-;-;53;980;0;7.7;51.3;-;4.9;12.8
LUG;18641107;-;-;100;986;0.2;4.3;83.7;-;1.8;6.5
LUG;18641108;-;-;100;981.4;0;4.9;82.3;-;3;6.3
LUG;18641109;-;-;33;978.1;0;6.2;83;-;0.6;12.1
LUG;18641110;-;-;97;982.3;0;7.9;81.3;-;0.5;9.9
LUG;18641111;-;-;100;981.4;4.2;5.9;82.7;-;0.2;7
LUG;18641112;-;-;100;981.1;1.4;7.1;90.7;-;5.2;9.3
LUG;18641113;-;-;77;977.5;0.5;7.3;85.3;-;5.9;12.5
LUG;18641114;-;-;100;967.6;19.5;5.8;93.7;-;4.4;8
LUG;18641115;-;-;70;957.3;1.6;6.6;88.3;-;4;12
LUG;18641116;-;-;100;964.4;2.5;6.4;94.3;-;4;8.9
LUG;18641117;-;-;0;974.7;0;5.2;83.3;-;1.5;12.4
LUG;18641118;-;-;60;976.1;0;6.9;70.3;-;1.6;11.2
LUG;18641119;-;-;27;978.7;0;7.5;63.7;-;4.3;16
LUG;18641120;-;-;60;979.7;0.2;7.2;69;-;2;12.6
LUG;18641121;-;-;70;977.7;0.4;6;91.3;-;4.9;8.9
LUG;18641122;-;-;3;980.8;0;6.1;85;-;2.3;12.9
LUG;18641123;-;-;67;981.7;2.6;7.6;81.3;-;2.7;11.7
LUG;18641124;-;-;100;974.4;48.5;2.8;95;-;0.5;5.5
LUG;18641125;-;-;77;969.6;0.9;3.1;92;-;0.3;5.4
LUG;18641126;-;-;97;966.2;6.7;4.2;92.7;-;2.5;5
LUG;18641127;-;-;30;972.3;0;9.3;31;-;3;12.5
LUG;18641128;-;-;13;985.8;0;6.7;41.3;-;2.8;14.2
LUG;18641129;-;-;53;988.8;0;7.2;52.3;-;0.5;9.8
LUG;18641130;-;-;3;990.2;0;4.6;65;-;1.7;12.3
LUG;18641201;-;-;0;988;0;2.9;64.3;-;-0.2;10.4
LUG;18641202;-;-;3;986.3;0;3.8;78;-;-0.8;9.4
LUG;18641203;-;-;50;992.2;0;3.7;78.3;-;-0.3;8.7
LUG;18641204;-;-;33;995.2;0;2.1;75.3;-;-0.3;8.2
LUG;18641205;-;-;70;995.3;0;0.6;80;-;-2.2;3.3
LUG;18641206;-;-;3;996.3;0;-0.1;77.7;-;-2;6.1
LUG;18641207;-;-;50;990.9;0;0.6;76.7;-;-3.9;6
LUG;18641208;-;-;50;985.1;0;2;75.7;-;-0.1;7.4
LUG;18641209;-;-;3;985.4;0;1.5;77.3;-;-1.6;8.7
LUG;18641210;-;-;0;987.3;0;1.3;76.7;-;-1.9;8.4
LUG;18641211;-;-;47;988.9;0;2.6;74;-;-1.9;8.2
LUG;18641212;-;-;97;983.8;0.9;4.2;79;-;2.1;6.5
LUG;18641213;-;-;100;977.1;4.4;2.4;94;-;1.6;3.2
LUG;18641214;-;-;100;978.2;15.2;4.4;93.7;-;2.6;6
LUG;18641215;-;-;100;968.5;10.6;5.2;93.3;-;2.3;6
LUG;18641216;-;-;100;968;4.6;6;96;-;4.6;7.4
LUG;18641217;-;-;100;977.4;6.5;6.5;92;-;5;8.3
LUG;18641218;-;-;100;980.2;8.7;5.4;95;-;5.1;6.2
LUG;18641219;-;-;100;984.2;0;6.4;89.3;-;4.5;8.5
LUG;18641220;-;-;57;986.4;0.1;4.2;88.3;-;1.4;8.1
LUG;18641221;-;-;70;981;0;4;89;-;2.3;8.8
LUG;18641222;-;-;93;977.5;0;3.3;82.7;-;1;6.4
LUG;18641223;-;-;100;981.3;0;1.9;81.3;-;1;3.3
LUG;18641224;-;-;100;987.4;0;2.2;86.3;-;1.1;4.8
LUG;18641225;-;-;100;989.9;0;1.6;86;-;1;3.9
LUG;18641226;-;-;0;989.4;0;1.2;62.3;-;-2.5;6.5
LUG;18641227;-;-;83;985.1;0;2.5;79;-;-2;5.9
LUG;18641228;-;-;60;981.3;0;3.7;87;-;3.3;8.5
LUG;18641229;-;-;0;988.8;0;2.7;93.3;-;-0.7;9
LUG;18641230;-;-;3;986.4;0;1.7;76.3;-;0.8;7.7
LUG;18641231;-;-;3;977.8;0;0.7;79.7;-;-3;5.3
LUG;18650101;-;-;57;974.2;0;0.3;74.7;-;-3;4.7
LUG;18650102;-;-;0;975.3;0;-0.1;76.7;-;-2.2;6
LUG;18650103;-;-;100;974.8;0;0.4;78.3;-;-1.7;1.8
LUG;18650104;-;-;3;981.7;0;0.5;78;-;-3;6.6
LUG;18650105;-;-;10;986.3;0;0.8;83;-;-2;6.8
LUG;18650106;-;-;37;981.8;0;5;73.7;-;-2.1;7.6
LUG;18650107;-;-;50;987.5;0;4.3;47.7;-;1.5;8.7
LUG;18650108;-;-;80;990;0;1.7;59;-;-1.7;8.2
LUG;18650109;-;-;53;986.1;0;1.5;72.7;-;-2;7.2
LUG;18650110;-;-;27;986.9;0;1.6;77;-;-1.3;7.8
LUG;18650111;-;-;63;987.8;0;1.8;81.7;-;-2.1;5.2
LUG;18650112;-;-;100;984.1;8.6;1.9;92.7;-;2;3.4
LUG;18650113;-;-;100;972.9;9.7;1.2;94.3;-;0.5;1.5
LUG;18650114;-;-;97;966.6;2.3;2.1;96.3;-;1.5;4.8
LUG;18650115;-;-;7;963;0;1.8;69.7;-;-2;7.6
LUG;18650116;-;-;50;961.9;0.4;2;73.7;-;-2.5;6.9
LUG;18650117;-;-;97;956.6;1.5;0.8;91;-;0.1;2.1
LUG;18650118;-;-;50;961.3;0;0.7;77.3;-;-2.3;5.9
LUG;18650119;-;-;0;972.5;0;-2.2;76.3;-;-4.8;3.7
LUG;18650120;-;-;70;977.7;0;-1.2;88.3;-;-4.2;0.4
LUG;18650121;-;-;97;976;0;-0.2;83.3;-;-3;1.7
LUG;18650122;-;-;67;972.3;1.3;0.8;91.7;-;0;3.5
LUG;18650123;-;-;0;975.3;0;2.7;54.7;-;-1.1;10.3
LUG;18650124;-;-;37;976.7;0;2.2;61.3;-;-2.1;8.8
