stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Sonnenscheindauer (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Relative Luftfeuchtigkeit (%)
GVE;19500101;-;-;-;-;974.2;0;-;-;-;-
GVE;19500102;-;-;-;-;976.8;0;-;-;-;-
GVE;19500103;-;-;-;-;966.8;37;-;-;-;-
GVE;19500104;-;-;-;-;962.5;6;-;-;-;-
GVE;19500105;-;-;-;-;965.5;0;-;-;-;-
GVE;19500106;-;-;-;-;966.1;0;-;-;-;-
GVE;19500107;-;-;-;-;969.5;0;-;-;-;-
GVE;19500108;-;-;-;-;972.1;0;-;-;-;-
GVE;19500109;-;-;-;-;969.6;0;-;-;-;-
GVE;19500110;-;-;-;-;976.1;0;-;-;-;-
GVE;19500111;-;-;-;-;980.2;0;-;-;-;-
GVE;19500112;-;-;-;-;981;0;-;-;-;-
GVE;19500113;-;-;-;-;979.6;0;-;-;-;-
GVE;19500114;-;-;-;-;979;0;-;-;-;-
GVE;19500115;-;-;-;-;978.5;0;-;-;-;-
GVE;19500116;-;-;-;-;969.2;18;-;-;-;-
GVE;19500117;-;-;-;-;961.1;0;-;-;-;-
GVE;19500118;-;-;-;-;963.5;0;-;-;-;-
GVE;19500119;-;-;-;-;965.6;0;-;-;-;-
GVE;19500120;-;-;-;-;966.5;0;-;-;-;-
GVE;19500121;-;-;-;-;971.2;0;-;-;-;-
GVE;19500122;-;-;-;-;971.1;0;-;-;-;-
GVE;19500123;-;-;-;-;966.5;5;-;-;-;-
GVE;19500124;-;-;-;-;965.2;4;-;-;-;-
GVE;19500125;-;-;-;-;967.3;7;-;-;-;-
GVE;19500126;-;-;-;-;970.5;1;-;-;-;-
GVE;19500127;-;-;-;-;970.2;0;-;-;-;-
GVE;19500128;-;-;-;-;962.1;7;-;-;-;-
GVE;19500129;-;-;-;-;963.7;0;-;-;-;-
GVE;19500130;-;-;-;-;968.1;0;-;-;-;-
GVE;19500131;-;-;-;-;967.5;3;-;-;-;-
GVE;19500201;-;-;-;-;967.3;0;-;-;-;-
GVE;19500202;-;-;-;-;968.3;0;-;-;-;-
GVE;19500203;-;-;-;-;968;0;-;-;-;-
GVE;19500204;-;-;-;-;964.5;1;-;-;-;-
GVE;19500205;-;-;-;-;963;7;-;-;-;-
GVE;19500206;-;-;-;-;956.8;0.5;-;-;-;-
GVE;19500207;-;-;-;-;968.5;0;-;-;-;-
GVE;19500208;-;-;-;-;967.3;6;-;-;-;-
GVE;19500209;-;-;-;-;968.5;21;-;-;-;-
GVE;19500210;-;-;-;-;967.7;11;-;-;-;-
GVE;19500211;-;-;-;-;961.5;1;-;-;-;-
GVE;19500212;-;-;-;-;964.4;0;-;-;-;-
GVE;19500213;-;-;-;-;956;4;-;-;-;-
GVE;19500214;-;-;-;-;961.3;0;-;-;-;-
GVE;19500215;-;-;-;-;978.6;0;-;-;-;-
GVE;19500216;-;-;-;-;983.7;0;-;-;-;-
GVE;19500217;-;-;-;-;983.3;0;-;-;-;-
GVE;19500218;-;-;-;-;978.4;0;-;-;-;-
GVE;19500219;-;-;-;-;973.2;0;-;-;-;-
GVE;19500220;-;-;-;-;966.7;3;-;-;-;-
GVE;19500221;-;-;-;-;965.6;0.6;-;-;-;-
GVE;19500222;-;-;-;-;971.9;0;-;-;-;-
GVE;19500223;-;-;-;-;968.8;0;-;-;-;-
GVE;19500224;-;-;-;-;964;0;-;-;-;-
GVE;19500225;-;-;-;-;949.6;5.9;-;-;-;-
GVE;19500226;-;-;-;-;945.1;2;-;-;-;-
GVE;19500227;-;-;-;-;959.8;0;-;-;-;-
GVE;19500228;-;-;-;-;961.2;0;-;-;-;-
GVE;19500301;-;-;-;-;964.3;0;-;-;-;-
GVE;19500302;-;-;-;-;970.3;0;-;-;-;-
GVE;19500303;-;-;-;-;973;0;-;-;-;-
GVE;19500304;-;-;-;-;975.4;0;-;-;-;-
GVE;19500305;-;-;-;-;976.4;0;-;-;-;-
GVE;19500306;-;-;-;-;980.7;0;-;-;-;-
GVE;19500307;-;-;-;-;981.8;0;-;-;-;-
GVE;19500308;-;-;-;-;976.9;0;-;-;-;-
GVE;19500309;-;-;-;-;969;0;-;-;-;-
GVE;19500310;-;-;-;-;965.5;0;-;-;-;-
GVE;19500311;-;-;-;-;966.3;0;-;-;-;-
GVE;19500312;-;-;-;-;964;0;-;-;-;-
GVE;19500313;-;-;-;-;963.9;0;-;-;-;-
GVE;19500314;-;-;-;-;966.2;0;-;-;-;-
GVE;19500315;-;-;-;-;967.2;0;-;-;-;-
GVE;19500316;-;-;-;-;967.5;1;-;-;-;-
GVE;19500317;-;-;-;-;971.2;2;-;-;-;-
GVE;19500318;-;-;-;-;971.3;0;-;-;-;-
GVE;19500319;-;-;-;-;965.5;0.6;-;-;-;-
GVE;19500320;-;-;-;-;968.8;0;-;-;-;-
GVE;19500321;-;-;-;-;965.3;2;-;-;-;-
GVE;19500322;-;-;-;-;970.5;0;-;-;-;-
GVE;19500323;-;-;-;-;976.2;0;-;-;-;-
GVE;19500324;-;-;-;-;976.3;0.4;-;-;-;-
GVE;19500325;-;-;-;-;970.8;0;-;-;-;-
GVE;19500326;-;-;-;-;964.6;0;-;-;-;-
GVE;19500327;-;-;-;-;966.6;0;-;-;-;-
GVE;19500328;-;-;-;-;965.8;0;-;-;-;-
GVE;19500329;-;-;-;-;960.3;2;-;-;-;-
GVE;19500330;-;-;-;-;957.8;0;-;-;-;-
GVE;19500331;-;-;-;-;962.7;0;-;-;-;-
GVE;19500401;-;-;-;-;965.1;0;-;-;-;-
GVE;19500402;-;-;-;-;955.6;9.3;-;-;-;-
GVE;19500403;-;-;-;-;948.8;0.5;-;-;-;-
GVE;19500404;-;-;-;-;957.9;0;-;-;-;-
GVE;19500405;-;-;-;-;963.5;0;-;-;-;-
GVE;19500406;-;-;-;-;965.7;0;-;-;-;-
GVE;19500407;-;-;-;-;968.3;0;-;-;-;-
GVE;19500408;-;-;-;-;970.4;0;-;-;-;-
GVE;19500409;-;-;-;-;966.6;0;-;-;-;-
GVE;19500410;-;-;-;-;965.8;0;-;-;-;-
GVE;19500411;-;-;-;-;959.7;5;-;-;-;-
GVE;19500412;-;-;-;-;955.4;14;-;-;-;-
GVE;19500413;-;-;-;-;955.1;0;-;-;-;-
GVE;19500414;-;-;-;-;955.7;2;-;-;-;-
GVE;19500415;-;-;-;-;957;4;-;-;-;-
GVE;19500416;-;-;-;-;962;0;-;-;-;-
GVE;19500417;-;-;-;-;964.1;0.6;-;-;-;-
GVE;19500418;-;-;-;-;952.1;6;-;-;-;-
GVE;19500419;-;-;-;-;953.6;0;-;-;-;-
GVE;19500420;-;-;-;-;956.4;0;-;-;-;-
GVE;19500421;-;-;-;-;959.3;0;-;-;-;-
GVE;19500422;-;-;-;-;960.9;3;-;-;-;-
GVE;19500423;-;-;-;-;960.1;1.2;-;-;-;-
GVE;19500424;-;-;-;-;954.3;2;-;-;-;-
GVE;19500425;-;-;-;-;958;0;-;-;-;-
GVE;19500426;-;-;-;-;959.9;1;-;-;-;-
GVE;19500427;-;-;-;-;966.2;0;-;-;-;-
GVE;19500428;-;-;-;-;971.8;0;-;-;-;-
GVE;19500429;-;-;-;-;973.5;0;-;-;-;-
GVE;19500430;-;-;-;-;973.4;0;-;-;-;-
GVE;19500501;-;-;-;-;972.1;0;-;-;-;-
GVE;19500502;-;-;-;-;968.8;4;-;-;-;-
GVE;19500503;-;-;-;-;968.4;1;-;-;-;-
GVE;19500504;-;-;-;-;965.2;0;-;-;-;-
GVE;19500505;-;-;-;-;966.8;0;-;-;-;-
GVE;19500506;-;-;-;-;966.5;0;-;-;-;-
GVE;19500507;-;-;-;-;966.8;0;-;-;-;-
GVE;19500508;-;-;-;-;964.2;0;-;-;-;-
GVE;19500509;-;-;-;-;964.1;0;-;-;-;-
GVE;19500510;-;-;-;-;963.9;2;-;-;-;-
GVE;19500511;-;-;-;-;965.7;0;-;-;-;-
GVE;19500512;-;-;-;-;966.5;0;-;-;-;-
GVE;19500513;-;-;-;-;964.2;0;-;-;-;-
GVE;19500514;-;-;-;-;962.1;0;-;-;-;-
GVE;19500515;-;-;-;-;961.9;0;-;-;-;-
GVE;19500516;-;-;-;-;960.6;0;-;-;-;-
GVE;19500517;-;-;-;-;958.2;3;-;-;-;-
GVE;19500518;-;-;-;-;956.3;8;-;-;-;-
GVE;19500519;-;-;-;-;961.8;0;-;-;-;-
GVE;19500520;-;-;-;-;965.3;0;-;-;-;-
GVE;19500521;-;-;-;-;963.9;3;-;-;-;-
GVE;19500522;-;-;-;-;966.8;0;-;-;-;-
GVE;19500523;-;-;-;-;965.5;3;-;-;-;-
GVE;19500524;-;-;-;-;966.8;0;-;-;-;-
GVE;19500525;-;-;-;-;964.8;9;-;-;-;-
GVE;19500526;-;-;-;-;965.3;5;-;-;-;-
GVE;19500527;-;-;-;-;967.4;3;-;-;-;-
GVE;19500528;-;-;-;-;972.2;1;-;-;-;-
GVE;19500529;-;-;-;-;976.6;0;-;-;-;-
GVE;19500530;-;-;-;-;973.3;0;-;-;-;-
GVE;19500531;-;-;-;-;970.2;8;-;-;-;-
GVE;19500601;-;-;-;-;969.2;0;-;-;-;-
GVE;19500602;-;-;-;-;970.1;0;-;-;-;-
GVE;19500603;-;-;-;-;971.4;0;-;-;-;-
GVE;19500604;-;-;-;-;972.7;0;-;-;-;-
GVE;19500605;-;-;-;-;973.4;0;-;-;-;-
GVE;19500606;-;-;-;-;973.2;0;-;-;-;-
GVE;19500607;-;-;-;-;972.5;0;-;-;-;-
GVE;19500608;-;-;-;-;968.6;0;-;-;-;-
GVE;19500609;-;-;-;-;965;0;-;-;-;-
GVE;19500610;-;-;-;-;966.9;0;-;-;-;-
GVE;19500611;-;-;-;-;969.3;0;-;-;-;-
GVE;19500612;-;-;-;-;968.6;0;-;-;-;-
GVE;19500613;-;-;-;-;966.9;0;-;-;-;-
GVE;19500614;-;-;-;-;965.7;0;-;-;-;-
GVE;19500615;-;-;-;-;965.3;3;-;-;-;-
GVE;19500616;-;-;-;-;963.2;14;-;-;-;-
GVE;19500617;-;-;-;-;964;5;-;-;-;-
GVE;19500618;-;-;-;-;967.1;0;-;-;-;-
GVE;19500619;-;-;-;-;968.5;0;-;-;-;-
GVE;19500620;-;-;-;-;965.5;0;-;-;-;-
GVE;19500621;-;-;-;-;962.1;14;-;-;-;-
GVE;19500622;-;-;-;-;967;0;-;-;-;-
GVE;19500623;-;-;-;-;968.8;0;-;-;-;-
GVE;19500624;-;-;-;-;970.5;0;-;-;-;-
GVE;19500625;-;-;-;-;970.6;2;-;-;-;-
GVE;19500626;-;-;-;-;972.5;0;-;-;-;-
GVE;19500627;-;-;-;-;973.7;0;-;-;-;-
GVE;19500628;-;-;-;-;972.3;0;-;-;-;-
GVE;19500629;-;-;-;-;970.2;0;-;-;-;-
GVE;19500630;-;-;-;-;968.4;0;-;-;-;-
GVE;19500701;-;-;-;-;968;0;-;-;-;-
GVE;19500702;-;-;-;-;965.8;0;-;-;-;-
GVE;19500703;-;-;-;-;964.2;0;-;-;-;-
GVE;19500704;-;-;-;-;965.2;0;-;-;-;-
GVE;19500705;-;-;-;-;966;27;-;-;-;-
GVE;19500706;-;-;-;-;965.5;0;-;-;-;-
GVE;19500707;-;-;-;-;967.6;0;-;-;-;-
GVE;19500708;-;-;-;-;969.9;0;-;-;-;-
GVE;19500709;-;-;-;-;968.2;4;-;-;-;-
GVE;19500710;-;-;-;-;967.6;0;-;-;-;-
GVE;19500711;-;-;-;-;967.5;0;-;-;-;-
GVE;19500712;-;-;-;-;966.4;0;-;-;-;-
GVE;19500713;-;-;-;-;964.8;0;-;-;-;-
GVE;19500714;-;-;-;-;965.1;5;-;-;-;-
GVE;19500715;-;-;-;-;967.6;0;-;-;-;-
GVE;19500716;-;-;-;-;963.5;0;-;-;-;-
GVE;19500717;-;-;-;-;966.9;0;-;-;-;-
GVE;19500718;-;-;-;-;972.3;0;-;-;-;-
GVE;19500719;-;-;-;-;973.2;0;-;-;-;-
GVE;19500720;-;-;-;-;969.2;0;-;-;-;-
GVE;19500721;-;-;-;-;965.7;0;-;-;-;-
GVE;19500722;-;-;-;-;964.7;0;-;-;-;-
GVE;19500723;-;-;-;-;964.9;1;-;-;-;-
GVE;19500724;-;-;-;-;969.6;0;-;-;-;-
GVE;19500725;-;-;-;-;968.9;0;-;-;-;-
GVE;19500726;-;-;-;-;966.2;0;-;-;-;-
GVE;19500727;-;-;-;-;966.5;0;-;-;-;-
GVE;19500728;-;-;-;-;965.7;8;-;-;-;-
GVE;19500729;-;-;-;-;966.5;0;-;-;-;-
GVE;19500730;-;-;-;-;967.1;0;-;-;-;-
GVE;19500731;-;-;-;-;964;0;-;-;-;-
GVE;19500801;-;-;-;-;963.3;17;-;-;-;-
GVE;19500802;-;-;-;-;961.7;3;-;-;-;-
GVE;19500803;-;-;-;-;964.1;4.6;-;-;-;-
GVE;19500804;-;-;-;-;967.3;0;-;-;-;-
GVE;19500805;-;-;-;-;965.5;0;-;-;-;-
GVE;19500806;-;-;-;-;963.7;0;-;-;-;-
GVE;19500807;-;-;-;-;960.6;0;-;-;-;-
GVE;19500808;-;-;-;-;962.1;0;-;-;-;-
GVE;19500809;-;-;-;-;963.6;0;-;-;-;-
GVE;19500810;-;-;-;-;965.8;27;-;-;-;-
GVE;19500811;-;-;-;-;970.9;1;-;-;-;-
GVE;19500812;-;-;-;-;969.8;0;-;-;-;-
GVE;19500813;-;-;-;-;967.4;0;-;-;-;-
GVE;19500814;-;-;-;-;966.4;0;-;-;-;-
GVE;19500815;-;-;-;-;966;0;-;-;-;-
GVE;19500816;-;-;-;-;962.4;0;-;-;-;-
GVE;19500817;-;-;-;-;959.4;7;-;-;-;-
GVE;19500818;-;-;-;-;961.5;0;-;-;-;-
GVE;19500819;-;-;-;-;967.3;0;-;-;-;-
GVE;19500820;-;-;-;-;971;0;-;-;-;-
GVE;19500821;-;-;-;-;971;0;-;-;-;-
GVE;19500822;-;-;-;-;970.3;0;-;-;-;-
GVE;19500823;-;-;-;-;968.1;0;-;-;-;-
GVE;19500824;-;-;-;-;965.9;7;-;-;-;-
GVE;19500825;-;-;-;-;967.6;7;-;-;-;-
GVE;19500826;-;-;-;-;964.8;0;-;-;-;-
GVE;19500827;-;-;-;-;963.7;2;-;-;-;-
GVE;19500828;-;-;-;-;962.1;20;-;-;-;-
GVE;19500829;-;-;-;-;969.3;0;-;-;-;-
GVE;19500830;-;-;-;-;971;0;-;-;-;-
GVE;19500831;-;-;-;-;963.5;6;-;-;-;-
GVE;19500901;-;-;-;-;959.2;17;-;-;-;-
GVE;19500902;-;-;-;-;964.6;0;-;-;-;-
GVE;19500903;-;-;-;-;967.8;0;-;-;-;-
GVE;19500904;-;-;-;-;969.7;0;-;-;-;-
GVE;19500905;-;-;-;-;968.3;5;-;-;-;-
GVE;19500906;-;-;-;-;966.8;4;-;-;-;-
GVE;19500907;-;-;-;-;967.1;0;-;-;-;-
GVE;19500908;-;-;-;-;969.1;0;-;-;-;-
GVE;19500909;-;-;-;-;969.4;0;-;-;-;-
GVE;19500910;-;-;-;-;969.8;0;-;-;-;-
GVE;19500911;-;-;-;-;968.6;0;-;-;-;-
GVE;19500912;-;-;-;-;970;0;-;-;-;-
GVE;19500913;-;-;-;-;968.5;0;-;-;-;-
GVE;19500914;-;-;-;-;964.1;0;-;-;-;-
GVE;19500915;-;-;-;-;960.1;39;-;-;-;-
GVE;19500916;-;-;-;-;967.4;0;-;-;-;-
GVE;19500917;-;-;-;-;967.3;0;-;-;-;-
GVE;19500918;-;-;-;-;969.1;0;-;-;-;-
GVE;19500919;-;-;-;-;966.1;1;-;-;-;-
GVE;19500920;-;-;-;-;962.3;0;-;-;-;-
GVE;19500921;-;-;-;-;963.8;6;-;-;-;-
GVE;19500922;-;-;-;-;973.4;0;-;-;-;-
GVE;19500923;-;-;-;-;977.7;0;-;-;-;-
GVE;19500924;-;-;-;-;972.9;0;-;-;-;-
GVE;19500925;-;-;-;-;962.4;34;-;-;-;-
GVE;19500926;-;-;-;-;962;14;-;-;-;-
GVE;19500927;-;-;-;-;970.8;0;-;-;-;-
GVE;19500928;-;-;-;-;973.3;0;-;-;-;-
GVE;19500929;-;-;-;-;968.8;0;-;-;-;-
GVE;19500930;-;-;-;-;962.7;9;-;-;-;-
GVE;19501001;-;-;-;-;964.9;1;-;-;-;-
GVE;19501002;-;-;-;-;971.8;0;-;-;-;-
GVE;19501003;-;-;-;-;974.9;0;-;-;-;-
GVE;19501004;-;-;-;-;975.3;0;-;-;-;-
GVE;19501005;-;-;-;-;973.9;0;-;-;-;-
GVE;19501006;-;-;-;-;973.7;0;-;-;-;-
GVE;19501007;-;-;-;-;972.8;0;-;-;-;-
GVE;19501008;-;-;-;-;968.2;1;-;-;-;-
GVE;19501009;-;-;-;-;966.9;5;-;-;-;-
GVE;19501010;-;-;-;-;968;11.5;-;-;-;-
GVE;19501011;-;-;-;-;976.8;0;-;-;-;-
GVE;19501012;-;-;-;-;979.8;0;-;-;-;-
GVE;19501013;-;-;-;-;974.5;0;-;-;-;-
GVE;19501014;-;-;-;-;969.4;0;-;-;-;-
GVE;19501015;-;-;-;-;967.8;0;-;-;-;-
GVE;19501016;-;-;-;-;970.9;3;-;-;-;-
GVE;19501017;-;-;-;-;974.2;0;-;-;-;-
GVE;19501018;-;-;-;-;974.1;0;-;-;-;-
GVE;19501019;-;-;-;-;972.9;0;-;-;-;-
GVE;19501020;-;-;-;-;971.8;0;-;-;-;-
GVE;19501021;-;-;-;-;971.6;0;-;-;-;-
GVE;19501022;-;-;-;-;972.1;0;-;-;-;-
GVE;19501023;-;-;-;-;970.4;0;-;-;-;-
GVE;19501024;-;-;-;-;964.1;0;-;-;-;-
GVE;19501025;-;-;-;-;955.5;0;-;-;-;-
GVE;19501026;-;-;-;-;958.6;0;-;-;-;-
GVE;19501027;-;-;-;-;962.5;0;-;-;-;-
GVE;19501028;-;-;-;-;962.2;0.5;-;-;-;-
GVE;19501029;-;-;-;-;963.4;0;-;-;-;-
GVE;19501030;-;-;-;-;966.9;0;-;-;-;-
GVE;19501031;-;-;-;-;970.8;0;-;-;-;-
GVE;19501101;-;-;-;-;969.3;1;-;-;-;-
GVE;19501102;-;-;-;-;967.8;16;-;-;-;-
GVE;19501103;-;-;-;-;958.1;20;-;-;-;-
GVE;19501104;-;-;-;-;957.2;4;-;-;-;-
GVE;19501105;-;-;-;-;958.7;0;-;-;-;-
GVE;19501106;-;-;-;-;959.6;0;-;-;-;-
GVE;19501107;-;-;-;-;966.1;0;-;-;-;-
GVE;19501108;-;-;-;-;970.3;0;-;-;-;-
GVE;19501109;-;-;-;-;971.3;0;-;-;-;-
GVE;19501110;-;-;-;-;967.9;1;-;-;-;-
GVE;19501111;-;-;-;-;960;72;-;-;-;-
GVE;19501112;-;-;-;-;957.2;19;-;-;-;-
GVE;19501113;-;-;-;-;958.2;23;-;-;-;-
GVE;19501114;-;-;-;-;959.1;11;-;-;-;-
GVE;19501115;-;-;-;-;968.2;0.3;-;-;-;-
GVE;19501116;-;-;-;-;962.3;20;-;-;-;-
GVE;19501117;-;-;-;-;963.3;4;-;-;-;-
GVE;19501118;-;-;-;-;968.7;0;-;-;-;-
GVE;19501119;-;-;-;-;960.7;37;-;-;-;-
GVE;19501120;-;-;-;-;960.3;3;-;-;-;-
GVE;19501121;-;-;-;-;953.9;14;-;-;-;-
GVE;19501122;-;-;-;-;954.4;26;-;-;-;-
GVE;19501123;-;-;-;-;962.3;1;-;-;-;-
GVE;19501124;-;-;-;-;963.3;12;-;-;-;-
GVE;19501125;-;-;-;-;961.7;8;-;-;-;-
GVE;19501126;-;-;-;-;965.5;12;-;-;-;-
GVE;19501127;-;-;-;-;976.1;0;-;-;-;-
GVE;19501128;-;-;-;-;975.6;6;-;-;-;-
GVE;19501129;-;-;-;-;965.4;6;-;-;-;-
GVE;19501130;-;-;-;-;971.8;1;-;-;-;-
GVE;19501201;-;-;-;-;969.6;1;-;-;-;-
GVE;19501202;-;-;-;-;961.8;8;-;-;-;-
GVE;19501203;-;-;-;-;955.9;7;-;-;-;-
GVE;19501204;-;-;-;-;959.4;0;-;-;-;-
GVE;19501205;-;-;-;-;961.6;0;-;-;-;-
GVE;19501206;-;-;-;-;960.7;0;-;-;-;-
GVE;19501207;-;-;-;-;957.2;2;-;-;-;-
GVE;19501208;-;-;-;-;956.8;0.2;-;-;-;-
GVE;19501209;-;-;-;-;969.2;0;-;-;-;-
GVE;19501210;-;-;-;-;970.7;0;-;-;-;-
GVE;19501211;-;-;-;-;958.6;4.6;-;-;-;-
GVE;19501212;-;-;-;-;956.7;1;-;-;-;-
GVE;19501213;-;-;-;-;955.6;3;-;-;-;-
GVE;19501214;-;-;-;-;948.5;0.1;-;-;-;-
GVE;19501215;-;-;-;-;951.1;2;-;-;-;-
GVE;19501216;-;-;-;-;956.8;0;-;-;-;-
GVE;19501217;-;-;-;-;961.6;1;-;-;-;-
GVE;19501218;-;-;-;-;964.5;5;-;-;-;-
GVE;19501219;-;-;-;-;961.2;1;-;-;-;-
GVE;19501220;-;-;-;-;964.5;0;-;-;-;-
GVE;19501221;-;-;-;-;960.1;0;-;-;-;-
GVE;19501222;-;-;-;-;951.9;0;-;-;-;-
GVE;19501223;-;-;-;-;948.3;0;-;-;-;-
GVE;19501224;-;-;-;-;955;0;-;-;-;-
GVE;19501225;-;-;-;-;958.5;6;-;-;-;-
GVE;19501226;-;-;-;-;957.9;0;-;-;-;-
GVE;19501227;-;-;-;-;959.2;0;-;-;-;-
GVE;19501228;-;-;-;-;957;0;-;-;-;-
GVE;19501229;-;-;-;-;958.7;0;-;-;-;-
GVE;19501230;-;-;-;-;960;0;-;-;-;-
GVE;19501231;-;-;-;-;957.4;0;-;-;-;-
GVE;19510101;-;-;-;-;953.1;2;-;-;-;-
GVE;19510102;-;-;-;-;943.5;1.5;-;-;-;-
GVE;19510103;-;-;-;-;954.7;0;-;-;-;-
GVE;19510104;-;-;-;-;969.1;0;-;-;-;-
GVE;19510105;-;-;-;-;969.9;0;-;-;-;-
GVE;19510106;-;-;-;-;966.7;0;-;-;-;-
GVE;19510107;-;-;-;-;967.8;0;-;-;-;-
GVE;19510108;-;-;-;-;967.8;0;-;-;-;-
GVE;19510109;-;-;-;-;967;0;-;-;-;-
GVE;19510110;-;-;-;-;967.2;0;-;-;-;-
GVE;19510111;-;-;-;-;963;0;-;-;-;-
GVE;19510112;-;-;-;-;952.1;12.2;-;-;-;-
GVE;19510113;-;-;-;-;953.9;0;-;-;-;-
GVE;19510114;-;-;-;-;964.1;0;-;-;-;-
GVE;19510115;-;-;-;-;964.4;13.5;-;-;-;-
GVE;19510116;-;-;-;-;978.6;0;-;-;-;-
GVE;19510117;-;-;-;-;978.6;2;-;-;-;-
GVE;19510118;-;-;-;-;968.3;26.6;-;-;-;-
GVE;19510119;-;-;-;-;969.2;9;-;-;-;-
GVE;19510120;-;-;-;-;970.7;0.3;-;-;-;-
GVE;19510121;-;-;-;-;972.4;0;-;-;-;-
GVE;19510122;-;-;-;-;971.5;0;-;-;-;-
GVE;19510123;-;-;-;-;966.2;0;-;-;-;-
GVE;19510124;-;-;-;-;963.2;0;-;-;-;-
GVE;19510125;-;-;-;-;959.1;0;-;-;-;-
GVE;19510126;-;-;-;-;959;0;-;-;-;-
GVE;19510127;-;-;-;-;953.3;0;-;-;-;-
GVE;19510128;-;-;-;-;948.7;0;-;-;-;-
GVE;19510129;-;-;-;-;959;0;-;-;-;-
GVE;19510130;-;-;-;-;961.8;0;-;-;-;-
GVE;19510131;-;-;-;-;961.1;0;-;-;-;-
GVE;19510201;-;-;-;-;966.8;0;-;-;-;-
GVE;19510202;-;-;-;-;966.5;0;-;-;-;-
GVE;19510203;-;-;-;-;957.9;0;-;-;-;-
GVE;19510204;-;-;-;-;946.4;12;-;-;-;-
GVE;19510205;-;-;-;-;938.9;6;-;-;-;-
GVE;19510206;-;-;-;-;948.2;0;-;-;-;-
GVE;19510207;-;-;-;-;957.5;0;-;-;-;-
GVE;19510208;-;-;-;-;961.3;0;-;-;-;-
GVE;19510209;-;-;-;-;958.3;10;-;-;-;-
GVE;19510210;-;-;-;-;959.7;0;-;-;-;-
GVE;19510211;-;-;-;-;958.8;12.6;-;-;-;-
GVE;19510212;-;-;-;-;960.5;6;-;-;-;-
GVE;19510213;-;-;-;-;957.1;2.1;-;-;-;-
GVE;19510214;-;-;-;-;960.5;1;-;-;-;-
GVE;19510215;-;-;-;-;962.9;2.8;-;-;-;-
GVE;19510216;-;-;-;-;965;0;-;-;-;-
GVE;19510217;-;-;-;-;966.6;23.1;-;-;-;-
GVE;19510218;-;-;-;-;963.1;3.8;-;-;-;-
GVE;19510219;-;-;-;-;958.1;3.8;-;-;-;-
GVE;19510220;-;-;-;-;959.4;8.2;-;-;-;-
GVE;19510221;-;-;-;-;952.1;2;-;-;-;-
GVE;19510222;-;-;-;-;958.6;1.2;-;-;-;-
GVE;19510223;-;-;-;-;966.1;1.5;-;-;-;-
GVE;19510224;-;-;-;-;959.2;11;-;-;-;-
GVE;19510225;-;-;-;-;957.8;0.4;-;-;-;-
GVE;19510226;-;-;-;-;960.9;1.6;-;-;-;-
GVE;19510227;-;-;-;-;961.7;0;-;-;-;-
GVE;19510228;-;-;-;-;967.9;0;-;-;-;-
GVE;19510301;-;-;-;-;970.9;0;-;-;-;-
GVE;19510302;-;-;-;-;968.7;1.4;-;-;-;-
GVE;19510303;-;-;-;-;965.6;0.1;-;-;-;-
GVE;19510304;-;-;-;-;967.3;0;-;-;-;-
GVE;19510305;-;-;-;-;965.1;0;-;-;-;-
GVE;19510306;-;-;-;-;960.4;0;-;-;-;-
GVE;19510307;-;-;-;-;951.9;0;-;-;-;-
GVE;19510308;-;-;-;-;942.4;3;-;-;-;-
GVE;19510309;-;-;-;-;945.2;0;-;-;-;-
GVE;19510310;-;-;-;-;950.6;0;-;-;-;-
GVE;19510311;-;-;-;-;946.5;21;-;-;-;-
GVE;19510312;-;-;-;-;953;3.8;-;-;-;-
GVE;19510313;-;-;-;-;948.7;14.3;-;-;-;-
GVE;19510314;-;-;-;-;958.7;0;-;-;-;-
GVE;19510315;-;-;-;-;963.5;0.6;-;-;-;-
GVE;19510316;-;-;-;-;964.9;9.6;-;-;-;-
GVE;19510317;-;-;-;-;962.7;6.9;-;-;-;-
GVE;19510318;-;-;-;-;959.8;22.7;-;-;-;-
GVE;19510319;-;-;-;-;959.4;7.6;-;-;-;-
GVE;19510320;-;-;-;-;965.1;3.6;-;-;-;-
GVE;19510321;-;-;-;-;972;0;-;-;-;-
GVE;19510322;-;-;-;-;975.4;0;-;-;-;-
GVE;19510323;-;-;-;-;967.8;0.5;-;-;-;-
GVE;19510324;-;-;-;-;959.9;2.2;-;-;-;-
GVE;19510325;-;-;-;-;963.7;0.6;-;-;-;-
GVE;19510326;-;-;-;-;966.3;0;-;-;-;-
GVE;19510327;-;-;-;-;960.3;6.7;-;-;-;-
GVE;19510328;-;-;-;-;958.7;0;-;-;-;-
GVE;19510329;-;-;-;-;956.1;0;-;-;-;-
GVE;19510330;-;-;-;-;950.9;0.8;-;-;-;-
GVE;19510331;-;-;-;-;960.2;0;-;-;-;-
GVE;19510401;-;-;-;-;966.6;0;-;-;-;-
GVE;19510402;-;-;-;-;965.3;4.2;-;-;-;-
GVE;19510403;-;-;-;-;970.7;0;-;-;-;-
GVE;19510404;-;-;-;-;972.1;0;-;-;-;-
GVE;19510405;-;-;-;-;970.1;0;-;-;-;-
